t_bin,time_s,power_w
0,0.0,965.3730185899038
1,0.25,966.5513648411534
2,0.5,1098.948648833266
3,0.75,1731.1130562146514
4,1.0,2009.0695198675046
5,1.25,2613.435240555517
6,1.5,2942.862671793403
7,1.75,2959.4447699778393
8,2.0,2983.960049554417
9,2.25,2952.8533385759038
10,2.5,2966.9881838249617
11,2.75,3005.462661311362
12,3.0,2934.1179616564737
13,3.25,2922.9330733127763
14,3.5,2979.2384821671953
15,3.75,3026.586618989896
16,4.0,2951.8681583319594
17,4.25,2961.042580638156
18,4.5,2946.01911370949
19,4.75,2967.4276950773096
20,5.0,2704.5645382404264
21,5.25,3034.4423045178482
22,5.5,2924.741125567155
23,5.75,2630.059521675282
24,6.0,2366.7963070653063
25,6.25,1933.7432007476289
26,6.5,1290.009026840193
27,6.75,1174.389061583938
28,7.0,955.0257110970254
29,7.25,963.2510627229041
30,7.5,955.1886211095069
31,7.75,943.9344262601564
32,8.0,948.5467049841266
33,8.25,952.2076688431459
34,8.5,955.8376338422131
35,8.75,962.0499637561065
36,9.0,970.9482569535426
37,9.25,1268.101695241656
38,9.5,1854.687605085293
39,9.75,2163.72987465799
40,10.0,2728.548716697694
41,10.25,2570.483153260593
42,10.5,2151.6577603245164
43,10.75,1562.8914026491439
44,11.0,964.4479715885869
45,11.25,973.0134647484713
46,11.5,963.6956129831478
47,11.75,972.1668127212778
48,12.0,965.3831461943028
49,12.25,968.7541066117273
50,12.5,957.5858530289215
51,12.75,965.2112316184542
52,13.0,957.092173385596
53,13.25,968.4622672576295
54,13.5,942.6089888799804
55,13.75,964.7354726873426
56,14.0,974.7457729625966
57,14.25,967.4218734749774
58,14.5,960.7984653154735
59,14.75,966.9703432683608
60,15.0,951.8323346041562
61,15.25,951.9869449319528
62,15.5,957.1542019130247
63,15.75,959.4614209448686
64,16.0,971.6392151263944
65,16.25,951.3015114422647
66,16.5,972.0173931932852
67,16.75,943.8797064536485
68,17.0,952.4708861483641
69,17.25,960.6722270609134
70,17.5,973.7314714551804
71,17.75,954.363986558034
72,18.0,937.6366638883354
73,18.25,965.6637039569382
74,18.5,960.7536006471493
75,18.75,949.2392481370576
76,19.0,949.6576702262239
77,19.25,953.464117317576
78,19.5,962.1430907087138
79,19.75,968.3222592209079
80,20.0,944.9044435693373
81,20.25,986.090927823472
82,20.5,960.6515615262666
83,20.75,956.987245106542
84,21.0,968.4189537478857
85,21.25,962.2512289099827
86,21.5,986.602328641642
87,21.75,973.0420407163791
88,22.0,957.0274402512549
89,22.25,956.7846313354477
90,22.5,955.608470441638
91,22.75,957.3162298022156
92,23.0,968.4055689256395
93,23.25,953.9859693597973
94,23.5,978.6816854235507
95,23.75,960.1480309911759
96,24.0,959.4501904730482
97,24.25,971.4155654602654
98,24.5,939.3991317103561
99,24.75,950.8045357475005
100,25.0,967.5827554652205
101,25.25,961.1587031275778
102,25.5,960.8997661199833
103,25.75,965.3698823731313
104,26.0,954.4571852955139
105,26.25,959.1590355544788
106,26.5,946.1439233536585
107,26.75,940.5203810910452
108,27.0,974.8484919099845
109,27.25,950.8186926003556
110,27.5,1069.6447413132742
111,27.75,1804.5870066337907
112,28.0,2135.410971585538
113,28.25,2282.6232140409156
114,28.5,2675.215039159043
115,28.75,1985.3479089577238
116,29.0,1870.6189783729467
117,29.25,1693.429843456568
118,29.5,962.5801451725494
119,29.75,962.4092085298996
120,30.0,969.2276288242083
121,30.25,968.8471081023507
122,30.5,981.1274313856793
123,30.75,1419.26514808662
124,31.0,1397.858066257646
125,31.25,2113.8788949117393
126,31.5,2204.1401456678514
127,31.75,2918.3175376486734
128,32.0,2972.472922113583
129,32.25,2936.6902888795244
130,32.5,2946.4693490149994
131,32.75,2981.5554102348215
132,33.0,2937.6724881572704
133,33.25,2931.8019242592636
134,33.5,2962.738944951029
135,33.75,2985.43162740046
136,34.0,2967.8522793745838
137,34.25,2915.134321314017
138,34.5,2937.9837099420756
139,34.75,2950.6149945526618
140,35.0,3003.3322089924422
141,35.25,2977.0815295473158
142,35.5,2976.0211089361906
143,35.75,2984.9187944660703
144,36.0,3010.49122718656
145,36.25,2966.610630268556
146,36.5,2966.880149063356
147,36.75,2929.7361484382895
148,37.0,2954.042859410766
149,37.25,2968.749351109853
150,37.5,2927.133279965417
151,37.75,3034.7019111893906
152,38.0,2874.9107193899094
153,38.25,2488.406005333365
154,38.5,1894.088729117823
155,38.75,1635.5602132411414
