t_bin,time_s,power_w
0,0.0,1306.2439659033407
1,0.25,1467.907786661988
2,0.5,2933.705366562039
3,0.75,2366.7963070653063
4,1.0,2289.38462948363
5,1.25,2864.6578535031535
6,1.5,2953.329493714781
7,1.75,2940.6744693574096
8,2.0,2959.7202066142454
9,2.25,2941.051686215163
10,2.5,2914.9926862006714
11,2.75,2925.672381455967
12,3.0,2934.1493145935465
13,3.25,2942.5544701137346
14,3.5,2956.9390713653756
15,3.75,2977.5429995596983
16,4.0,2968.4636686263398
17,4.25,2999.5835355001577
18,4.5,2986.8110858951627
19,4.75,2949.7829137569483
20,5.0,2996.367737046272
21,5.25,3042.8832126865923
22,5.5,2943.1205817487325
23,5.75,2962.4916397168076
24,6.0,2982.3249720311524
25,6.25,2960.749559259478
26,6.5,2980.3645558943927
27,6.75,3025.9114278909346
28,7.0,2972.4624616309934
29,7.25,3010.4574432517725
30,7.5,2964.258962337006
31,7.75,2945.4593465990642
32,8.0,2971.786709892689
33,8.25,2980.773779499309
34,8.5,2963.157346258851
35,8.75,2986.3361181310083
36,9.0,2969.3776862388313
37,9.25,2954.041236529641
38,9.5,3029.0572015179573
39,9.75,2933.280231103328
40,10.0,2999.3605872157837
41,10.25,3009.6019246027927
42,10.5,3014.174758626221
43,10.75,3038.3107555970337
44,11.0,2998.0020800523184
45,11.25,3039.060292380202
46,11.5,2983.292300920482
47,11.75,2934.7587922018793
48,12.0,3016.574537462476
49,12.25,3042.4575404466536
50,12.5,3004.0718073785965
51,12.75,2900.410266761931
52,13.0,3026.467484366202
53,13.25,3016.7358172970353
54,13.5,2993.914740412188
55,13.75,2928.244812771352
56,14.0,2937.0586111937623
57,14.25,2957.1547060946323
58,14.5,3031.7366555183353
59,14.75,2917.238753681497
60,15.0,3012.6057353396554
61,15.25,3016.533579036492
62,15.5,3009.271021574259
63,15.75,2971.6864178001715
64,16.0,3019.704068416765
65,16.25,3013.7898799280947
66,16.5,3041.09111086382
67,16.75,2945.3094575335817
68,17.0,3061.647111139931
69,17.25,3006.538334468573
70,17.5,3009.923058675549
71,17.75,3031.9017726775737
72,18.0,2938.2669555096236
73,18.25,2995.4496926025718
74,18.5,2745.4086647328268
75,18.75,2950.9193166936498
76,19.0,2978.6250487463767
77,19.25,2904.4912471976145
78,19.5,2930.9003709019535
79,19.75,2969.750207226978
80,20.0,2954.8753643616633
81,20.25,2954.2757977489487
82,20.5,2964.6263169166778
83,20.75,2939.3580523175283
84,21.0,3013.5754404937516
85,21.25,2920.1087594126893
86,21.5,2907.087491355349
87,21.75,3044.6714391143114
88,22.0,2997.0451486136635
89,22.25,2936.413750318235
90,22.5,3047.508979563362
91,22.75,3040.2034411356167
92,23.0,3005.8308169425627
93,23.25,3005.7275588501125
94,23.5,3015.451797438943
95,23.75,2996.5282224978005
96,24.0,3029.098092678132
97,24.25,3020.3559698858344
98,24.5,3020.0171789498327
99,24.75,3033.531068995603
100,25.0,3032.7768891455266
101,25.25,3057.1160955033306
102,25.5,3050.065639628246
103,25.75,2980.1427361276983
104,26.0,2977.2049076626085
105,26.25,2992.9555947108447
106,26.5,2918.3175376486734
107,26.75,3032.601516929015
108,27.0,2936.6902888795244
109,27.25,2946.4693490149994
110,27.5,3040.375760360687
111,27.75,3002.813749359954
112,28.0,2997.788783489911
113,28.25,2962.738944951029
114,28.5,3043.693645882522
115,28.75,2967.8522793745838
116,29.0,2983.52198776289
117,29.25,3003.080142652631
118,29.5,3013.892012715836
119,29.75,3059.0158215910888
120,30.0,3036.5462989747043
121,30.25,3035.6386217104127
122,30.5,3043.2546815790733
123,30.75,3010.49122718656
124,31.0,3027.583631602617
125,31.25,3027.814328818205
126,31.5,2996.0205627234054
127,31.75,3016.8261267495727
128,32.0,3029.414290363816
129,32.25,2993.7926123139337
130,32.5,3034.7019111893906
131,32.75,3033.630704916104
132,33.0,3039.5896801506024
133,33.25,3000.399361057245
134,33.5,3019.513184377732
135,33.75,3048.678812498448
136,34.0,3034.362938753313
137,34.25,3000.1034462359166
138,34.5,3022.061394405
139,34.75,3047.960940530666
140,35.0,3015.524841775883
141,35.25,3025.429004355266
142,35.5,3072.8295641817103
143,35.75,3016.364793002112
144,36.0,3071.240831181269
145,36.25,2995.3561249019826
146,36.5,2937.7329607539987
147,36.75,2992.001135098058
148,37.0,2950.8570802477434
149,37.25,2924.3268438183622
150,37.5,2996.9039183343557
151,37.75,3075.081347249695
152,38.0,2973.689923652016
153,38.25,2935.4603893368794
154,38.5,3032.485617749885
155,38.75,3006.424534071893
156,39.0,3182.1917726037605
157,39.25,2967.3439181893978
158,39.5,2969.5376779341473
159,39.75,3007.542256657429
160,40.0,2949.810283329222
161,40.25,2966.8701700017887
162,40.5,2921.260555362781
163,40.75,2958.3310408592083
164,41.0,3027.857678702561
165,41.25,2980.3089692527046
166,41.5,2952.901237279368
167,41.75,2949.1390163052984
168,42.0,2957.353887918035
169,42.25,3000.6833527100816
170,42.5,2948.413951241345
171,42.75,2964.0243722241144
172,43.0,2960.7689591768103
173,43.25,2927.183179270305
174,43.5,3009.364106791283
175,43.75,2900.033034296741
176,44.0,2973.7890451516205
177,44.25,3004.8186100665534
178,44.5,3021.4986523993075
179,44.75,3035.213806153146
180,45.0,3014.426171240848
181,45.25,2964.624660577323
182,45.5,2978.1466141949745
183,45.75,2986.6744211179016
184,46.0,3034.3981022445373
185,46.25,3067.575354742765
186,46.5,2933.559959929684
187,46.75,3026.394974341501
188,47.0,3009.6756654472365
189,47.25,3009.6166683564193
190,47.5,3000.7771747594843
191,47.75,3020.8404827959976
192,48.0,3016.785898247385
193,48.25,3012.2141209816245
194,48.5,2995.269065947533
195,48.75,3055.200708933755
196,49.0,3087.114190996816
197,49.25,3043.642649937854
198,49.5,3015.357475583122
199,49.75,3046.555151463664
200,50.0,3015.6973105094958
201,50.25,2992.3101590403603
202,50.5,2968.968065585623
203,50.75,2995.009372290138
204,51.0,3087.06291097775
205,51.25,3110.3932795669243
206,51.5,3009.2547065925974
207,51.75,3014.015117711883
208,52.0,3069.3631554533795
209,52.25,3021.1120946027527
210,52.5,2959.6856480750553
211,52.75,3100.3033917970088
212,53.0,3069.618997494549
213,53.25,3150.7350950602195
214,53.5,3024.19899697227
215,53.75,2892.5224829419863
216,54.0,3122.466149048061
217,54.25,2992.85154974555
218,54.5,2992.618854528558
219,54.75,3027.627907889693
220,55.0,3016.5468837421545
221,55.25,2988.9112902666784
222,55.5,3020.5529641244034
223,55.75,2991.292769770604
224,56.0,3000.8977087390695
225,56.25,2915.042624579664
226,56.5,3044.2486904618236
227,56.75,3024.568791475872
228,57.0,3018.6342849453454
229,57.25,3083.8844158762327
230,57.5,3035.917581175719
231,57.75,3071.598797249527
232,58.0,2936.3585896684876
233,58.25,3009.915430608063
234,58.5,2994.691765707548
235,58.75,3074.2575620588436
236,59.0,3176.823472768158
237,59.25,3150.2957930007633
238,59.5,3021.268771992049
239,59.75,3088.1253261396996
240,60.0,3155.8513505966603
241,60.25,3012.611694450808
242,60.5,3045.8296690055495
243,60.75,3043.5826785576405
244,61.0,3087.2696779668654
245,61.25,3032.1464569127893
246,61.5,3035.923833705838
247,61.75,3017.126645810088
248,62.0,2998.1209073481214
249,62.25,3029.585968245928
250,62.5,3094.5411176048233
251,62.75,3020.6929319637475
252,63.0,3033.319611827469
253,63.25,2967.7474367453387
254,63.5,2995.127409456333
255,63.75,3033.8033148693003
256,64.0,2920.7087900428796
257,64.25,2972.909194728225
258,64.5,2907.700789032493
259,64.75,3047.655650982401
260,65.0,3086.8807540811454
261,65.25,2927.500008745136
262,65.5,2974.797168003699
263,65.75,3010.873730433476
264,66.0,3037.095713730222
265,66.25,3025.571765601353
266,66.5,3088.724945212305
267,66.75,3008.3239567670216
268,67.0,3248.92871391814
269,67.25,3027.4722720779178
270,67.5,3109.878621398601
271,67.75,3019.3072524431414
272,68.0,3178.846184531443
273,68.25,2991.424703785947
274,68.5,3085.5173643256935
275,68.75,3020.4383516605562
276,69.0,2991.826723053144
277,69.25,3019.9985488289167
278,69.5,3231.1087917941272
279,69.75,3189.1470907392745
280,70.0,3029.009255481849
281,70.25,2997.6250962366685
282,70.5,3001.602644081361
283,70.75,2992.2653501871923
284,71.0,3019.1466100775842
285,71.25,3115.0307720359237
286,71.5,3088.8014567509817
287,71.75,3016.281633323334
288,72.0,2992.1605693941246
289,72.25,3025.927876672349
290,72.5,3011.204068546937
291,72.75,2975.2355555115705
292,73.0,2909.9052789999864
293,73.25,2944.942830762913
294,73.5,2997.0549896630628
295,73.75,2995.163671195074
296,74.0,3017.134006767823
297,74.25,2993.981710830061
298,74.5,3005.857922101099
299,74.75,3050.767288354729
300,75.0,2995.944815901032
301,75.25,2972.9752278055735
302,75.5,2964.6036235163283
303,75.75,3251.2731968535486
304,76.0,2966.9584856732213
305,76.25,3059.839971746108
306,76.5,3092.1812193393234
307,76.75,3017.8795386058296
308,77.0,2978.1584235406985
309,77.25,3015.1249063156547
310,77.5,3059.15496061781
311,77.75,3014.2994105794833
312,78.0,3025.992063280523
313,78.25,3051.147703092867
314,78.5,3019.253898796377
315,78.75,3074.9821352485756
316,79.0,2958.029481735411
317,79.25,3215.583639601096
318,79.5,3005.0014990401683
319,79.75,3044.6686253421235
320,80.0,2981.722748900793
321,80.25,3010.4513756427896
322,80.5,3002.1962721443656
323,80.75,2982.8981719592166
324,81.0,2973.4295990805813
325,81.25,2887.2120657329974
326,81.5,3008.514596003392
327,81.75,3033.61109698012
328,82.0,2974.9087327740835
329,82.25,3056.4402151005384
330,82.5,3050.4377132126074
331,82.75,2999.6446773957036
332,83.0,3011.7616181446538
333,83.25,3078.825071777389
334,83.5,2953.8514117584036
335,83.75,3034.176459484288
336,84.0,3038.810412337711
337,84.25,3015.8551208096537
338,84.5,3247.927683572441
339,84.75,3050.6842211678363
340,85.0,3145.476381750972
341,85.25,3053.9504791005365
342,85.5,3018.984169041929
343,85.75,3039.911460792901
344,86.0,2943.294598344743
345,86.25,3011.212492843155
346,86.5,3014.6615859588683
347,86.75,3020.6570065598085
348,87.0,3009.6805022295234
349,87.25,3017.3484834214223
350,87.5,3031.4362574944125
351,87.75,3116.669294339753
352,88.0,3019.372242870274
353,88.25,2970.6264316153965
354,88.5,3106.5201367699287
355,88.75,2993.8428710364637
356,89.0,2983.1474900484377
357,89.25,3131.0329215870656
358,89.5,3120.7193435846207
359,89.75,3018.3135016633278
360,90.0,3182.059397471319
361,90.25,3099.805807515713
362,90.5,3026.8114195477115
363,90.75,3085.858249430964
364,91.0,2985.0361829878643
365,91.25,3106.6125609376904
366,91.5,3002.404825990548
367,91.75,3023.327057584254
368,92.0,3142.0887169830876
369,92.25,3057.750093452769
370,92.5,3011.1842437745963
371,92.75,2981.18347015709
372,93.0,2994.806501535436
373,93.25,2939.5263903802456
374,93.5,2963.6016769167045
375,93.75,2989.2056347038156
376,94.0,2939.7895263463733
377,94.25,2967.894769512461
378,94.5,2956.8000608311513
379,94.75,2989.7380382664737
380,95.0,2950.839080599871
381,95.25,2992.000711063765
382,95.5,3014.97352405465
383,95.75,3027.792199637969
384,96.0,2975.085378752766
385,96.25,2935.6214096912404
386,96.5,3043.5125926151063
387,96.75,2992.078867388214
388,97.0,2994.449405936645
389,97.25,2987.2774460976725
390,97.5,2942.4324423117623
391,97.75,3004.266296833461
392,98.0,2934.3237320418966
393,98.25,2931.240245447226
394,98.5,2934.0478937078014
395,98.75,2979.121109632472
396,99.0,2990.985190550216
397,99.25,3003.021146704859
398,99.5,2974.522253605902
399,99.75,2922.124109532808
400,100.0,2945.8045470395955
401,100.25,2995.293422260383
402,100.5,2981.61356388087
403,100.75,3017.940716506573
404,101.0,3077.0884836679656
405,101.25,3007.938184188553
406,101.5,3005.4197315271304
407,101.75,2995.4063824702303
408,102.0,3013.8288667488428
409,102.25,3003.6987748244655
410,102.5,3173.848815628054
411,102.75,3081.551261607971
412,103.0,3021.5492453636275
413,103.25,3027.6816880021006
414,103.5,3043.4941326861717
415,103.75,3039.3316722936456
416,104.0,3020.720976525022
417,104.25,3001.8177168845054
418,104.5,2976.9862897888506
419,104.75,3073.8099755982503
420,105.0,3047.142482990752
421,105.25,3131.8813015353635
422,105.5,2889.462346911014
423,105.75,2934.575579686854
424,106.0,2944.8345136659063
425,106.25,2927.370066209227
426,106.5,3020.555149081786
427,106.75,3017.352546054718
428,107.0,3005.32132948207
