t_bin,time_s,power_w
0,0.0,675.0257174626893
1,0.25,640.175090923391
2,0.5,640.692677019818
3,0.75,517.0443819632584
4,1.0,1096.4130834326072
5,1.25,1147.1929588450105
6,1.5,1155.9523291439227
7,1.75,1138.089936330264
8,2.0,1197.0707295280972
9,2.25,643.6849015562722
10,2.5,888.2223914768283
11,2.75,634.2528671718304
12,3.0,687.8399167930215
13,3.25,1142.7673983311065
14,3.5,1156.2740756442863
15,3.75,1153.9915608135486
16,4.0,1169.5115441072198
17,4.25,1202.2017703516983
18,4.5,1196.674566400801
19,4.75,1159.117311488211
20,5.0,1242.7626290898966
21,5.25,1211.6512701352087
22,5.5,1222.8807539787697
23,5.75,1218.8625859528156
24,6.0,1053.4241153699359
25,6.25,1156.7729645883906
26,6.5,1154.782349241214
27,6.75,1161.4438778298115
28,7.0,1055.088282719006
29,7.25,1072.0866915606443
30,7.5,1150.1053737358384
31,7.75,1157.5092157800252
32,8.0,1130.08651571785
33,8.25,631.8482071007103
34,8.5,632.4835978940155
35,8.75,641.3901144955894
36,9.0,633.1463390837874
37,9.25,633.8481913905495
38,9.5,639.8794749597645
39,9.75,636.7697702911626
40,10.0,640.5615227893052
41,10.25,517.4440030159271
42,10.5,516.974304039708
43,10.75,518.4341048540279
44,11.0,520.1725652444449
45,11.25,516.8696737988759
46,11.5,519.1505831087627
47,11.75,689.6125013637957
48,12.0,983.9871817779043
49,12.25,645.6531855507011
50,12.5,633.9501120113314
51,12.75,887.1024961402849
52,13.0,1157.6557833596835
53,13.25,1217.8262325770186
54,13.5,1263.0073614365858
55,13.75,1175.8725546401452
56,14.0,1209.5981173569162
57,14.25,1150.1847930156275
58,14.5,1154.1554849936654
59,14.75,1074.762987016706
60,15.0,1145.542963456885
61,15.25,1162.3529650708128
62,15.5,1150.5870490295556
63,15.75,1152.762646795949
64,16.0,1073.6937535919315
65,16.25,1153.104008004153
66,16.5,659.6460335761294
67,16.75,985.2673650460084
68,17.0,1066.0481346479012
69,17.25,1152.4902883619934
70,17.5,1055.8681414279647
71,17.75,1149.3439582890535
72,18.0,1068.2854609911092
73,18.25,1068.5233745203159
74,18.5,1057.4574456093978
75,18.75,1073.7663160907814
76,19.0,1160.1663995028289
77,19.25,1058.712814047547
78,19.5,1146.967985182306
79,19.75,1038.9249500653245
80,20.0,630.8308904807448
81,20.25,634.7613042443537
82,20.5,637.4273469372757
83,20.75,637.147379476528
84,21.0,637.4213404367684
85,21.25,639.155702609668
86,21.5,565.3217448969934
87,21.75,585.6338798389809
88,22.0,520.0134663186797
89,22.25,515.0231527941684
90,22.5,635.9267170758823
91,22.75,517.2115292260089
92,23.0,516.1182868469314
93,23.25,518.8188530495484
94,23.5,517.1602516959449
95,23.75,518.1513453214732
96,24.0,513.2797561328059
97,24.25,518.7747907200227
98,24.5,518.7194800796077
99,24.75,515.9685340125235
100,25.0,518.9494550375883
101,25.25,517.4474193232634
102,25.5,518.4058467747273
103,25.75,519.6854615948087
104,26.0,987.7210982262008
105,26.25,1147.414672926587
106,26.5,1067.3254731859063
107,26.75,1145.2815069651213
108,27.0,867.757042700622
109,27.25,634.7813250175221
110,27.5,634.989033130838
111,27.75,642.2478533755929
112,28.0,1162.5952867248257
113,28.25,1148.4348531683684
114,28.5,1165.02941938073
115,28.75,1142.0568943789933
116,29.0,1150.4312934519762
117,29.25,1154.674231975745
118,29.5,1165.5453959501692
119,29.75,1161.7854576628772
120,30.0,1070.490828672418
121,30.25,1166.519606368183
122,30.5,1161.737824406794
123,30.75,1076.4826356847518
124,31.0,1149.4718589626657
125,31.25,1142.0927966080633
126,31.5,1207.5905362697501
127,31.75,1249.465999583001
128,32.0,1230.3776127748201
129,32.25,1251.5009690021484
130,32.5,1245.531629402784
131,32.75,1070.9732152403499
132,33.0,1088.0504153151046
133,33.25,573.9659321759616
134,33.5,1164.9072426505775
135,33.75,1147.7457569185472
136,34.0,1155.0390344419775
137,34.25,528.5310040754188
138,34.5,639.8040253996694
139,34.75,631.8528340709047
140,35.0,643.2835438054782
141,35.25,533.155195345726
142,35.5,638.853962878887
143,35.75,637.3119004703448
144,36.0,563.6051440956876
145,36.25,518.9267398696365
146,36.5,516.5021540378509
147,36.75,519.2405009207466
148,37.0,515.6390812681832
149,37.25,515.9624533566619
150,37.5,514.2319909409224
151,37.75,517.9214220629339
152,38.0,518.447541133306
153,38.25,517.4475367657774
154,38.5,516.8893374166064
155,38.75,515.7922557969669
156,39.0,520.5205248068534
157,39.25,518.1977662824853
158,39.5,514.4589027892915
159,39.75,516.6763004762053
160,40.0,513.3539012343923
161,40.25,519.4076934808551
162,40.5,519.9841521536185
163,40.75,519.2400154670909
164,41.0,517.0493022997788
165,41.25,516.2712889673071
166,41.5,515.0985485256143
167,41.75,517.8978287097846
168,42.0,516.0505075671471
169,42.25,516.5852473543522
170,42.5,516.2044228709717
171,42.75,516.6832397368083
172,43.0,518.4287950484133
173,43.25,519.574327368761
174,43.5,517.3502353705458
175,43.75,517.1608256028001
176,44.0,515.5224119263108
177,44.25,515.3548864505852
178,44.5,551.9585924537967
179,44.75,1098.7392928393053
180,45.0,638.850402884211
181,45.25,641.6436133927249
182,45.5,649.0786038983243
183,45.75,595.245363721047
184,46.0,540.4096762801341
185,46.25,636.4754047157678
186,46.5,632.3686925729346
187,46.75,520.0409435048769
188,47.0,517.5321425279017
189,47.25,516.6098279993215
190,47.5,751.8785931929135
191,47.75,516.5865396182602
192,48.0,517.9512278546831
193,48.25,516.9066391851778
194,48.5,517.663337411148
195,48.75,516.6106057119805
196,49.0,517.8613582910036
197,49.25,519.2165435828524
198,49.5,515.3128599898087
199,49.75,513.9184595465952
200,50.0,519.1106233047992
201,50.25,517.3911087978074
202,50.5,518.4177828467867
203,50.75,516.7268357885276
204,51.0,519.394699495627
205,51.25,519.7993061774757
206,51.5,515.4454179442574
207,51.75,518.1262537039864
208,52.0,516.2581532553571
209,52.25,514.7986731700839
210,52.5,601.8501850788759
211,52.75,517.9682740898832
212,53.0,515.1429494856708
213,53.25,515.2616588534895
214,53.5,518.9295450664675
215,53.75,517.1759603397112
216,54.0,517.7127643459617
217,54.25,545.7447381438777
218,54.5,516.1662294147
219,54.75,994.9930663196332
220,55.0,1068.8160265380143
221,55.25,1157.10441560138
222,55.5,1402.9452020547444
223,55.75,1226.9234384759
224,56.0,1143.182282572918
225,56.25,1061.6991679783962
226,56.5,1219.0103747855235
227,56.75,1264.1020524797727
228,57.0,1197.5030136243088
229,57.25,1207.4172082526466
230,57.5,1155.4528586335318
231,57.75,1149.8117317045387
232,58.0,1148.8190563219237
233,58.25,1153.6554527863807
234,58.5,1073.860157165391
235,58.75,1159.5540113835002
236,59.0,1153.1712177730856
237,59.25,1158.85579577922
238,59.5,1144.9224285159758
239,59.75,1163.749983138954
240,60.0,1071.0723698936038
241,60.25,638.7859015996041
242,60.5,631.2529975161142
243,60.75,645.5526706857916
244,61.0,626.1985109404934
245,61.25,633.7158344240847
246,61.5,634.0212214465022
247,61.75,662.3113564307412
248,62.0,514.8431404411014
249,62.25,517.3737621627669
250,62.5,516.8071119368874
251,62.75,516.6049550934838
252,63.0,1072.8607654154341
253,63.25,1167.2331311677597
254,63.5,1158.752736330402
255,63.75,1153.2048334784954
256,64.0,1136.6496311658339
257,64.25,1269.598575234084
258,64.5,1065.2350529371358
259,64.75,1054.982871840836
260,65.0,1068.284775606154
261,65.25,1076.8109945902638
262,65.5,1154.3405352911088
263,65.75,540.0798346056021
264,66.0,646.4446269770885
265,66.25,640.0407194588207
266,66.5,638.9977497925888
267,66.75,641.6265063905653
268,67.0,629.1847950255279
269,67.25,637.3935563085856
270,67.5,516.8123445604824
271,67.75,520.3663064678975
272,68.0,897.0413991534942
273,68.25,1151.060694378431
274,68.5,1144.1396013563349
275,68.75,1148.8477560851345
276,69.0,1153.9552761241898
277,69.25,1157.835406807527
278,69.5,1154.0278558537188
279,69.75,1172.2650287897281
280,70.0,639.6353154570796
281,70.25,640.2095134170755
282,70.5,643.0646639173706
283,70.75,640.1954434662305
284,71.0,635.6779693731504
285,71.25,631.6751921032073
286,71.5,639.1245496545442
287,71.75,634.4771705468514
288,72.0,519.0006978213203
289,72.25,515.9508220400977
290,72.5,513.8145262328409
291,72.75,517.1350955263915
292,73.0,518.6440999799785
293,73.25,516.7712825710962
294,73.5,517.3416133876989
295,73.75,517.3004228661836
296,74.0,519.596001623561
297,74.25,517.5154443045265
298,74.5,517.0132609630638
299,74.75,516.1707153873523
300,75.0,514.6672997782682
301,75.25,519.1339496298781
302,75.5,518.753794817996
303,75.75,515.6740511177771
304,76.0,517.962513010656
305,76.25,517.5486186280737
306,76.5,593.2252801406921
307,76.75,931.8879679969181
308,77.0,640.666626902749
309,77.25,538.7417715830003
310,77.5,583.9072786846391
311,77.75,637.4073610604219
312,78.0,637.681173591875
313,78.25,636.8842822371033
314,78.5,632.6638626684156
315,78.75,639.7902124441521
316,79.0,515.7578241515245
317,79.25,517.1920634644633
318,79.5,516.2940849732016
319,79.75,519.2774784764856
320,80.0,515.0069989779037
321,80.25,516.7238137404739
322,80.5,518.0927109321882
323,80.75,516.6512445752452
324,81.0,516.5813178515151
325,81.25,516.2810586795922
326,81.5,517.5304059622292
327,81.75,515.3675281449548
328,82.0,516.9549124585644
329,82.25,516.9272672696263
330,82.5,522.141158907746
331,82.75,636.8860831762912
332,83.0,635.9241746670998
333,83.25,638.9658750335313
334,83.5,641.1333843680014
335,83.75,641.9495369444807
336,84.0,541.4686924115429
337,84.25,639.0429266564987
338,84.5,514.754638482578
339,84.75,569.1893486560333
340,85.0,519.546418587255
341,85.25,620.2579435529931
342,85.5,519.386565194675
343,85.75,953.4372054362327
344,86.0,1156.0018539619757
