t_bin,time_s,power_w
0,0.0,664.1556665934387
1,0.25,495.98608692352946
2,0.5,640.4916285023315
3,0.75,516.0825437121626
4,1.0,1157.5092157800252
5,1.25,1259.7461694194892
6,1.5,1169.7391795108624
7,1.75,1144.6213416701771
8,2.0,1252.528241612606
9,2.25,1181.0022451554642
10,2.5,1147.5089159771476
11,2.75,1160.2715295443038
12,3.0,1153.6911791863927
13,3.25,1245.3390783363657
14,3.5,1229.3300710540743
15,3.75,1334.6282358975523
16,4.0,1375.3528205589732
17,4.25,1599.225281823416
18,4.5,1465.388918895902
19,4.75,1395.3406703099783
20,5.0,1257.3422830422076
21,5.25,1223.0632940732187
22,5.5,1234.696783928798
23,5.75,1187.976071672566
24,6.0,1198.7373183800767
25,6.25,1228.6962301387916
26,6.5,1155.0047111743447
27,6.75,1263.0073614365858
28,7.0,1144.7726731247462
29,7.25,1152.9979648734543
30,7.5,1198.0634743530259
31,7.75,1329.7151542946542
32,8.0,1382.7425276133927
33,8.25,1287.260470913815
34,8.5,1370.1239265351396
35,8.75,1199.7128152931884
36,9.0,1208.6332598389388
37,9.25,1252.9706904840996
38,9.5,1210.0329182569117
39,9.75,1160.8772938629647
40,10.0,1156.360365931953
41,10.25,1154.0174173419236
42,10.5,1152.4902883619934
43,10.75,1141.29027581496
44,11.0,1149.3439582890535
45,11.25,1156.814547791504
46,11.5,1068.5233745203159
47,11.75,519.5612783042832
48,12.0,641.4839804392886
49,12.25,639.829793200739
50,12.5,632.5901046697004
51,12.75,831.8874654188886
52,13.0,1236.8571646648404
53,13.25,1160.9125701819285
54,13.5,1195.0142707848504
55,13.75,1218.145827709064
56,14.0,1215.7167281029674
57,14.25,1218.0937131241146
58,14.5,1233.141670696639
59,14.75,1193.3143025490363
60,15.0,1151.5785106807602
61,15.25,1080.713245571181
62,15.5,785.2141111687583
63,15.75,635.9267170758823
64,16.0,638.0946497782637
65,16.25,1198.5672454531893
66,16.5,1165.591149602166
67,16.75,1222.7457111625858
68,17.0,1367.4645768962835
69,17.25,1231.5601134904416
70,17.5,1384.8570558330987
71,17.75,1540.3448624422022
72,18.0,1428.8738612616385
73,18.25,1549.66367065851
74,18.5,1488.7997275633838
75,18.75,1527.6361369179517
76,19.0,1579.4873697816868
77,19.25,1341.324603750642
78,19.5,1296.4869015912607
79,19.75,1220.3259322842207
80,20.0,804.3468592009355
81,20.25,1193.880028220657
82,20.5,1195.1879783010281
83,20.75,1196.9901295042123
84,21.0,1130.9791611039884
85,21.25,1162.5952867248257
86,21.5,855.8417822705478
87,21.75,1074.8562480687726
88,22.0,631.2717059308177
89,22.25,635.2292319708531
90,22.5,1154.674231975745
91,22.75,1075.2689595929912
92,23.0,1161.7854576628772
93,23.25,1159.571723164081
94,23.5,1166.519606368183
95,23.75,1161.737824406794
96,24.0,1167.0627473917673
97,24.25,634.775827858861
98,24.5,631.2886724027045
99,24.75,636.2107899322439
100,25.0,1089.1429977486905
101,25.25,1158.0658539888584
102,25.5,1163.21760695265
103,25.75,1161.7617510440555
104,26.0,1359.3868900423734
105,26.25,1371.6097992904863
106,26.5,1197.7673276187238
107,26.75,1258.4288587889027
108,27.0,1188.062872869988
109,27.25,1217.966965763215
110,27.5,1144.4041854653167
111,27.75,1160.111873051908
112,28.0,1169.7793247886268
113,28.25,1268.9563235709136
114,28.5,1176.7438087669723
115,28.75,1230.5236669499673
116,29.0,1217.144172135955
117,29.25,861.9819234183223
118,29.5,1166.2017205971881
119,29.75,1152.4801021212681
120,30.0,1077.2142415225408
121,30.25,1147.5956574845463
122,30.5,1194.9511784578153
123,30.75,1139.6324184114173
124,31.0,1160.5122592426837
125,31.25,1252.616856574802
126,31.5,1229.412070604884
127,31.75,1154.6713145476751
128,32.0,1191.0017977615255
129,32.25,1433.5584231142184
130,32.5,1519.2045136760821
131,32.75,1264.4551888796511
132,33.0,1457.5532444209937
133,33.25,1134.4205491384334
134,33.5,1568.2319365585752
135,33.75,1591.5906007508827
136,34.0,1561.4374609074887
137,34.25,1336.7204891431647
138,34.5,1315.0159733522776
139,34.75,1174.9045393092522
140,35.0,1160.378735823451
141,35.25,572.4656238427137
142,35.5,1209.4029167591896
143,35.75,1200.5660047257056
144,36.0,1211.6767990895198
145,36.25,1163.3836686357724
146,36.5,1278.7635758058404
147,36.75,1345.1157264917513
148,37.0,1156.2077655418336
149,37.25,1184.7401558455592
150,37.5,1180.8527800150628
151,37.75,1147.347594808411
152,38.0,1163.3089397204487
153,38.25,638.850402884211
154,38.5,641.6436133927249
155,38.75,639.5383175373049
156,39.0,926.8984580202255
157,39.25,1180.480931115893
158,39.5,1209.8864304594133
159,39.75,1144.3781940560855
160,40.0,1172.5074067011076
161,40.25,1158.3091839008378
162,40.5,1153.0894684714792
163,40.75,645.6419205245802
164,41.0,636.4231331510657
165,41.25,640.0729523638032
166,41.5,637.2792301834452
167,41.75,639.3029977002149
168,42.0,1153.0938698320133
169,42.25,1070.9712380737108
170,42.5,1167.8418258611555
171,42.75,1145.749451892688
172,43.0,1147.5209467242767
173,43.25,1268.0034692432994
174,43.5,1346.2559870893547
175,43.75,1251.9263249212077
176,44.0,1327.7245257150746
177,44.25,1402.1508723365648
178,44.5,1413.4383294388554
179,44.75,1291.9763544757304
180,45.0,1245.1614831041734
181,45.25,1314.6495217047982
182,45.5,1167.9460262580194
183,45.75,1212.1318101569834
184,46.0,1241.4956159820765
185,46.25,1283.5382838647997
186,46.5,1286.8499614939792
187,46.75,1075.806628974838
188,47.0,1223.1102252870326
189,47.25,1070.2985937138267
190,47.5,1146.566894868791
191,47.75,1063.2978508599838
192,48.0,1156.9559295595293
193,48.25,1068.8160265380143
194,48.5,997.4178800917919
195,48.75,1169.01121616979
196,49.0,1068.6125027651071
197,49.25,1169.351592473877
198,49.5,1148.5802905086325
199,49.75,1219.0103747855235
200,50.0,1389.535498938121
201,50.25,1197.5030136243088
202,50.5,1152.4660652633372
203,50.75,1067.1962936893663
204,51.0,1062.6841545127659
205,51.25,1148.8190563219237
206,51.5,1065.758611920942
207,51.75,1377.1785601662866
208,52.0,1236.4793957970821
209,52.25,1210.3084935612976
210,52.5,1496.1465262169145
211,52.75,1284.2015973504172
212,53.0,1531.1888291764928
213,53.25,1515.900424935713
214,53.5,1348.4566263022252
215,53.75,1164.5749244805606
216,54.0,1419.0406665284775
217,54.25,1217.157792647652
218,54.5,1185.9433940414654
219,54.75,846.7002141572589
220,55.0,640.3239933767768
221,55.25,631.7604624820907
222,55.5,1485.8150680228357
223,55.75,1214.551214425885
224,56.0,1209.860228630365
225,56.25,1162.5346446205754
226,56.5,1267.9655295180312
227,56.75,1233.193986247823
228,57.0,598.5783318789584
229,57.25,466.8098892015123
230,57.5,1076.937491284783
231,57.75,1153.0008934816099
232,58.0,1140.1835018632014
233,58.25,1225.2434600237214
234,58.5,1268.9501342512158
235,58.75,1330.627343803144
236,59.0,1288.7994382578368
237,59.25,1296.3830318979797
238,59.5,1240.8203990528705
239,59.75,1231.7712145560424
240,60.0,1163.9683689956594
241,60.25,1146.6304467837833
242,60.5,1155.0111535828214
243,60.75,1214.6726358061585
244,61.0,1297.1412010291465
245,61.25,1313.9522215039087
246,61.5,1201.6548687068578
247,61.75,1173.2768167280972
248,62.0,1192.5813195272033
249,62.25,1153.9552761241898
250,62.5,1157.835406807527
251,62.75,1154.0278558537188
252,63.0,1288.5974516453791
253,63.25,1237.3029663544091
254,63.5,1242.2849168808107
255,63.75,1267.057241982772
256,64.0,1242.1628408653903
257,64.25,1202.967591136207
258,64.5,1142.9106990523774
259,64.75,1232.871376317364
260,65.0,1192.549023392035
261,65.25,1265.4526830671625
262,65.5,1194.6812774251964
263,65.75,1052.6523304052157
264,66.0,1156.062149623764
265,66.25,1074.5144967319713
266,66.5,1213.719805292466
267,66.75,1226.9541520223927
268,67.0,1343.7260892678235
269,67.25,1279.2665200529073
270,67.5,1230.9878436250654
271,67.75,1219.3348375636037
272,68.0,1199.78383319889
273,68.25,1164.897548133111
274,68.5,1076.7319128191687
275,68.75,1165.2229612623776
276,69.0,555.5082170220635
277,69.25,640.1031341870132
278,69.5,638.9961856332889
279,69.75,636.2221059688443
280,70.0,636.4864349392066
281,70.25,640.666626902749
282,70.5,632.9872252273979
283,70.75,635.6688629003103
284,71.0,613.1879498915837
285,71.25,1155.6197716654788
286,71.5,1213.4340006783418
287,71.75,1228.0053763312537
288,72.0,1238.6469090014516
289,72.25,1148.26766691419
290,72.5,1156.384552032181
291,72.75,1151.302563143546
292,73.0,1398.8807157019799
293,73.25,1172.7801609272667
294,73.5,1327.6402185612442
295,73.75,1365.8288323980744
296,74.0,1210.934361455992
297,74.25,1209.31173388513
298,74.5,1202.344314495557
299,74.75,1158.2993560402183
300,75.0,633.162922227376
301,75.25,637.4083356567438
302,75.5,637.3343993986057
303,75.75,632.0015874874471
304,76.0,638.8144039803865
305,76.25,635.9241746670998
306,76.5,1158.3382888535477
307,76.75,1250.3007575680986
308,77.0,1232.7888613490848
309,77.25,1181.0264798447877
310,77.5,1351.1376498045688
311,77.75,1272.7054331325025
312,78.0,1306.8276778061238
313,78.25,1406.3834340197398
314,78.5,1338.4557173742794
315,78.75,1401.9239468378712
316,79.0,1330.9757403561946
317,79.25,1221.914744285689
318,79.5,1292.920412478345
319,79.75,1377.0180617132487
320,80.0,1330.4831907346768
321,80.25,1243.0262324136525
322,80.5,1236.6610512909203
323,80.75,1240.095052237692
324,81.0,1158.7339377279018
325,81.25,1220.8212830976852
326,81.5,1222.1670024420275
327,81.75,1198.7758298111482
328,82.0,1150.1951283816288
329,82.25,1239.0179855989247
330,82.5,1293.1565706008287
331,82.75,1259.2755981701698
332,83.0,1301.998098837061
333,83.25,1239.3248388383922
334,83.5,1190.3568911902287
335,83.75,1189.6317579847491
336,84.0,1248.4855959047134
337,84.25,1354.4006036774279
338,84.5,1217.7620933170308
339,84.75,1248.6044256608473
340,85.0,1193.8222066756703
341,85.25,1241.309815218276
342,85.5,1066.1090876065718
343,85.75,1229.025032982499
344,86.0,1263.9996222949442
345,86.25,1155.313809260086
346,86.5,1167.8529579709093
347,86.75,1167.4728792767967
348,87.0,1198.2127296024885
349,87.25,1302.8141443764273
350,87.5,1290.865433508336
351,87.75,1220.70868833133
352,88.0,1249.1246023464287
353,88.25,1146.8109714546868
354,88.5,1259.2353783895844
