timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/05/28 11:34:52.560, 178.00 W, 0 %, 74673 MiB
2025/05/28 11:34:52.568, 169.34 W, 0 %, 74655 MiB
2025/05/28 11:34:52.572, 170.99 W, 0 %, 74655 MiB
2025/05/28 11:34:52.576, 176.22 W, 0 %, 74655 MiB
2025/05/28 11:34:52.580, 168.08 W, 0 %, 74655 MiB
2025/05/28 11:34:52.584, 175.22 W, 0 %, 74655 MiB
2025/05/28 11:34:52.588, 167.26 W, 0 %, 74655 MiB
2025/05/28 11:34:52.592, 164.93 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 127.83 W, 0 %, 74673 MiB
2025/05/28 11:34:52.846, 121.76 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 119.43 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 124.79 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 125.72 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 125.78 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 118.23 W, 0 %, 74655 MiB
2025/05/28 11:34:52.846, 118.68 W, 0 %, 74655 MiB
2025/05/28 11:34:53.096, 123.26 W, 0 %, 74673 MiB
2025/05/28 11:34:53.097, 119.97 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 119.18 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 122.91 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 121.62 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 125.25 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 116.97 W, 0 %, 74655 MiB
2025/05/28 11:34:53.097, 118.36 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 123.14 W, 0 %, 74673 MiB
2025/05/28 11:34:53.347, 119.87 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 119.12 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 122.64 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 121.49 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 124.93 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 116.83 W, 0 %, 74655 MiB
2025/05/28 11:34:53.347, 117.85 W, 0 %, 74655 MiB
2025/05/28 11:34:53.597, 122.98 W, 0 %, 74673 MiB
2025/05/28 11:34:53.597, 119.68 W, 0 %, 74655 MiB
2025/05/28 11:34:53.597, 119.07 W, 0 %, 74655 MiB
2025/05/28 11:34:53.597, 122.27 W, 0 %, 74655 MiB
2025/05/28 11:34:53.597, 121.34 W, 0 %, 74655 MiB
2025/05/28 11:34:53.597, 124.83 W, 0 %, 74655 MiB
2025/05/28 11:34:53.598, 116.36 W, 0 %, 74655 MiB
2025/05/28 11:34:53.598, 117.49 W, 0 %, 74655 MiB
2025/05/28 11:34:53.848, 122.95 W, 0 %, 74673 MiB
2025/05/28 11:34:53.848, 119.62 W, 0 %, 74655 MiB
