timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/03/14 09:33:58.557, 80.48 W, 0 %, 72963 MiB
2025/03/14 09:33:58.562, 62.85 W, 0 %, 14 MiB
2025/03/14 09:33:58.569, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:58.575, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:58.582, 59.70 W, 0 %, 14 MiB
2025/03/14 09:33:58.589, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:58.595, 59.58 W, 0 %, 14 MiB
2025/03/14 09:33:58.602, 66.88 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 80.14 W, 0 %, 72963 MiB
2025/03/14 09:33:58.858, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 59.70 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:58.858, 59.58 W, 0 %, 14 MiB
2025/03/14 09:33:58.859, 66.88 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 79.87 W, 0 %, 72963 MiB
2025/03/14 09:33:59.109, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 59.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 59.58 W, 0 %, 14 MiB
2025/03/14 09:33:59.109, 66.88 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 79.87 W, 0 %, 72963 MiB
2025/03/14 09:33:59.359, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 59.42 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 59.58 W, 0 %, 14 MiB
2025/03/14 09:33:59.359, 66.88 W, 0 %, 14 MiB
2025/03/14 09:33:59.609, 79.54 W, 0 %, 72963 MiB
2025/03/14 09:33:59.609, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 59.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 59.58 W, 0 %, 14 MiB
2025/03/14 09:33:59.610, 66.88 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 65.19 W, 0 %, 72963 MiB
2025/03/14 09:33:59.860, 62.85 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 64.99 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 60.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 59.70 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 62.51 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 59.30 W, 0 %, 14 MiB
2025/03/14 09:33:59.860, 66.88 W, 0 %, 14 MiB
2025/03/14 09:34:00.110, 64.53 W, 0 %, 72963 MiB
2025/03/14 09:34:00.110, 62.51 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 64.99 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 60.70 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 59.70 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 62.51 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 59.58 W, 0 %, 14 MiB
2025/03/14 09:34:00.111, 66.88 W, 0 %, 14 MiB
2025/03/14 09:34:00.361, 64.53 W, 0 %, 72963 MiB
2025/03/14 09:34:00.361, 62.51 W, 0 %, 14 MiB
2025/03/14 09:34:00.361, 64.99 W, 0 %, 14 MiB
2025/03/14 09:34:00.361, 60.70 W, 0 %, 14 MiB
