timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/03/14 08:21:49.598, 63.32 W, 0 %, 72680 MiB
2025/03/14 08:21:49.603, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:49.610, 64.99 W, 0 %, 14 MiB
2025/03/14 08:21:49.616, 60.70 W, 0 %, 14 MiB
2025/03/14 08:21:49.623, 59.70 W, 0 %, 14 MiB
2025/03/14 08:21:49.629, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:49.635, 59.58 W, 0 %, 14 MiB
2025/03/14 08:21:49.642, 66.88 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 63.32 W, 0 %, 72680 MiB
2025/03/14 08:21:49.899, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 64.99 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 60.70 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 59.70 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 59.58 W, 0 %, 14 MiB
2025/03/14 08:21:49.899, 66.88 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 63.32 W, 0 %, 72680 MiB
2025/03/14 08:21:50.149, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 64.99 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 60.70 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 59.70 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 59.58 W, 0 %, 14 MiB
2025/03/14 08:21:50.149, 66.88 W, 0 %, 14 MiB
2025/03/14 08:21:50.399, 63.32 W, 0 %, 72680 MiB
2025/03/14 08:21:50.399, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 64.99 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 60.70 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 59.70 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 59.58 W, 0 %, 14 MiB
2025/03/14 08:21:50.400, 66.88 W, 0 %, 14 MiB
2025/03/14 08:21:50.650, 63.32 W, 0 %, 72680 MiB
2025/03/14 08:21:50.650, 62.51 W, 0 %, 14 MiB
2025/03/14 08:21:50.650, 64.99 W, 0 %, 14 MiB
2025/03/14 08:21:50.650, 60.70 W, 0 %, 14 MiB
