Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741975351.585009,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,32,263,13.963509559631348
1741975352.0481946,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,47,641,27.059397220611572
1741975352.240504,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,4.0,2,1322,189,5.062267780303955
1741975352.275245,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,179,505,8.345237255096436
1741975352.610643,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tigerbot-kaggle,4.0,2,273,827,343.036896944046
1741975352.7209914,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,23,419,63.718881368637085
1741975352.8962147,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,4.0,2,43,877,56.37277102470398
1741975352.9073026,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,4.0,2,53,31,5.100079298019409
1741975353.2270827,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,4.0,2,94,542,23.785011768341064
1741975353.2490249,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,4.0,2,183,84,11.479456186294556
1741975353.4271665,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,202,300,108.27502870559692
1741975353.8827183,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,31,509,84.33768081665039
1741975354.65959,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,157,731,38.75491452217102
1741975354.83969,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,91,588,218.75277638435364
1741975355.1522255,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,12,304,8.128328323364258
1741975355.2666028,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,4.0,2,242,123,16.087570667266846
1741975355.4978337,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,guanaco,4.0,2,17,146,10.488144159317017
1741975355.6219654,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,25,318,6.654158353805542
1741975355.821175,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,4.0,2,189,68,31.911250352859497
1741975355.8777118,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,4.0,2,47,238,14.450066089630127
1741975356.3343163,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,4.0,2,178,73,24.133671283721924
1741975356.5225904,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,4.0,2,39,249,5.400044918060303
