Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741982157.5347402,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,0.25,8,535,245,4.85791802406311
1741982158.5994394,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,13,367,4.342115163803101
1741982163.6781633,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,41,690,22.852046966552734
1741982163.7025223,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,49,386,5.066053152084351
1741982166.3075836,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,8,146,172,12.297840356826782
1741982168.8162816,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,leetcode_ne,0.25,8,398,548,69.25147795677185
1741982169.3522775,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,guanaco,0.25,8,28,1103,12.92725396156311
1741982178.5387683,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,guanaco,0.25,8,19,537,14.353439569473267
1741982180.6331134,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,8,152,72,7.358323574066162
1741982191.4542935,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,8,185,32,5.643691301345825
1741982192.0253468,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,40,380,12.502426862716675
1741982194.997665,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,44,648,25.238083600997925
1741982209.018666,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,30,372,5.330803155899048
1741982215.6691492,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,leetcode_ne,0.25,8,645,685,69.17439413070679
1741982215.9707649,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,57,679,27.434937477111816
1741982226.9411094,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,8,35,246,3.6573219299316406
1741982237.145157,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scibench,0.25,8,121,403,82.49743342399597
1741982240.9530704,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,leetcode_ne,0.25,8,238,754,209.13522791862488
