timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/17 09:29:37.548, 84.94 W, 0 %, 76879 MiB
2025/10/17 09:29:37.555, 83.06 W, 0 %, 76879 MiB
2025/10/17 09:29:37.562, 81.74 W, 0 %, 76879 MiB
2025/10/17 09:29:37.568, 79.75 W, 0 %, 76879 MiB
2025/10/17 09:29:37.574, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:37.582, 60.06 W, 0 %, 4 MiB
2025/10/17 09:29:37.591, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:37.600, 59.42 W, 0 %, 4 MiB
2025/10/17 09:29:37.859, 84.08 W, 0 %, 76879 MiB
2025/10/17 09:29:37.859, 83.06 W, 0 %, 76879 MiB
2025/10/17 09:29:37.859, 81.41 W, 0 %, 76879 MiB
2025/10/17 09:29:37.859, 80.03 W, 0 %, 76879 MiB
2025/10/17 09:29:37.859, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:37.859, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:37.859, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:37.859, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:38.109, 83.40 W, 0 %, 76879 MiB
2025/10/17 09:29:38.109, 82.46 W, 0 %, 76879 MiB
2025/10/17 09:29:38.109, 81.14 W, 0 %, 76879 MiB
2025/10/17 09:29:38.109, 79.22 W, 0 %, 76879 MiB
2025/10/17 09:29:38.109, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:38.109, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:38.110, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:38.110, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:38.360, 83.14 W, 0 %, 76879 MiB
2025/10/17 09:29:38.360, 82.46 W, 0 %, 76879 MiB
2025/10/17 09:29:38.360, 80.81 W, 0 %, 76879 MiB
2025/10/17 09:29:38.360, 79.22 W, 0 %, 76879 MiB
2025/10/17 09:29:38.360, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:38.360, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:38.360, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:38.360, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:38.610, 83.06 W, 0 %, 76879 MiB
2025/10/17 09:29:38.610, 82.18 W, 0 %, 76879 MiB
2025/10/17 09:29:38.610, 80.81 W, 0 %, 76879 MiB
2025/10/17 09:29:38.610, 78.89 W, 0 %, 76879 MiB
2025/10/17 09:29:38.610, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:38.610, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:38.610, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:38.610, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:38.861, 82.87 W, 0 %, 76879 MiB
2025/10/17 09:29:38.861, 82.18 W, 0 %, 76879 MiB
2025/10/17 09:29:38.861, 80.81 W, 0 %, 76879 MiB
2025/10/17 09:29:38.861, 78.89 W, 0 %, 76879 MiB
2025/10/17 09:29:38.861, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:38.861, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:38.861, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:38.861, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:39.111, 82.46 W, 0 %, 76879 MiB
2025/10/17 09:29:39.111, 67.15 W, 0 %, 76879 MiB
2025/10/17 09:29:39.111, 66.34 W, 0 %, 76879 MiB
2025/10/17 09:29:39.111, 78.56 W, 0 %, 76879 MiB
2025/10/17 09:29:39.111, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:39.111, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:39.111, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:39.111, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:39.361, 67.54 W, 0 %, 76879 MiB
2025/10/17 09:29:39.361, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:39.361, 66.07 W, 0 %, 76879 MiB
2025/10/17 09:29:39.361, 65.00 W, 0 %, 76879 MiB
2025/10/17 09:29:39.361, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:39.362, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:39.362, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:39.362, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:39.612, 67.54 W, 0 %, 76879 MiB
2025/10/17 09:29:39.612, 66.54 W, 0 %, 76879 MiB
2025/10/17 09:29:39.612, 65.74 W, 0 %, 76879 MiB
2025/10/17 09:29:39.612, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:39.612, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:39.612, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:39.612, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:39.612, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:39.862, 67.54 W, 0 %, 76879 MiB
2025/10/17 09:29:39.862, 67.15 W, 0 %, 76879 MiB
2025/10/17 09:29:39.862, 65.74 W, 0 %, 76879 MiB
2025/10/17 09:29:39.862, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:39.862, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:39.862, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:39.862, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:39.862, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:40.113, 67.21 W, 0 %, 76879 MiB
2025/10/17 09:29:40.113, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:40.113, 65.74 W, 0 %, 76879 MiB
2025/10/17 09:29:40.113, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:40.113, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:40.113, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:40.113, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:40.113, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:40.363, 67.21 W, 0 %, 76879 MiB
2025/10/17 09:29:40.363, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:40.363, 65.74 W, 0 %, 76879 MiB
2025/10/17 09:29:40.363, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:40.363, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:40.363, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:40.363, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:40.363, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:40.613, 67.21 W, 0 %, 76879 MiB
2025/10/17 09:29:40.613, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:40.613, 65.46 W, 0 %, 76879 MiB
2025/10/17 09:29:40.613, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:40.613, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:40.614, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:40.614, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:40.614, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:40.864, 67.21 W, 0 %, 76879 MiB
2025/10/17 09:29:40.864, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:40.864, 65.46 W, 0 %, 76879 MiB
2025/10/17 09:29:40.864, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:40.864, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:40.864, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:40.864, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:40.864, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:41.114, 66.89 W, 0 %, 76879 MiB
2025/10/17 09:29:41.114, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:41.114, 65.46 W, 0 %, 76879 MiB
2025/10/17 09:29:41.114, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:41.114, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:41.114, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:41.114, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:41.114, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:41.365, 66.89 W, 0 %, 76879 MiB
2025/10/17 09:29:41.365, 66.54 W, 0 %, 76879 MiB
2025/10/17 09:29:41.365, 65.46 W, 0 %, 76879 MiB
2025/10/17 09:29:41.365, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:41.365, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:41.365, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:41.365, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:41.365, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:41.615, 66.89 W, 0 %, 76879 MiB
2025/10/17 09:29:41.615, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:41.615, 65.13 W, 0 %, 76879 MiB
2025/10/17 09:29:41.615, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:41.615, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:41.615, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:41.615, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:41.615, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:41.865, 66.89 W, 0 %, 76879 MiB
2025/10/17 09:29:41.865, 66.82 W, 0 %, 76879 MiB
2025/10/17 09:29:41.865, 65.46 W, 0 %, 76879 MiB
2025/10/17 09:29:41.865, 64.72 W, 0 %, 76879 MiB
2025/10/17 09:29:41.866, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:41.866, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:41.866, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:41.866, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:42.116, 66.60 W, 0 %, 76879 MiB
2025/10/17 09:29:42.116, 66.54 W, 0 %, 76879 MiB
2025/10/17 09:29:42.116, 65.13 W, 0 %, 76879 MiB
2025/10/17 09:29:42.116, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:42.116, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:42.116, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:42.116, 57.30 W, 0 %, 4 MiB
2025/10/17 09:29:42.116, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:42.366, 66.60 W, 0 %, 76879 MiB
2025/10/17 09:29:42.366, 66.54 W, 0 %, 76879 MiB
2025/10/17 09:29:42.366, 65.13 W, 0 %, 76879 MiB
2025/10/17 09:29:42.366, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:42.366, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:42.366, 60.13 W, 0 %, 4 MiB
2025/10/17 09:29:42.367, 57.02 W, 0 %, 4 MiB
2025/10/17 09:29:42.367, 59.49 W, 0 %, 4 MiB
2025/10/17 09:29:42.617, 66.60 W, 0 %, 76879 MiB
2025/10/17 09:29:42.617, 66.54 W, 0 %, 76879 MiB
2025/10/17 09:29:42.617, 65.13 W, 0 %, 76879 MiB
2025/10/17 09:29:42.617, 64.39 W, 0 %, 76879 MiB
2025/10/17 09:29:42.617, 57.73 W, 0 %, 4 MiB
2025/10/17 09:29:42.617, 60.13 W, 0 %, 4 MiB
