timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/09 22:05:36.141, 118.10 W, 0 %, 76231 MiB
2025/10/09 22:05:36.145, 117.19 W, 0 %, 76117 MiB
2025/10/09 22:05:36.148, 119.42 W, 0 %, 76117 MiB
2025/10/09 22:05:36.150, 121.15 W, 0 %, 76117 MiB
2025/10/09 22:05:36.153, 69.37 W, 0 %, 17 MiB
2025/10/09 22:05:36.155, 70.17 W, 0 %, 17 MiB
2025/10/09 22:05:36.158, 69.20 W, 0 %, 17 MiB
2025/10/09 22:05:36.161, 74.29 W, 0 %, 17 MiB
2025/10/09 22:05:36.414, 118.11 W, 0 %, 76231 MiB
2025/10/09 22:05:36.415, 117.24 W, 0 %, 76117 MiB
2025/10/09 22:05:36.415, 119.39 W, 0 %, 76117 MiB
2025/10/09 22:05:36.415, 121.15 W, 0 %, 76117 MiB
2025/10/09 22:05:36.415, 69.40 W, 0 %, 17 MiB
2025/10/09 22:05:36.415, 70.14 W, 0 %, 17 MiB
2025/10/09 22:05:36.415, 69.22 W, 0 %, 17 MiB
2025/10/09 22:05:36.415, 74.29 W, 0 %, 17 MiB
2025/10/09 22:05:36.665, 118.11 W, 0 %, 76231 MiB
2025/10/09 22:05:36.665, 117.24 W, 0 %, 76117 MiB
2025/10/09 22:05:36.665, 119.35 W, 0 %, 76117 MiB
2025/10/09 22:05:36.665, 121.15 W, 0 %, 76117 MiB
2025/10/09 22:05:36.665, 69.40 W, 0 %, 17 MiB
2025/10/09 22:05:36.665, 70.14 W, 0 %, 17 MiB
2025/10/09 22:05:36.665, 69.21 W, 0 %, 17 MiB
2025/10/09 22:05:36.665, 74.28 W, 0 %, 17 MiB
2025/10/09 22:05:36.915, 118.10 W, 0 %, 76231 MiB
2025/10/09 22:05:36.915, 117.26 W, 0 %, 76117 MiB
2025/10/09 22:05:36.915, 119.32 W, 0 %, 76117 MiB
2025/10/09 22:05:36.915, 121.15 W, 0 %, 76117 MiB
2025/10/09 22:05:36.915, 69.43 W, 0 %, 17 MiB
2025/10/09 22:05:36.915, 70.17 W, 0 %, 17 MiB
2025/10/09 22:05:36.915, 69.22 W, 0 %, 17 MiB
2025/10/09 22:05:36.915, 74.30 W, 0 %, 17 MiB
2025/10/09 22:05:37.166, 118.09 W, 0 %, 76231 MiB
2025/10/09 22:05:37.166, 117.26 W, 0 %, 76117 MiB
2025/10/09 22:05:37.166, 119.30 W, 0 %, 76117 MiB
2025/10/09 22:05:37.166, 121.10 W, 0 %, 76117 MiB
2025/10/09 22:05:37.166, 69.49 W, 0 %, 17 MiB
2025/10/09 22:05:37.166, 70.19 W, 0 %, 17 MiB
2025/10/09 22:05:37.166, 69.22 W, 0 %, 17 MiB
2025/10/09 22:05:37.166, 74.28 W, 0 %, 17 MiB
2025/10/09 22:05:37.416, 118.09 W, 0 %, 76231 MiB
2025/10/09 22:05:37.416, 117.24 W, 0 %, 76117 MiB
2025/10/09 22:05:37.416, 119.26 W, 0 %, 76117 MiB
2025/10/09 22:05:37.416, 121.11 W, 0 %, 76117 MiB
2025/10/09 22:05:37.416, 69.49 W, 0 %, 17 MiB
2025/10/09 22:05:37.416, 70.19 W, 0 %, 17 MiB
2025/10/09 22:05:37.416, 69.19 W, 0 %, 17 MiB
2025/10/09 22:05:37.416, 74.29 W, 0 %, 17 MiB
2025/10/09 22:05:37.666, 118.09 W, 0 %, 76231 MiB
2025/10/09 22:05:37.666, 117.24 W, 0 %, 76117 MiB
2025/10/09 22:05:37.666, 119.26 W, 0 %, 76117 MiB
2025/10/09 22:05:37.666, 121.09 W, 0 %, 76117 MiB
2025/10/09 22:05:37.666, 69.40 W, 0 %, 17 MiB
2025/10/09 22:05:37.667, 70.19 W, 0 %, 17 MiB
2025/10/09 22:05:37.667, 69.21 W, 0 %, 17 MiB
2025/10/09 22:05:37.667, 74.30 W, 0 %, 17 MiB
2025/10/09 22:05:37.917, 118.09 W, 0 %, 76231 MiB
2025/10/09 22:05:37.917, 117.25 W, 0 %, 76117 MiB
2025/10/09 22:05:37.917, 119.24 W, 0 %, 76117 MiB
2025/10/09 22:05:37.917, 121.09 W, 0 %, 76117 MiB
2025/10/09 22:05:37.917, 69.38 W, 0 %, 17 MiB
2025/10/09 22:05:37.917, 70.19 W, 0 %, 17 MiB
2025/10/09 22:05:37.917, 69.20 W, 0 %, 17 MiB
2025/10/09 22:05:37.917, 74.29 W, 0 %, 17 MiB
2025/10/09 22:05:38.167, 118.08 W, 0 %, 76231 MiB
2025/10/09 22:05:38.167, 117.23 W, 0 %, 76117 MiB
2025/10/09 22:05:38.167, 119.26 W, 0 %, 76117 MiB
2025/10/09 22:05:38.167, 121.11 W, 0 %, 76117 MiB
2025/10/09 22:05:38.167, 69.35 W, 0 %, 17 MiB
