timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/22 02:08:17.543, 134.09 W, 0 %, 76225 MiB
2025/10/22 02:08:17.546, 131.15 W, 0 %, 76113 MiB
2025/10/22 02:08:17.548, 127.17 W, 0 %, 76113 MiB
2025/10/22 02:08:17.550, 129.42 W, 0 %, 76113 MiB
2025/10/22 02:08:17.552, 70.56 W, 0 %, 17 MiB
2025/10/22 02:08:17.555, 78.80 W, 0 %, 17 MiB
2025/10/22 02:08:17.558, 73.82 W, 0 %, 17 MiB
2025/10/22 02:08:17.560, 71.39 W, 0 %, 17 MiB
2025/10/22 02:08:17.813, 133.88 W, 0 %, 76225 MiB
2025/10/22 02:08:17.813, 130.87 W, 0 %, 76113 MiB
2025/10/22 02:08:17.813, 126.94 W, 0 %, 76113 MiB
2025/10/22 02:08:17.813, 129.23 W, 0 %, 76113 MiB
2025/10/22 02:08:17.813, 70.58 W, 0 %, 17 MiB
2025/10/22 02:08:17.813, 78.81 W, 0 %, 17 MiB
2025/10/22 02:08:17.813, 73.86 W, 0 %, 17 MiB
2025/10/22 02:08:17.813, 71.63 W, 0 %, 17 MiB
2025/10/22 02:08:18.064, 133.71 W, 0 %, 76225 MiB
2025/10/22 02:08:18.064, 130.74 W, 0 %, 76113 MiB
2025/10/22 02:08:18.064, 126.68 W, 0 %, 76113 MiB
2025/10/22 02:08:18.064, 129.09 W, 0 %, 76113 MiB
2025/10/22 02:08:18.064, 70.56 W, 0 %, 17 MiB
2025/10/22 02:08:18.064, 78.85 W, 0 %, 17 MiB
2025/10/22 02:08:18.064, 74.13 W, 0 %, 17 MiB
2025/10/22 02:08:18.064, 71.95 W, 0 %, 17 MiB
2025/10/22 02:08:18.314, 133.52 W, 0 %, 76225 MiB
2025/10/22 02:08:18.314, 130.52 W, 0 %, 76113 MiB
2025/10/22 02:08:18.314, 126.57 W, 0 %, 76113 MiB
2025/10/22 02:08:18.314, 128.95 W, 0 %, 76113 MiB
2025/10/22 02:08:18.314, 70.57 W, 0 %, 17 MiB
2025/10/22 02:08:18.314, 78.84 W, 0 %, 17 MiB
2025/10/22 02:08:18.314, 74.12 W, 0 %, 17 MiB
2025/10/22 02:08:18.314, 72.05 W, 0 %, 17 MiB
2025/10/22 02:08:18.564, 133.38 W, 0 %, 76225 MiB
2025/10/22 02:08:18.564, 130.37 W, 0 %, 76113 MiB
2025/10/22 02:08:18.565, 126.39 W, 0 %, 76113 MiB
2025/10/22 02:08:18.565, 128.84 W, 0 %, 76113 MiB
2025/10/22 02:08:18.565, 70.61 W, 0 %, 17 MiB
2025/10/22 02:08:18.565, 78.82 W, 0 %, 17 MiB
2025/10/22 02:08:18.565, 73.89 W, 0 %, 17 MiB
2025/10/22 02:08:18.565, 72.05 W, 0 %, 17 MiB
2025/10/22 02:08:18.815, 133.20 W, 0 %, 76225 MiB
2025/10/22 02:08:18.815, 130.22 W, 0 %, 76113 MiB
2025/10/22 02:08:18.815, 126.28 W, 0 %, 76113 MiB
2025/10/22 02:08:18.815, 128.71 W, 0 %, 76113 MiB
2025/10/22 02:08:18.815, 70.56 W, 0 %, 17 MiB
2025/10/22 02:08:18.815, 78.83 W, 0 %, 17 MiB
2025/10/22 02:08:18.815, 73.89 W, 0 %, 17 MiB
2025/10/22 02:08:18.815, 71.95 W, 0 %, 17 MiB
2025/10/22 02:08:19.065, 133.06 W, 0 %, 76225 MiB
2025/10/22 02:08:19.065, 130.14 W, 0 %, 76113 MiB
2025/10/22 02:08:19.065, 126.12 W, 0 %, 76113 MiB
2025/10/22 02:08:19.065, 128.62 W, 0 %, 76113 MiB
2025/10/22 02:08:19.065, 70.59 W, 0 %, 17 MiB
2025/10/22 02:08:19.065, 78.78 W, 0 %, 17 MiB
2025/10/22 02:08:19.065, 73.76 W, 0 %, 17 MiB
2025/10/22 02:08:19.065, 71.73 W, 0 %, 17 MiB
2025/10/22 02:08:19.315, 132.95 W, 0 %, 76225 MiB
2025/10/22 02:08:19.316, 130.02 W, 0 %, 76113 MiB
2025/10/22 02:08:19.316, 126.00 W, 0 %, 76113 MiB
2025/10/22 02:08:19.316, 128.48 W, 0 %, 76113 MiB
2025/10/22 02:08:19.316, 70.58 W, 0 %, 17 MiB
2025/10/22 02:08:19.316, 78.77 W, 0 %, 17 MiB
2025/10/22 02:08:19.316, 73.90 W, 0 %, 17 MiB
2025/10/22 02:08:19.316, 71.63 W, 0 %, 17 MiB
2025/10/22 02:08:19.566, 132.78 W, 0 %, 76225 MiB
