timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/08 06:10:29.387, 123.44 W, 0 %, 75403 MiB
2025/10/08 06:10:29.388, 71.93 W, 0 %, 17 MiB
2025/10/08 06:10:29.390, 74.50 W, 0 %, 17 MiB
2025/10/08 06:10:29.392, 71.83 W, 0 %, 17 MiB
2025/10/08 06:10:29.394, 72.18 W, 0 %, 17 MiB
2025/10/08 06:10:29.396, 70.75 W, 0 %, 17 MiB
2025/10/08 06:10:29.398, 74.28 W, 0 %, 17 MiB
2025/10/08 06:10:29.400, 72.91 W, 0 %, 17 MiB
2025/10/08 06:10:29.651, 123.42 W, 0 %, 75403 MiB
2025/10/08 06:10:29.652, 71.96 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 74.53 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 71.84 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 72.18 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 70.74 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 74.31 W, 0 %, 17 MiB
2025/10/08 06:10:29.652, 72.89 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 123.39 W, 0 %, 75403 MiB
2025/10/08 06:10:29.902, 71.96 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 74.52 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 71.84 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 72.18 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 70.75 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 74.31 W, 0 %, 17 MiB
2025/10/08 06:10:29.902, 72.87 W, 0 %, 17 MiB
2025/10/08 06:10:30.152, 123.36 W, 0 %, 75403 MiB
2025/10/08 06:10:30.152, 71.95 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 74.51 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 71.84 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 72.18 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 70.74 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 74.30 W, 0 %, 17 MiB
2025/10/08 06:10:30.153, 72.83 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 123.34 W, 0 %, 75403 MiB
2025/10/08 06:10:30.403, 71.91 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 74.56 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 71.84 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 72.21 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 70.73 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 74.21 W, 0 %, 17 MiB
2025/10/08 06:10:30.403, 72.83 W, 0 %, 17 MiB
2025/10/08 06:10:30.653, 123.37 W, 0 %, 75403 MiB
2025/10/08 06:10:30.653, 71.93 W, 0 %, 17 MiB
