timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/08 04:47:38.858, 123.51 W, 0 %, 75400 MiB
2025/10/08 04:47:38.860, 72.01 W, 0 %, 17 MiB
2025/10/08 04:47:38.862, 74.61 W, 0 %, 17 MiB
2025/10/08 04:47:38.863, 71.91 W, 0 %, 17 MiB
2025/10/08 04:47:38.865, 72.32 W, 0 %, 17 MiB
2025/10/08 04:47:38.867, 70.84 W, 0 %, 17 MiB
2025/10/08 04:47:38.869, 74.36 W, 0 %, 17 MiB
2025/10/08 04:47:38.871, 73.07 W, 0 %, 17 MiB
2025/10/08 04:47:39.122, 123.51 W, 0 %, 75400 MiB
2025/10/08 04:47:39.122, 72.05 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 74.64 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 71.88 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 72.30 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 70.83 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 74.39 W, 0 %, 17 MiB
2025/10/08 04:47:39.123, 73.05 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 123.50 W, 0 %, 75400 MiB
2025/10/08 04:47:39.373, 72.01 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 74.66 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 71.89 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 72.29 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 70.81 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 74.40 W, 0 %, 17 MiB
2025/10/08 04:47:39.373, 73.03 W, 0 %, 17 MiB
2025/10/08 04:47:39.623, 123.49 W, 0 %, 75400 MiB
2025/10/08 04:47:39.623, 72.06 W, 0 %, 17 MiB
2025/10/08 04:47:39.623, 74.68 W, 0 %, 17 MiB
2025/10/08 04:47:39.623, 71.90 W, 0 %, 17 MiB
2025/10/08 04:47:39.623, 72.30 W, 0 %, 17 MiB
2025/10/08 04:47:39.624, 70.86 W, 0 %, 17 MiB
2025/10/08 04:47:39.624, 74.40 W, 0 %, 17 MiB
2025/10/08 04:47:39.624, 73.03 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 123.49 W, 0 %, 75400 MiB
2025/10/08 04:47:39.874, 72.01 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 74.68 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 71.89 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 72.29 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 70.83 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 74.36 W, 0 %, 17 MiB
2025/10/08 04:47:39.874, 73.00 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 123.50 W, 0 %, 75400 MiB
2025/10/08 04:47:40.124, 72.01 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 74.69 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 71.91 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 72.28 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 70.83 W, 0 %, 17 MiB
2025/10/08 04:47:40.124, 74.35 W, 0 %, 17 MiB
