timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/21 07:26:42.464, 192.82 W, 0 %, 75794 MiB
2025/10/21 07:26:42.466, 199.97 W, 0 %, 75677 MiB
2025/10/21 07:26:42.468, 72.70 W, 0 %, 17 MiB
2025/10/21 07:26:42.470, 69.38 W, 0 %, 17 MiB
2025/10/21 07:26:42.472, 69.00 W, 0 %, 17 MiB
2025/10/21 07:26:42.474, 71.48 W, 0 %, 17 MiB
2025/10/21 07:26:42.476, 69.47 W, 0 %, 17 MiB
2025/10/21 07:26:42.478, 70.14 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 148.57 W, 0 %, 75794 MiB
2025/10/21 07:26:42.731, 166.27 W, 0 %, 75677 MiB
2025/10/21 07:26:42.731, 72.68 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 69.36 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 69.00 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 71.46 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 69.43 W, 0 %, 17 MiB
2025/10/21 07:26:42.731, 70.15 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 117.75 W, 0 %, 75794 MiB
2025/10/21 07:26:42.981, 121.42 W, 0 %, 75677 MiB
2025/10/21 07:26:42.981, 72.68 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 69.29 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 69.00 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 71.47 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 69.41 W, 0 %, 17 MiB
2025/10/21 07:26:42.981, 70.16 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 115.78 W, 0 %, 75794 MiB
2025/10/21 07:26:43.232, 120.85 W, 0 %, 75677 MiB
2025/10/21 07:26:43.232, 72.68 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 69.32 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 69.00 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 71.48 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 69.44 W, 0 %, 17 MiB
2025/10/21 07:26:43.232, 70.12 W, 0 %, 17 MiB
2025/10/21 07:26:43.482, 115.69 W, 0 %, 75794 MiB
2025/10/21 07:26:43.482, 120.82 W, 0 %, 75677 MiB
