timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/09 08:55:07.582, 116.88 W, 0 %, 75499 MiB
2025/10/09 08:55:07.584, 119.39 W, 0 %, 75387 MiB
2025/10/09 08:55:07.586, 120.76 W, 0 %, 75387 MiB
2025/10/09 08:55:07.589, 115.51 W, 0 %, 75387 MiB
2025/10/09 08:55:07.591, 72.11 W, 0 %, 17 MiB
2025/10/09 08:55:07.593, 71.27 W, 0 %, 17 MiB
2025/10/09 08:55:07.596, 69.06 W, 0 %, 17 MiB
2025/10/09 08:55:07.598, 70.28 W, 0 %, 17 MiB
2025/10/09 08:55:07.851, 116.90 W, 0 %, 75499 MiB
2025/10/09 08:55:08.180, 119.36 W, 0 %, 75387 MiB
2025/10/09 08:55:08.180, 120.75 W, 0 %, 75387 MiB
2025/10/09 08:55:08.181, 115.52 W, 0 %, 75387 MiB
2025/10/09 08:55:08.181, 72.08 W, 0 %, 17 MiB
2025/10/09 08:55:08.181, 71.35 W, 0 %, 17 MiB
2025/10/09 08:55:08.181, 69.06 W, 0 %, 17 MiB
2025/10/09 08:55:08.181, 70.25 W, 0 %, 17 MiB
2025/10/09 08:55:08.431, 117.00 W, 2 %, 75473 MiB
2025/10/09 08:55:08.431, 119.39 W, 0 %, 75387 MiB
2025/10/09 08:55:08.432, 120.78 W, 0 %, 75387 MiB
2025/10/09 08:55:08.432, 115.49 W, 0 %, 75387 MiB
2025/10/09 08:55:08.432, 72.09 W, 0 %, 17 MiB
2025/10/09 08:55:08.433, 71.35 W, 0 %, 17 MiB
2025/10/09 08:55:08.433, 69.03 W, 0 %, 17 MiB
2025/10/09 08:55:08.433, 70.27 W, 0 %, 17 MiB
2025/10/09 08:55:08.683, 117.06 W, 1 %, 75490 MiB
2025/10/09 08:55:08.683, 119.38 W, 0 %, 75387 MiB
2025/10/09 08:55:08.683, 120.77 W, 0 %, 75387 MiB
2025/10/09 08:55:08.683, 115.49 W, 0 %, 75387 MiB
2025/10/09 08:55:08.683, 72.17 W, 0 %, 17 MiB
2025/10/09 08:55:08.683, 71.29 W, 0 %, 17 MiB
2025/10/09 08:55:08.683, 69.01 W, 0 %, 17 MiB
2025/10/09 08:55:08.683, 70.26 W, 0 %, 17 MiB
2025/10/09 08:55:08.933, 117.09 W, 0 %, 75490 MiB
2025/10/09 08:55:08.933, 119.37 W, 0 %, 75387 MiB
2025/10/09 08:55:08.933, 120.75 W, 0 %, 75387 MiB
2025/10/09 08:55:08.933, 115.49 W, 0 %, 75387 MiB
2025/10/09 08:55:08.933, 72.17 W, 0 %, 17 MiB
2025/10/09 08:55:08.933, 71.31 W, 0 %, 17 MiB
2025/10/09 08:55:08.933, 69.00 W, 0 %, 17 MiB
2025/10/09 08:55:08.933, 70.28 W, 0 %, 17 MiB
2025/10/09 08:55:09.184, 117.05 W, 0 %, 75490 MiB
2025/10/09 08:55:09.184, 119.41 W, 0 %, 75387 MiB
2025/10/09 08:55:09.184, 120.76 W, 0 %, 75387 MiB
2025/10/09 08:55:09.184, 115.42 W, 0 %, 75387 MiB
2025/10/09 08:55:09.184, 72.12 W, 0 %, 17 MiB
2025/10/09 08:55:09.184, 71.23 W, 0 %, 17 MiB
2025/10/09 08:55:09.184, 69.02 W, 0 %, 17 MiB
2025/10/09 08:55:09.184, 70.30 W, 0 %, 17 MiB
2025/10/09 08:55:09.434, 117.02 W, 0 %, 75490 MiB
2025/10/09 08:55:09.434, 119.38 W, 0 %, 75387 MiB
2025/10/09 08:55:09.434, 120.75 W, 0 %, 75387 MiB
2025/10/09 08:55:09.434, 115.45 W, 0 %, 75387 MiB
2025/10/09 08:55:09.434, 72.12 W, 0 %, 17 MiB
2025/10/09 08:55:09.434, 71.25 W, 0 %, 17 MiB
2025/10/09 08:55:09.434, 69.04 W, 0 %, 17 MiB
2025/10/09 08:55:09.434, 70.31 W, 0 %, 17 MiB
2025/10/09 08:55:09.684, 116.95 W, 3 %, 75499 MiB
2025/10/09 08:55:09.685, 119.39 W, 0 %, 75387 MiB
2025/10/09 08:55:09.685, 120.78 W, 0 %, 75387 MiB
2025/10/09 08:55:09.685, 115.42 W, 0 %, 75387 MiB
2025/10/09 08:55:09.685, 72.09 W, 0 %, 17 MiB
2025/10/09 08:55:09.685, 71.28 W, 0 %, 17 MiB
2025/10/09 08:55:09.685, 69.05 W, 0 %, 17 MiB
2025/10/09 08:55:09.685, 70.31 W, 0 %, 17 MiB
2025/10/09 08:55:09.935, 116.98 W, 0 %, 75499 MiB
2025/10/09 08:55:09.935, 119.41 W, 0 %, 75387 MiB
2025/10/09 08:55:09.935, 120.78 W, 0 %, 75387 MiB
2025/10/09 08:55:09.935, 115.43 W, 0 %, 75387 MiB
2025/10/09 08:55:09.935, 72.08 W, 0 %, 17 MiB
2025/10/09 08:55:09.935, 71.24 W, 0 %, 17 MiB
2025/10/09 08:55:09.935, 69.02 W, 0 %, 17 MiB
2025/10/09 08:55:09.935, 70.30 W, 0 %, 17 MiB
2025/10/09 08:55:10.185, 116.97 W, 0 %, 75499 MiB
2025/10/09 08:55:10.185, 119.39 W, 0 %, 75387 MiB
2025/10/09 08:55:10.185, 120.79 W, 0 %, 75387 MiB
2025/10/09 08:55:10.185, 115.47 W, 0 %, 75387 MiB
2025/10/09 08:55:10.185, 72.13 W, 0 %, 17 MiB
2025/10/09 08:55:10.185, 71.31 W, 0 %, 17 MiB
2025/10/09 08:55:10.185, 69.02 W, 0 %, 17 MiB
2025/10/09 08:55:10.186, 70.29 W, 0 %, 17 MiB
2025/10/09 08:55:10.436, 116.97 W, 0 %, 75499 MiB
2025/10/09 08:55:10.436, 119.42 W, 0 %, 75387 MiB
2025/10/09 08:55:10.436, 120.79 W, 0 %, 75387 MiB
2025/10/09 08:55:10.436, 115.50 W, 0 %, 75387 MiB
2025/10/09 08:55:10.436, 72.12 W, 0 %, 17 MiB
2025/10/09 08:55:10.436, 71.31 W, 0 %, 17 MiB
2025/10/09 08:55:10.436, 69.00 W, 0 %, 17 MiB
2025/10/09 08:55:10.436, 70.27 W, 0 %, 17 MiB
2025/10/09 08:55:10.686, 116.99 W, 0 %, 75499 MiB
2025/10/09 08:55:10.686, 119.41 W, 0 %, 75387 MiB
2025/10/09 08:55:10.686, 120.78 W, 0 %, 75387 MiB
2025/10/09 08:55:10.686, 115.51 W, 0 %, 75387 MiB
2025/10/09 08:55:10.686, 72.09 W, 0 %, 17 MiB
2025/10/09 08:55:10.686, 71.29 W, 0 %, 17 MiB
2025/10/09 08:55:10.686, 69.00 W, 0 %, 17 MiB
2025/10/09 08:55:10.686, 70.28 W, 0 %, 17 MiB
2025/10/09 08:55:10.936, 116.96 W, 0 %, 75499 MiB
2025/10/09 08:55:10.936, 119.38 W, 0 %, 75387 MiB
2025/10/09 08:55:10.936, 120.80 W, 0 %, 75387 MiB
2025/10/09 08:55:10.936, 115.57 W, 0 %, 75387 MiB
2025/10/09 08:55:10.936, 72.10 W, 0 %, 17 MiB
