timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/09 08:20:13.516, 117.05 W, 0 %, 75497 MiB
2025/10/09 08:20:13.519, 118.48 W, 0 %, 75385 MiB
2025/10/09 08:20:13.521, 120.04 W, 0 %, 75387 MiB
2025/10/09 08:20:13.523, 114.60 W, 0 %, 75387 MiB
2025/10/09 08:20:13.525, 72.05 W, 0 %, 17 MiB
2025/10/09 08:20:13.527, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:13.530, 68.96 W, 0 %, 17 MiB
2025/10/09 08:20:13.532, 70.25 W, 0 %, 17 MiB
2025/10/09 08:20:13.785, 117.05 W, 0 %, 75497 MiB
2025/10/09 08:20:13.785, 118.45 W, 0 %, 75385 MiB
2025/10/09 08:20:13.785, 120.05 W, 0 %, 75387 MiB
2025/10/09 08:20:13.785, 114.57 W, 0 %, 75387 MiB
2025/10/09 08:20:13.785, 72.04 W, 0 %, 17 MiB
2025/10/09 08:20:13.785, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:13.785, 68.98 W, 0 %, 17 MiB
2025/10/09 08:20:13.785, 70.23 W, 0 %, 17 MiB
2025/10/09 08:20:14.035, 117.07 W, 0 %, 75497 MiB
2025/10/09 08:20:14.036, 118.42 W, 0 %, 75385 MiB
2025/10/09 08:20:14.036, 120.06 W, 0 %, 75387 MiB
2025/10/09 08:20:14.036, 114.60 W, 0 %, 75387 MiB
2025/10/09 08:20:14.036, 72.03 W, 0 %, 17 MiB
2025/10/09 08:20:14.036, 71.30 W, 0 %, 17 MiB
2025/10/09 08:20:14.036, 69.00 W, 0 %, 17 MiB
2025/10/09 08:20:14.036, 70.22 W, 0 %, 17 MiB
2025/10/09 08:20:14.286, 117.10 W, 0 %, 75497 MiB
2025/10/09 08:20:14.286, 118.44 W, 0 %, 75385 MiB
2025/10/09 08:20:14.286, 120.12 W, 0 %, 75387 MiB
2025/10/09 08:20:14.286, 114.60 W, 0 %, 75387 MiB
2025/10/09 08:20:14.286, 72.00 W, 0 %, 17 MiB
2025/10/09 08:20:14.286, 71.33 W, 0 %, 17 MiB
2025/10/09 08:20:14.286, 69.00 W, 0 %, 17 MiB
2025/10/09 08:20:14.286, 70.21 W, 0 %, 17 MiB
2025/10/09 08:20:14.536, 117.11 W, 0 %, 75497 MiB
2025/10/09 08:20:14.536, 118.49 W, 0 %, 75385 MiB
2025/10/09 08:20:14.536, 120.14 W, 0 %, 75387 MiB
2025/10/09 08:20:14.536, 114.60 W, 0 %, 75387 MiB
2025/10/09 08:20:14.536, 72.01 W, 0 %, 17 MiB
2025/10/09 08:20:14.536, 71.32 W, 0 %, 17 MiB
2025/10/09 08:20:14.536, 69.03 W, 0 %, 17 MiB
2025/10/09 08:20:14.536, 70.25 W, 0 %, 17 MiB
2025/10/09 08:20:14.787, 117.12 W, 0 %, 75497 MiB
2025/10/09 08:20:14.787, 118.49 W, 0 %, 75385 MiB
2025/10/09 08:20:14.787, 120.13 W, 0 %, 75387 MiB
2025/10/09 08:20:14.787, 114.61 W, 0 %, 75387 MiB
2025/10/09 08:20:14.787, 72.07 W, 0 %, 17 MiB
2025/10/09 08:20:14.787, 71.27 W, 0 %, 17 MiB
2025/10/09 08:20:14.787, 69.00 W, 0 %, 17 MiB
2025/10/09 08:20:14.787, 70.25 W, 0 %, 17 MiB
2025/10/09 08:20:15.037, 117.10 W, 0 %, 75497 MiB
2025/10/09 08:20:15.037, 118.50 W, 0 %, 75385 MiB
2025/10/09 08:20:15.037, 120.15 W, 0 %, 75387 MiB
2025/10/09 08:20:15.037, 114.65 W, 0 %, 75387 MiB
2025/10/09 08:20:15.037, 72.06 W, 0 %, 17 MiB
2025/10/09 08:20:15.037, 71.30 W, 0 %, 17 MiB
2025/10/09 08:20:15.037, 69.02 W, 0 %, 17 MiB
2025/10/09 08:20:15.037, 70.26 W, 0 %, 17 MiB
2025/10/09 08:20:15.287, 117.04 W, 0 %, 75497 MiB
2025/10/09 08:20:15.287, 118.48 W, 0 %, 75385 MiB
2025/10/09 08:20:15.287, 120.14 W, 0 %, 75387 MiB
2025/10/09 08:20:15.287, 114.64 W, 0 %, 75387 MiB
2025/10/09 08:20:15.287, 72.04 W, 0 %, 17 MiB
2025/10/09 08:20:15.288, 71.27 W, 0 %, 17 MiB
2025/10/09 08:20:15.288, 69.03 W, 0 %, 17 MiB
2025/10/09 08:20:15.288, 70.26 W, 0 %, 17 MiB
2025/10/09 08:20:15.538, 117.05 W, 0 %, 75497 MiB
2025/10/09 08:20:15.538, 118.47 W, 0 %, 75385 MiB
2025/10/09 08:20:15.538, 120.08 W, 0 %, 75387 MiB
2025/10/09 08:20:15.538, 114.66 W, 0 %, 75387 MiB
2025/10/09 08:20:15.538, 72.03 W, 0 %, 17 MiB
2025/10/09 08:20:15.538, 71.27 W, 0 %, 17 MiB
2025/10/09 08:20:15.538, 69.06 W, 0 %, 17 MiB
2025/10/09 08:20:15.538, 70.25 W, 0 %, 17 MiB
2025/10/09 08:20:15.788, 117.02 W, 0 %, 75497 MiB
2025/10/09 08:20:15.788, 118.45 W, 0 %, 75385 MiB
2025/10/09 08:20:15.788, 120.09 W, 0 %, 75387 MiB
2025/10/09 08:20:15.788, 114.61 W, 0 %, 75387 MiB
2025/10/09 08:20:15.788, 71.97 W, 0 %, 17 MiB
2025/10/09 08:20:15.788, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:15.788, 69.06 W, 0 %, 17 MiB
2025/10/09 08:20:15.788, 70.24 W, 0 %, 17 MiB
2025/10/09 08:20:16.038, 117.03 W, 0 %, 75497 MiB
2025/10/09 08:20:16.039, 118.45 W, 0 %, 75385 MiB
2025/10/09 08:20:16.039, 120.07 W, 0 %, 75387 MiB
2025/10/09 08:20:16.039, 114.63 W, 0 %, 75387 MiB
2025/10/09 08:20:16.039, 71.96 W, 0 %, 17 MiB
2025/10/09 08:20:16.039, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:16.039, 69.02 W, 0 %, 17 MiB
2025/10/09 08:20:16.039, 70.23 W, 0 %, 17 MiB
2025/10/09 08:20:16.289, 117.07 W, 0 %, 75497 MiB
2025/10/09 08:20:16.289, 118.46 W, 0 %, 75385 MiB
2025/10/09 08:20:16.289, 120.06 W, 0 %, 75387 MiB
2025/10/09 08:20:16.289, 114.63 W, 0 %, 75387 MiB
2025/10/09 08:20:16.289, 72.04 W, 0 %, 17 MiB
2025/10/09 08:20:16.289, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:16.289, 69.00 W, 0 %, 17 MiB
2025/10/09 08:20:16.289, 70.22 W, 0 %, 17 MiB
2025/10/09 08:20:16.539, 117.09 W, 0 %, 75497 MiB
2025/10/09 08:20:16.539, 118.45 W, 0 %, 75385 MiB
2025/10/09 08:20:16.539, 120.08 W, 0 %, 75387 MiB
2025/10/09 08:20:16.539, 114.62 W, 0 %, 75387 MiB
2025/10/09 08:20:16.539, 72.03 W, 0 %, 17 MiB
2025/10/09 08:20:16.539, 71.31 W, 0 %, 17 MiB
2025/10/09 08:20:16.539, 68.99 W, 0 %, 17 MiB
2025/10/09 08:20:16.540, 70.25 W, 0 %, 17 MiB
2025/10/09 08:20:16.790, 117.08 W, 0 %, 75497 MiB
2025/10/09 08:20:16.790, 118.45 W, 0 %, 75385 MiB
2025/10/09 08:20:16.790, 120.09 W, 0 %, 75387 MiB
2025/10/09 08:20:16.790, 114.67 W, 0 %, 75387 MiB
2025/10/09 08:20:16.790, 72.05 W, 0 %, 17 MiB
2025/10/09 08:20:16.790, 71.25 W, 0 %, 17 MiB
2025/10/09 08:20:16.790, 68.98 W, 0 %, 17 MiB
