timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/06/16 22:29:23.508, 126.53 W, 0 %, 75707 MiB
2025/06/16 22:29:23.516, 123.96 W, 0 %, 75689 MiB
2025/06/16 22:29:23.523, 122.71 W, 0 %, 75689 MiB
2025/06/16 22:29:23.529, 123.81 W, 0 %, 75689 MiB
2025/06/16 22:29:23.535, 126.08 W, 0 %, 75689 MiB
2025/06/16 22:29:23.541, 134.64 W, 0 %, 75689 MiB
2025/06/16 22:29:23.547, 126.29 W, 0 %, 75689 MiB
2025/06/16 22:29:23.553, 122.87 W, 0 %, 75713 MiB
2025/06/16 22:29:23.809, 126.51 W, 0 %, 75707 MiB
2025/06/16 22:29:23.809, 124.02 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 122.69 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 123.78 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 126.13 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 134.61 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 126.27 W, 0 %, 75689 MiB
2025/06/16 22:29:23.809, 122.86 W, 0 %, 75713 MiB
2025/06/16 22:29:24.059, 126.49 W, 0 %, 75706 MiB
2025/06/16 22:29:24.059, 124.01 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 122.64 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 123.73 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 126.12 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 134.56 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 126.21 W, 0 %, 75689 MiB
2025/06/16 22:29:24.060, 122.89 W, 0 %, 75713 MiB
2025/06/16 22:29:24.310, 126.48 W, 0 %, 75690 MiB
2025/06/16 22:29:24.310, 124.00 W, 0 %, 75689 MiB
2025/06/16 22:29:24.311, 122.61 W, 0 %, 75689 MiB
2025/06/16 22:29:24.312, 123.72 W, 0 %, 75689 MiB
2025/06/16 22:29:24.312, 125.99 W, 0 %, 75689 MiB
2025/06/16 22:29:24.312, 134.53 W, 0 %, 75689 MiB
2025/06/16 22:29:24.312, 126.18 W, 0 %, 75689 MiB
2025/06/16 22:29:24.312, 122.85 W, 0 %, 75713 MiB
2025/06/16 22:29:24.562, 126.47 W, 1 %, 75698 MiB
2025/06/16 22:29:24.562, 123.95 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 122.59 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 123.66 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 126.04 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 134.48 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 126.14 W, 0 %, 75689 MiB
2025/06/16 22:29:24.562, 122.81 W, 0 %, 75713 MiB
2025/06/16 22:29:24.812, 126.45 W, 0 %, 75698 MiB
2025/06/16 22:29:24.812, 123.84 W, 0 %, 75689 MiB
2025/06/16 22:29:24.812, 122.55 W, 0 %, 75689 MiB
2025/06/16 22:29:24.812, 123.65 W, 0 %, 75689 MiB
2025/06/16 22:29:24.812, 126.08 W, 0 %, 75689 MiB
2025/06/16 22:29:24.812, 134.44 W, 0 %, 75689 MiB
2025/06/16 22:29:24.813, 126.10 W, 0 %, 75689 MiB
2025/06/16 22:29:24.813, 122.82 W, 0 %, 75713 MiB
2025/06/16 22:29:25.063, 126.40 W, 0 %, 75698 MiB
2025/06/16 22:29:25.063, 123.79 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 122.55 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 123.62 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 125.93 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 134.41 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 126.08 W, 0 %, 75689 MiB
2025/06/16 22:29:25.063, 122.76 W, 0 %, 75713 MiB
2025/06/16 22:29:25.313, 126.36 W, 0 %, 75698 MiB
2025/06/16 22:29:25.313, 123.86 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 122.51 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 123.59 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 125.97 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 134.35 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 126.06 W, 0 %, 75689 MiB
2025/06/16 22:29:25.313, 122.77 W, 0 %, 75713 MiB
2025/06/16 22:29:25.563, 126.32 W, 0 %, 75698 MiB
2025/06/16 22:29:25.563, 123.87 W, 0 %, 75689 MiB
2025/06/16 22:29:25.563, 122.47 W, 0 %, 75689 MiB
2025/06/16 22:29:25.563, 123.59 W, 0 %, 75689 MiB
2025/06/16 22:29:25.564, 126.04 W, 0 %, 75689 MiB
2025/06/16 22:29:25.564, 134.33 W, 0 %, 75689 MiB
2025/06/16 22:29:25.564, 126.01 W, 0 %, 75689 MiB
2025/06/16 22:29:25.564, 122.73 W, 0 %, 75713 MiB
2025/06/16 22:29:25.814, 126.33 W, 3 %, 75707 MiB
2025/06/16 22:29:25.814, 123.88 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 122.44 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 123.56 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 125.86 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 134.27 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 125.99 W, 0 %, 75689 MiB
2025/06/16 22:29:25.814, 122.69 W, 0 %, 75713 MiB
2025/06/16 22:29:26.064, 126.30 W, 0 %, 75707 MiB
2025/06/16 22:29:26.064, 123.83 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 122.44 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 123.55 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 125.89 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 134.24 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 125.74 W, 0 %, 75689 MiB
2025/06/16 22:29:26.064, 122.70 W, 0 %, 75713 MiB
2025/06/16 22:29:26.314, 126.27 W, 0 %, 75707 MiB
2025/06/16 22:29:26.315, 123.72 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 122.42 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 123.50 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 125.96 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 134.21 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 125.61 W, 0 %, 75689 MiB
2025/06/16 22:29:26.315, 122.66 W, 0 %, 75713 MiB
2025/06/16 22:29:26.565, 126.26 W, 0 %, 75707 MiB
2025/06/16 22:29:26.565, 123.70 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 122.42 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 123.46 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 125.87 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 134.20 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 125.40 W, 0 %, 75689 MiB
2025/06/16 22:29:26.565, 122.57 W, 0 %, 75713 MiB
2025/06/16 22:29:26.815, 126.21 W, 0 %, 75707 MiB
2025/06/16 22:29:26.815, 123.77 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 122.36 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 123.43 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 125.81 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 134.18 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 125.26 W, 0 %, 75689 MiB
2025/06/16 22:29:26.815, 122.58 W, 0 %, 75713 MiB
2025/06/16 22:29:27.066, 126.20 W, 0 %, 75707 MiB
2025/06/16 22:29:27.066, 123.52 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 122.37 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 123.40 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 125.88 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 134.16 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 125.22 W, 0 %, 75689 MiB
2025/06/16 22:29:27.066, 122.57 W, 0 %, 75713 MiB
2025/06/16 22:29:27.316, 126.17 W, 0 %, 75707 MiB
2025/06/16 22:29:27.316, 123.35 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 122.35 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 123.38 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 125.82 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 134.12 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 125.21 W, 0 %, 75689 MiB
2025/06/16 22:29:27.316, 122.55 W, 0 %, 75713 MiB
2025/06/16 22:29:27.566, 126.17 W, 0 %, 75707 MiB
2025/06/16 22:29:27.566, 123.04 W, 0 %, 75689 MiB
2025/06/16 22:29:27.566, 122.31 W, 0 %, 75689 MiB
2025/06/16 22:29:27.566, 123.37 W, 0 %, 75689 MiB
2025/06/16 22:29:27.566, 125.69 W, 0 %, 75689 MiB
2025/06/16 22:29:27.566, 134.06 W, 0 %, 75689 MiB
2025/06/16 22:29:27.566, 125.17 W, 0 %, 75689 MiB
2025/06/16 22:29:27.567, 122.53 W, 0 %, 75713 MiB
2025/06/16 22:29:27.817, 126.12 W, 0 %, 75707 MiB
2025/06/16 22:29:27.817, 122.75 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 122.31 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 123.37 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 125.83 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 133.75 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 125.15 W, 0 %, 75689 MiB
2025/06/16 22:29:27.817, 122.49 W, 0 %, 75713 MiB
2025/06/16 22:29:28.067, 126.12 W, 0 %, 75707 MiB
2025/06/16 22:29:28.067, 122.71 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 122.29 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 123.37 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 125.81 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 133.51 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 125.14 W, 0 %, 75689 MiB
2025/06/16 22:29:28.067, 122.50 W, 0 %, 75713 MiB
2025/06/16 22:29:28.317, 126.10 W, 0 %, 75707 MiB
2025/06/16 22:29:28.317, 122.78 W, 0 %, 75689 MiB
2025/06/16 22:29:28.317, 122.28 W, 0 %, 75689 MiB
2025/06/16 22:29:28.317, 123.34 W, 0 %, 75689 MiB
2025/06/16 22:29:28.318, 125.67 W, 0 %, 75689 MiB
2025/06/16 22:29:28.318, 133.18 W, 0 %, 75689 MiB
2025/06/16 22:29:28.318, 125.11 W, 0 %, 75689 MiB
2025/06/16 22:29:28.318, 122.48 W, 0 %, 75713 MiB
2025/06/16 22:29:28.568, 126.10 W, 0 %, 75707 MiB
2025/06/16 22:29:28.568, 122.83 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 122.22 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 123.29 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 125.75 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 132.98 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 125.07 W, 0 %, 75689 MiB
2025/06/16 22:29:28.568, 122.43 W, 0 %, 75713 MiB
2025/06/16 22:29:28.818, 126.04 W, 0 %, 75707 MiB
2025/06/16 22:29:28.818, 122.81 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 122.20 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 123.27 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 125.78 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 132.93 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 125.06 W, 0 %, 75689 MiB
2025/06/16 22:29:28.818, 122.44 W, 0 %, 75713 MiB
2025/06/16 22:29:29.068, 125.99 W, 0 %, 75707 MiB
2025/06/16 22:29:29.069, 122.76 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 122.15 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 123.24 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 125.64 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 132.90 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 125.05 W, 0 %, 75689 MiB
2025/06/16 22:29:29.069, 122.39 W, 0 %, 75713 MiB
