timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/04/22 23:17:30.288, 83.48 W, 0 %, 74435 MiB
2025/04/22 23:17:30.296, 85.02 W, 0 %, 74457 MiB
2025/04/22 23:17:30.305, 86.93 W, 0 %, 74457 MiB
2025/04/22 23:17:30.311, 87.78 W, 0 %, 74489 MiB
2025/04/22 23:17:30.317, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:30.325, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:30.333, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:30.342, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:30.601, 82.87 W, 0 %, 74435 MiB
2025/04/22 23:17:30.601, 84.69 W, 0 %, 74457 MiB
2025/04/22 23:17:30.601, 86.33 W, 0 %, 74457 MiB
2025/04/22 23:17:30.601, 87.17 W, 0 %, 74489 MiB
2025/04/22 23:17:30.601, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:30.601, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:30.601, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:30.601, 58.16 W, 0 %, 14 MiB
2025/04/22 23:17:30.851, 82.87 W, 0 %, 74435 MiB
2025/04/22 23:17:30.851, 84.41 W, 0 %, 74457 MiB
2025/04/22 23:17:30.851, 86.33 W, 0 %, 74457 MiB
2025/04/22 23:17:30.851, 87.17 W, 0 %, 74489 MiB
2025/04/22 23:17:30.851, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:30.851, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:30.851, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:30.851, 58.16 W, 0 %, 14 MiB
2025/04/22 23:17:31.101, 82.54 W, 0 %, 74435 MiB
2025/04/22 23:17:31.102, 84.41 W, 0 %, 74457 MiB
2025/04/22 23:17:31.102, 87.54 W, 0 %, 74457 MiB
2025/04/22 23:17:31.102, 86.84 W, 0 %, 74489 MiB
2025/04/22 23:17:31.102, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:31.102, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.102, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.102, 58.16 W, 0 %, 14 MiB
2025/04/22 23:17:31.352, 66.89 W, 0 %, 74435 MiB
2025/04/22 23:17:31.352, 84.08 W, 0 %, 74457 MiB
2025/04/22 23:17:31.352, 69.43 W, 0 %, 74457 MiB
2025/04/22 23:17:31.352, 74.27 W, 0 %, 74489 MiB
2025/04/22 23:17:31.352, 62.79 W, 0 %, 14 MiB
2025/04/22 23:17:31.352, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.352, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:31.352, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:31.602, 66.60 W, 0 %, 74435 MiB
2025/04/22 23:17:31.602, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:31.602, 69.71 W, 0 %, 74457 MiB
2025/04/22 23:17:31.602, 69.97 W, 0 %, 74489 MiB
2025/04/22 23:17:31.602, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:31.602, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.603, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.603, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:31.853, 66.60 W, 0 %, 74435 MiB
2025/04/22 23:17:31.853, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:31.853, 69.43 W, 0 %, 74457 MiB
2025/04/22 23:17:31.853, 69.97 W, 0 %, 74489 MiB
2025/04/22 23:17:31.853, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:31.853, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:31.853, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:31.853, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:32.103, 66.60 W, 0 %, 74435 MiB
2025/04/22 23:17:32.103, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:32.103, 69.43 W, 0 %, 74457 MiB
2025/04/22 23:17:32.103, 69.64 W, 0 %, 74489 MiB
2025/04/22 23:17:32.103, 62.79 W, 0 %, 14 MiB
2025/04/22 23:17:32.103, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.103, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.103, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:32.354, 66.60 W, 0 %, 74435 MiB
2025/04/22 23:17:32.354, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:32.354, 69.43 W, 0 %, 74457 MiB
2025/04/22 23:17:32.354, 69.64 W, 0 %, 74489 MiB
2025/04/22 23:17:32.354, 62.79 W, 0 %, 14 MiB
2025/04/22 23:17:32.354, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.354, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.354, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:32.604, 66.27 W, 0 %, 74435 MiB
2025/04/22 23:17:32.604, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:32.604, 69.43 W, 0 %, 74457 MiB
2025/04/22 23:17:32.604, 69.64 W, 0 %, 74489 MiB
2025/04/22 23:17:32.604, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:32.604, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.604, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:32.604, 58.22 W, 0 %, 14 MiB
2025/04/22 23:17:32.854, 66.27 W, 0 %, 74435 MiB
2025/04/22 23:17:32.854, 68.15 W, 0 %, 74457 MiB
2025/04/22 23:17:32.855, 69.10 W, 0 %, 74457 MiB
2025/04/22 23:17:32.855, 69.64 W, 0 %, 74489 MiB
2025/04/22 23:17:32.855, 62.72 W, 0 %, 14 MiB
2025/04/22 23:17:32.855, 58.76 W, 0 %, 14 MiB
2025/04/22 23:17:32.855, 59.04 W, 0 %, 14 MiB
2025/04/22 23:17:32.855, 58.22 W, 0 %, 14 MiB
