timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/04/28 04:34:27.736, 89.93 W, 0 %, 74382 MiB
2025/04/28 04:34:27.751, 81.49 W, 0 %, 74399 MiB
2025/04/28 04:34:27.766, 82.63 W, 0 %, 74399 MiB
2025/04/28 04:34:27.781, 90.35 W, 0 %, 74399 MiB
2025/04/28 04:34:27.795, 89.65 W, 0 %, 74399 MiB
2025/04/28 04:34:27.810, 86.99 W, 0 %, 74399 MiB
2025/04/28 04:34:27.824, 82.18 W, 0 %, 74399 MiB
2025/04/28 04:34:27.839, 84.44 W, 0 %, 74431 MiB
2025/04/28 04:34:28.104, 89.32 W, 0 %, 74382 MiB
2025/04/28 04:34:28.104, 81.16 W, 0 %, 74399 MiB
2025/04/28 04:34:28.104, 82.35 W, 0 %, 74399 MiB
2025/04/28 04:34:28.104, 89.42 W, 0 %, 74399 MiB
2025/04/28 04:34:28.104, 89.05 W, 0 %, 74399 MiB
2025/04/28 04:34:28.104, 86.66 W, 0 %, 74399 MiB
2025/04/28 04:34:28.104, 82.18 W, 0 %, 74399 MiB
2025/04/28 04:34:28.105, 84.44 W, 0 %, 74431 MiB
2025/04/28 04:34:28.355, 89.32 W, 0 %, 74382 MiB
2025/04/28 04:34:28.355, 81.16 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 82.35 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 89.14 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 89.14 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 86.39 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 81.85 W, 0 %, 74399 MiB
2025/04/28 04:34:28.355, 84.15 W, 0 %, 74431 MiB
2025/04/28 04:34:28.605, 89.00 W, 0 %, 74382 MiB
2025/04/28 04:34:28.605, 80.89 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 82.01 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 88.90 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 88.72 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 86.39 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 81.85 W, 0 %, 74399 MiB
2025/04/28 04:34:28.605, 84.15 W, 0 %, 74431 MiB
2025/04/28 04:34:28.855, 89.00 W, 0 %, 74382 MiB
2025/04/28 04:34:28.856, 80.89 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 82.01 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 88.90 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 88.81 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 86.39 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 82.46 W, 0 %, 74399 MiB
2025/04/28 04:34:28.856, 83.83 W, 0 %, 74431 MiB
2025/04/28 04:34:29.106, 88.71 W, 0 %, 74382 MiB
2025/04/28 04:34:29.106, 80.89 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 68.83 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 74.19 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 88.53 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 71.97 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 70.23 W, 0 %, 74399 MiB
2025/04/28 04:34:29.106, 71.57 W, 0 %, 74431 MiB
