Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Time,Decode Time,Prefill Throughput,Decode Throughput
2025-04-28T00:42:26.765635,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,172,133,3.425104856491089,0.0,2.593984962406015,212.0,133.0,0.08639898599358276,2.474628253999981,2453.732501163222,53.74544632512752
2025-04-28T00:42:30.258076,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,150,149,2.8392395973205566,1.0,2.8456375838926173,248.0,176.0,0.03682950799702667,2.7770917610032484,6733.731007756651,63.37565163364227
2025-04-28T00:42:32.518483,meta-llama/Llama-3.1-70B-Instruct,guanaco,0.125,8,18,920,17.302237510681152,1.0,2.1137594799566632,915.0,1036.0,0.0674476779968245,20.01247103601054,13566.071170649924,51.767720144894476
2025-04-28T00:42:48.003202,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,817,186,3.6737895011901855,0.0,6.01595744680851,857.0,274.0,0.14614594200975262,20.767238782005734,5864.001341500201,13.193858022059908
2025-04-28T00:43:03.676983,meta-llama/Llama-3.1-70B-Instruct,theoremqa,0.125,8,213,142,2.691840887069702,0.0,2.7816901408450705,253.0,142.0,0.049836712001706474,2.6236190360068576,5076.578888096328,54.123711579758805
2025-04-28T00:43:06.752273,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,59,110,2.0422205924987793,0.0,1.9,99.0,110.0,0.030308387998957187,1.995222025012481,3266.422483551625,55.13170896322273
2025-04-28T00:43:32.908664,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,30,86,1.6112544536590576,0.0,1.813953488372093,70.0,86.0,0.027758894008002244,1.5655421079864027,2521.714301002793,54.93304815072208
2025-04-28T00:43:36.377550,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,49,264,5.113086223602295,1.0,4.1477272727272725,697.0,398.0,0.026416244989377446,5.067747580003925,26385.279220429664,78.5358768795844
2025-04-28T00:43:42.577583,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,145,90,1.8096892833709717,1.0,3.989130434782609,185.0,182.0,0.03751890899729915,1.7466340930113802,4930.847003395474,104.20041652010407
2025-04-28T00:43:38.776451,meta-llama/Llama-3.1-70B-Instruct,leetcode_ne,0.125,8,568,453,8.93734860420227,1.0,3.756043956043956,869.0,840.0,0.14802537899231538,15.647237278011744,5870.614930464819,53.68359826564455
2025-04-28T00:43:44.510455,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,36,189,3.7284910678863525,0.0,2.2408376963350785,76.0,352.0,0.1096956830151612,12.50987759399868,692.8258060027388,28.137765326246175
2025-04-28T00:44:04.823264,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,51,38,0.7958736419677734,2.0,5.2,90.0,118.0,0.024499068007571623,0.7489862729999004,3673.6091337100993,157.54627855511538
2025-04-28T00:44:04.479799,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,165,129,2.623682737350464,1.0,4.473684210526316,295.0,300.0,0.0611564749997342,3.2929614720051177,4823.69201300896,91.1034042002705
2025-04-28T00:44:01.033460,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,40,472,8.942840099334717,0.0,2.1483050847457625,375.0,639.0,0.08829214399156626,12.190682325002854,4247.2634941996685,52.417082404766084
2025-04-28T00:44:18.653214,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,20,145,2.6865386962890625,0.0,1.4137931034482758,60.0,145.0,0.0284174030093709,2.6391413679957623,2111.382239264244,54.942111763462314
2025-04-28T00:44:39.389669,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,44,324,6.00027060508728,0.0,1.2592592592592593,84.0,324.0,0.027547739999135956,5.954686708006193,3049.2519532504184,54.41092300697796
2025-04-28T00:44:55.385378,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,215,126,2.4110865592956543,0.0,3.0238095238095237,255.0,126.0,0.04816146500525065,2.3378173819946824,5294.689436299321,53.89642534546208
2025-04-28T00:44:58.714536,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,92,516,9.825626611709595,1.0,2.116279069767442,339.0,753.0,0.0294969829992624,9.780685203004396,11492.700796162002,76.98847109082871
2025-04-28T00:45:03.868101,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,167,295,5.740763902664185,0.0,2.494949494949495,207.0,534.0,0.06595519799157046,15.463157209000201,3138.494103625556,34.53369792355146
2025-04-28T00:45:16.165324,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,53,31,0.5989749431610107,0.0,3.967741935483871,92.0,31.0,0.026658627000870183,0.555968186003156,3451.0404454436816,55.758586157345384
