timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/18 16:16:27.941, 124.28 W, 0 %, 75577 MiB
2025/10/18 16:16:27.953, 122.96 W, 0 %, 75467 MiB
2025/10/18 16:16:27.958, 118.33 W, 0 %, 75467 MiB
2025/10/18 16:16:27.962, 118.26 W, 0 %, 75467 MiB
2025/10/18 16:16:27.967, 120.81 W, 0 %, 75467 MiB
2025/10/18 16:16:27.971, 117.58 W, 0 %, 75467 MiB
2025/10/18 16:16:27.975, 128.19 W, 0 %, 75467 MiB
2025/10/18 16:16:27.979, 124.06 W, 0 %, 75467 MiB
2025/10/18 16:16:28.233, 124.31 W, 0 %, 75577 MiB
2025/10/18 16:16:28.234, 122.98 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 118.29 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 118.28 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 120.61 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 128.23 W, 0 %, 75467 MiB
2025/10/18 16:16:28.234, 124.15 W, 0 %, 75467 MiB
2025/10/18 16:16:28.485, 124.33 W, 0 %, 75551 MiB
2025/10/18 16:16:28.485, 122.96 W, 0 %, 75467 MiB
2025/10/18 16:16:28.485, 118.29 W, 0 %, 75467 MiB
2025/10/18 16:16:28.485, 118.23 W, 0 %, 75467 MiB
2025/10/18 16:16:28.485, 120.79 W, 0 %, 75467 MiB
2025/10/18 16:16:28.486, 117.63 W, 0 %, 75467 MiB
2025/10/18 16:16:28.486, 128.20 W, 0 %, 75467 MiB
2025/10/18 16:16:28.486, 124.03 W, 0 %, 75467 MiB
2025/10/18 16:16:28.736, 124.40 W, 1 %, 75568 MiB
2025/10/18 16:16:28.737, 122.96 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 118.26 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 120.78 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 117.62 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 128.20 W, 0 %, 75467 MiB
2025/10/18 16:16:28.737, 124.03 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 124.38 W, 0 %, 75568 MiB
2025/10/18 16:16:28.987, 122.97 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 118.29 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 118.29 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 120.82 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 128.23 W, 0 %, 75467 MiB
2025/10/18 16:16:28.987, 124.03 W, 0 %, 75467 MiB
2025/10/18 16:16:29.237, 124.30 W, 0 %, 75568 MiB
2025/10/18 16:16:29.237, 122.95 W, 0 %, 75467 MiB
2025/10/18 16:16:29.237, 118.27 W, 0 %, 75467 MiB
2025/10/18 16:16:29.237, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:29.237, 120.83 W, 0 %, 75467 MiB
2025/10/18 16:16:29.238, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:29.238, 128.17 W, 0 %, 75467 MiB
2025/10/18 16:16:29.238, 124.02 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 124.29 W, 0 %, 75577 MiB
2025/10/18 16:16:29.488, 122.95 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 118.30 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 120.62 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 117.58 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 128.23 W, 0 %, 75467 MiB
2025/10/18 16:16:29.488, 124.11 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 124.24 W, 0 %, 75577 MiB
2025/10/18 16:16:29.738, 122.95 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 118.30 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 120.81 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 128.20 W, 0 %, 75467 MiB
2025/10/18 16:16:29.738, 124.05 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 124.26 W, 0 %, 75577 MiB
2025/10/18 16:16:29.989, 122.93 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 118.29 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 118.21 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 120.78 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 128.19 W, 0 %, 75467 MiB
2025/10/18 16:16:29.989, 124.12 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 124.34 W, 0 %, 75577 MiB
2025/10/18 16:16:30.239, 122.92 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 118.30 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 118.23 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 120.85 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 117.62 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 128.16 W, 0 %, 75467 MiB
2025/10/18 16:16:30.239, 124.10 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 124.33 W, 0 %, 75577 MiB
2025/10/18 16:16:30.490, 122.91 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 118.27 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 118.23 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 120.90 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 117.59 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 128.17 W, 0 %, 75467 MiB
2025/10/18 16:16:30.490, 124.02 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 124.34 W, 0 %, 75577 MiB
2025/10/18 16:16:30.740, 122.93 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 118.26 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 118.20 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 120.65 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 117.60 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 128.15 W, 0 %, 75467 MiB
2025/10/18 16:16:30.740, 124.08 W, 0 %, 75467 MiB
2025/10/18 16:16:30.990, 124.34 W, 0 %, 75577 MiB
2025/10/18 16:16:30.991, 122.90 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 118.26 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 118.24 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 120.82 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 117.61 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 128.17 W, 0 %, 75467 MiB
2025/10/18 16:16:30.991, 123.96 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 124.30 W, 0 %, 75577 MiB
2025/10/18 16:16:31.241, 122.91 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 118.22 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 120.79 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 117.63 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 128.21 W, 0 %, 75467 MiB
2025/10/18 16:16:31.241, 123.98 W, 0 %, 75467 MiB
2025/10/18 16:16:31.491, 124.32 W, 0 %, 75577 MiB
2025/10/18 16:16:31.491, 122.93 W, 0 %, 75467 MiB
2025/10/18 16:16:31.491, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:31.492, 118.21 W, 0 %, 75467 MiB
2025/10/18 16:16:31.492, 120.81 W, 0 %, 75467 MiB
2025/10/18 16:16:31.492, 117.65 W, 0 %, 75467 MiB
2025/10/18 16:16:31.492, 128.12 W, 0 %, 75467 MiB
2025/10/18 16:16:31.492, 123.97 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 124.29 W, 0 %, 75577 MiB
2025/10/18 16:16:31.742, 122.90 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 118.21 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 120.83 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 117.61 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 128.18 W, 0 %, 75467 MiB
2025/10/18 16:16:31.742, 123.95 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 124.30 W, 0 %, 75577 MiB
2025/10/18 16:16:31.992, 122.92 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 118.22 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 118.16 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 120.63 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 117.59 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 128.13 W, 0 %, 75467 MiB
2025/10/18 16:16:31.992, 124.05 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 124.33 W, 0 %, 75577 MiB
2025/10/18 16:16:32.243, 122.93 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 118.25 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 118.15 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 120.79 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 117.54 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 128.13 W, 0 %, 75467 MiB
2025/10/18 16:16:32.243, 124.01 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 124.32 W, 0 %, 75577 MiB
2025/10/18 16:16:32.493, 122.92 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 118.21 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 118.17 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 120.78 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 117.53 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 128.17 W, 0 %, 75467 MiB
2025/10/18 16:16:32.493, 124.08 W, 0 %, 75467 MiB
2025/10/18 16:16:32.743, 133.78 W, 12 %, 75577 MiB
2025/10/18 16:16:32.744, 125.21 W, 2 %, 75467 MiB
2025/10/18 16:16:32.744, 119.75 W, 2 %, 75467 MiB
2025/10/18 16:16:32.744, 141.35 W, 0 %, 75467 MiB
2025/10/18 16:16:32.744, 130.22 W, 2 %, 75467 MiB
2025/10/18 16:16:32.744, 125.28 W, 3 %, 75467 MiB
2025/10/18 16:16:32.744, 140.14 W, 16 %, 75467 MiB
2025/10/18 16:16:32.744, 125.96 W, 0 %, 75467 MiB
2025/10/18 16:16:32.994, 251.11 W, 100 %, 75577 MiB
2025/10/18 16:16:33.001, 281.78 W, 87 %, 75467 MiB
2025/10/18 16:16:33.001, 291.90 W, 100 %, 75467 MiB
2025/10/18 16:16:33.001, 262.45 W, 100 %, 75467 MiB
2025/10/18 16:16:33.001, 304.99 W, 100 %, 75467 MiB
2025/10/18 16:16:33.001, 293.75 W, 100 %, 75467 MiB
2025/10/18 16:16:33.001, 258.70 W, 100 %, 75467 MiB
2025/10/18 16:16:33.001, 296.68 W, 100 %, 75467 MiB
2025/10/18 16:16:33.251, 421.82 W, 97 %, 75577 MiB
2025/10/18 16:16:33.251, 400.05 W, 100 %, 75467 MiB
2025/10/18 16:16:33.251, 404.14 W, 100 %, 75467 MiB
2025/10/18 16:16:33.251, 432.54 W, 98 %, 75467 MiB
2025/10/18 16:16:33.251, 417.19 W, 100 %, 75467 MiB
2025/10/18 16:16:33.251, 397.12 W, 100 %, 75467 MiB
2025/10/18 16:16:33.251, 429.63 W, 95 %, 75467 MiB
2025/10/18 16:16:33.251, 408.81 W, 98 %, 75467 MiB
2025/10/18 16:16:33.502, 517.18 W, 99 %, 75577 MiB
2025/10/18 16:16:33.502, 517.31 W, 50 %, 75467 MiB
2025/10/18 16:16:33.502, 514.52 W, 36 %, 75467 MiB
2025/10/18 16:16:33.502, 503.22 W, 100 %, 75467 MiB
2025/10/18 16:16:33.502, 524.82 W, 39 %, 75467 MiB
2025/10/18 16:16:33.502, 513.65 W, 83 %, 75467 MiB
2025/10/18 16:16:33.502, 505.05 W, 100 %, 75467 MiB
2025/10/18 16:16:33.502, 518.03 W, 60 %, 75467 MiB
2025/10/18 16:16:33.752, 558.03 W, 99 %, 75577 MiB
2025/10/18 16:16:33.752, 550.33 W, 66 %, 75467 MiB
2025/10/18 16:16:33.752, 556.50 W, 65 %, 75467 MiB
2025/10/18 16:16:33.752, 545.30 W, 100 %, 75467 MiB
