timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/23 09:06:54.757, 74.50 W, 0 %, 76591 MiB
2025/10/23 09:06:54.769, 68.75 W, 0 %, 76591 MiB
2025/10/23 09:06:54.782, 69.45 W, 0 %, 76591 MiB
2025/10/23 09:06:54.794, 70.72 W, 0 %, 76591 MiB
2025/10/23 09:06:54.806, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:54.820, 72.68 W, 0 %, 76591 MiB
2025/10/23 09:06:54.832, 69.61 W, 0 %, 76591 MiB
2025/10/23 09:06:54.845, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 74.50 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 68.75 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 69.45 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 72.68 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 69.61 W, 0 %, 76591 MiB
2025/10/23 09:06:55.108, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 68.75 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 72.36 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:55.358, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 72.36 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 69.61 W, 0 %, 76591 MiB
2025/10/23 09:06:55.609, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 72.36 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:55.859, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:56.109, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:56.109, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 72.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:56.110, 69.64 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 71.33 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 72.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:56.360, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 74.17 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 71.05 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 72.08 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:56.610, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 73.89 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 71.05 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 72.08 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 69.29 W, 0 %, 76591 MiB
2025/10/23 09:06:56.861, 69.03 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 73.89 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 68.48 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 69.18 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 71.05 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 69.36 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 72.08 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 69.61 W, 0 %, 76591 MiB
2025/10/23 09:06:57.111, 69.36 W, 0 %, 76591 MiB
