timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/03/13 21:31:40.474, 67.15 W, 1 %, 72669 MiB
2025/03/13 21:31:40.482, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:40.488, 72.43 W, 0 %, 72459 MiB
2025/03/13 21:31:40.493, 67.08 W, 0 %, 72171 MiB
2025/03/13 21:31:40.499, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:40.506, 62.72 W, 0 %, 14 MiB
2025/03/13 21:31:40.513, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:40.520, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:40.779, 67.15 W, 1 %, 72669 MiB
2025/03/13 21:31:40.779, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:40.779, 72.43 W, 0 %, 72459 MiB
2025/03/13 21:31:40.779, 67.08 W, 0 %, 72171 MiB
2025/03/13 21:31:40.779, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:40.779, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:40.779, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:40.779, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:41.029, 67.15 W, 0 %, 72669 MiB
2025/03/13 21:31:41.029, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:41.030, 72.43 W, 0 %, 72459 MiB
2025/03/13 21:31:41.030, 67.08 W, 0 %, 72171 MiB
2025/03/13 21:31:41.030, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:41.030, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.030, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.030, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:41.280, 67.15 W, 0 %, 72669 MiB
2025/03/13 21:31:41.280, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:41.280, 72.43 W, 0 %, 72459 MiB
2025/03/13 21:31:41.280, 67.08 W, 0 %, 72171 MiB
2025/03/13 21:31:41.280, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:41.280, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.280, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.280, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:41.530, 67.15 W, 0 %, 72669 MiB
2025/03/13 21:31:41.530, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:41.530, 72.16 W, 0 %, 72459 MiB
2025/03/13 21:31:41.530, 67.08 W, 0 %, 72171 MiB
2025/03/13 21:31:41.530, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:41.530, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.530, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.530, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:41.781, 67.15 W, 0 %, 72669 MiB
2025/03/13 21:31:41.782, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:41.782, 72.16 W, 0 %, 72459 MiB
2025/03/13 21:31:41.782, 67.40 W, 0 %, 72171 MiB
2025/03/13 21:31:41.782, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:41.782, 62.72 W, 0 %, 14 MiB
2025/03/13 21:31:41.782, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:41.782, 65.94 W, 0 %, 14 MiB
2025/03/13 21:31:42.032, 67.08 W, 0 %, 72669 MiB
2025/03/13 21:31:42.032, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:42.032, 72.16 W, 0 %, 72459 MiB
2025/03/13 21:31:42.032, 67.40 W, 0 %, 72171 MiB
2025/03/13 21:31:42.032, 60.64 W, 0 %, 14 MiB
2025/03/13 21:31:42.032, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:42.033, 62.79 W, 0 %, 14 MiB
2025/03/13 21:31:42.033, 65.87 W, 0 %, 14 MiB
2025/03/13 21:31:42.283, 67.15 W, 0 %, 72669 MiB
2025/03/13 21:31:42.283, 66.87 W, 0 %, 72459 MiB
2025/03/13 21:31:42.283, 72.16 W, 0 %, 72459 MiB
