Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741896296.33864,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.125,2,442,526,4.912938356399536
1741896303.716227,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,63,187,1.6811509132385254
1741896304.1209688,meta-llama/Llama-3.1-8B-Instruct,ARB,0.125,2,192,180,1.5829973220825195
1741896327.2737992,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,95,2931,25.3267765045166
1741896327.327175,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.125,2,60,76,0.6962242126464844
1741896330.6492524,meta-llama/Llama-3.1-8B-Instruct,reclor,0.125,2,178,152,1.373462200164795
1741896331.576513,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,38,209,1.8573615550994873
1741896354.4369805,meta-llama/Llama-3.1-8B-Instruct,reclor,0.125,2,150,101,0.8990194797515869
1741896355.8012385,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,80,446,3.831496000289917
1741896371.388188,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,19,56,0.5131816864013672
1741896410.607925,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,229,291,2.5247604846954346
1741896417.7090278,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,378,225,1.963787317276001
1741896423.312861,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,30,237,2.0653841495513916
1741896440.1603584,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,49,168,1.5033292770385742
1741896440.433978,meta-llama/Llama-3.1-8B-Instruct,reclor,0.125,2,342,250,2.179765462875366
1741896444.6335275,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,38,93,0.8558914661407471
1741896444.9531572,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,66,423,3.630587577819824
1741896451.4196198,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,41,558,4.802623987197876
1741896460.1718085,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,60,6031,52.843435764312744
1741896480.802678,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,44,1636,14.53116750717163
1741896490.6043406,meta-llama/Llama-3.1-8B-Instruct,reclor,0.125,2,167,53,0.5091819763183594
1741896502.4826307,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.125,2,90,852,7.655476093292236
1741896509.644136,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.125,2,75,511,4.579420566558838
1741896522.3327534,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.125,2,57,303,2.636793613433838
1741896524.7915447,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.125,2,42,1807,15.782733678817749
1741896526.128172,meta-llama/Llama-3.1-8B-Instruct,reclor,0.125,2,181,295,2.5937516689300537
