timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/05 20:33:34.230, 302.23 W, 0 %, 74650 MiB
2025/10/05 20:33:34.231, 75.09 W, 0 %, 17 MiB
2025/10/05 20:33:34.233, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:34.235, 72.95 W, 0 %, 17 MiB
2025/10/05 20:33:34.237, 74.54 W, 0 %, 17 MiB
2025/10/05 20:33:34.239, 72.85 W, 0 %, 17 MiB
2025/10/05 20:33:34.240, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:34.242, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 241.08 W, 0 %, 74650 MiB
2025/10/05 20:33:34.494, 75.11 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 72.44 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 74.54 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 72.86 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 69.46 W, 0 %, 17 MiB
2025/10/05 20:33:34.494, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 183.03 W, 0 %, 74650 MiB
2025/10/05 20:33:34.745, 75.03 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 74.57 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 72.86 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:34.745, 70.99 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 117.64 W, 0 %, 74650 MiB
2025/10/05 20:33:34.995, 75.06 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 74.52 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 72.84 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 69.48 W, 0 %, 17 MiB
2025/10/05 20:33:34.995, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:35.245, 116.19 W, 0 %, 74650 MiB
2025/10/05 20:33:35.245, 75.09 W, 0 %, 17 MiB
2025/10/05 20:33:35.245, 72.43 W, 0 %, 17 MiB
2025/10/05 20:33:35.246, 72.91 W, 0 %, 17 MiB
2025/10/05 20:33:35.246, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:35.246, 72.83 W, 0 %, 17 MiB
2025/10/05 20:33:35.246, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:35.246, 70.98 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 116.04 W, 0 %, 74650 MiB
2025/10/05 20:33:35.496, 74.99 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 72.43 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 72.92 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 74.56 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 72.81 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:35.496, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 115.97 W, 0 %, 74650 MiB
2025/10/05 20:33:35.746, 75.06 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 72.43 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 74.53 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 69.48 W, 0 %, 17 MiB
2025/10/05 20:33:35.746, 70.98 W, 0 %, 17 MiB
2025/10/05 20:33:35.996, 115.88 W, 0 %, 74650 MiB
2025/10/05 20:33:35.997, 75.08 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 72.42 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 74.47 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 72.79 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:35.997, 70.98 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 115.78 W, 0 %, 74650 MiB
2025/10/05 20:33:36.247, 75.01 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 72.44 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 74.49 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 72.79 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:36.247, 70.99 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 115.77 W, 0 %, 74650 MiB
2025/10/05 20:33:36.497, 75.10 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 72.82 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:36.497, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 115.77 W, 0 %, 74650 MiB
2025/10/05 20:33:36.748, 75.08 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 72.91 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 74.53 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 72.83 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:36.748, 71.00 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 115.75 W, 0 %, 74650 MiB
2025/10/05 20:33:36.998, 75.01 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 72.91 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 72.82 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 69.48 W, 0 %, 17 MiB
2025/10/05 20:33:36.998, 70.95 W, 0 %, 17 MiB
2025/10/05 20:33:37.248, 115.74 W, 0 %, 74650 MiB
2025/10/05 20:33:37.249, 75.08 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 72.84 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:37.249, 71.00 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 115.70 W, 0 %, 74650 MiB
2025/10/05 20:33:37.499, 75.05 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 72.88 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:37.499, 70.99 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 115.64 W, 0 %, 74650 MiB
2025/10/05 20:33:37.749, 75.04 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 72.89 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 72.81 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:37.749, 70.98 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 115.62 W, 0 %, 74650 MiB
2025/10/05 20:33:38.000, 75.13 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 72.45 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 72.91 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 74.46 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 72.82 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:38.000, 70.98 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 115.59 W, 0 %, 74650 MiB
2025/10/05 20:33:38.250, 75.06 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 72.43 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 69.51 W, 0 %, 17 MiB
2025/10/05 20:33:38.250, 70.99 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 115.58 W, 0 %, 74650 MiB
2025/10/05 20:33:38.500, 75.05 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 72.44 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 72.92 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 72.84 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:38.500, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 115.55 W, 0 %, 74650 MiB
2025/10/05 20:33:38.751, 75.10 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 72.83 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 69.53 W, 0 %, 17 MiB
2025/10/05 20:33:38.751, 71.01 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 115.54 W, 0 %, 74650 MiB
2025/10/05 20:33:39.001, 75.01 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 72.47 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 72.92 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 74.46 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 72.82 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 69.55 W, 0 %, 17 MiB
2025/10/05 20:33:39.001, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:39.251, 163.03 W, 22 %, 74650 MiB
2025/10/05 20:33:39.251, 75.01 W, 0 %, 17 MiB
2025/10/05 20:33:39.251, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:39.252, 72.89 W, 0 %, 17 MiB
2025/10/05 20:33:39.252, 74.44 W, 0 %, 17 MiB
2025/10/05 20:33:39.252, 72.84 W, 0 %, 17 MiB
2025/10/05 20:33:39.252, 69.53 W, 0 %, 17 MiB
2025/10/05 20:33:39.252, 70.97 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 220.43 W, 91 %, 74650 MiB
2025/10/05 20:33:39.502, 75.05 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 72.47 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 72.91 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 72.78 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 69.51 W, 0 %, 17 MiB
2025/10/05 20:33:39.502, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 308.76 W, 91 %, 74650 MiB
2025/10/05 20:33:39.752, 75.03 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 72.46 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 69.50 W, 0 %, 17 MiB
2025/10/05 20:33:39.752, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:40.002, 366.45 W, 91 %, 74650 MiB
2025/10/05 20:33:40.003, 75.09 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 72.45 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 72.90 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 72.79 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:40.003, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 413.24 W, 91 %, 74650 MiB
2025/10/05 20:33:40.253, 75.12 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 72.47 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 74.48 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 72.77 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 69.47 W, 0 %, 17 MiB
2025/10/05 20:33:40.253, 70.99 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 403.37 W, 91 %, 74650 MiB
2025/10/05 20:33:40.503, 75.05 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 74.50 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 72.82 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:40.503, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 403.55 W, 91 %, 74650 MiB
2025/10/05 20:33:40.754, 75.08 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 72.94 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 74.49 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 69.49 W, 0 %, 17 MiB
2025/10/05 20:33:40.754, 70.96 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 403.43 W, 91 %, 74650 MiB
2025/10/05 20:33:41.004, 75.10 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 72.47 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 72.94 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 74.45 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 72.79 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 69.48 W, 0 %, 17 MiB
2025/10/05 20:33:41.004, 70.95 W, 0 %, 17 MiB
2025/10/05 20:33:41.254, 398.06 W, 91 %, 74650 MiB
2025/10/05 20:33:41.254, 75.04 W, 0 %, 17 MiB
2025/10/05 20:33:41.254, 72.48 W, 0 %, 17 MiB
2025/10/05 20:33:41.254, 72.93 W, 0 %, 17 MiB
2025/10/05 20:33:41.255, 74.47 W, 0 %, 17 MiB
2025/10/05 20:33:41.255, 72.80 W, 0 %, 17 MiB
2025/10/05 20:33:41.255, 69.48 W, 0 %, 17 MiB
2025/10/05 20:33:41.255, 70.95 W, 0 %, 17 MiB
