timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/05 23:04:19.986, 308.94 W, 0 %, 74637 MiB
2025/10/05 23:04:19.988, 74.46 W, 0 %, 17 MiB
2025/10/05 23:04:19.989, 71.94 W, 0 %, 17 MiB
2025/10/05 23:04:19.991, 72.42 W, 0 %, 17 MiB
2025/10/05 23:04:19.993, 73.89 W, 0 %, 17 MiB
2025/10/05 23:04:19.995, 72.34 W, 0 %, 17 MiB
2025/10/05 23:04:19.997, 69.07 W, 0 %, 17 MiB
2025/10/05 23:04:19.999, 70.57 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 249.59 W, 0 %, 74637 MiB
2025/10/05 23:04:20.250, 74.49 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 71.97 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 72.40 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 73.92 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 72.31 W, 0 %, 17 MiB
2025/10/05 23:04:20.250, 69.06 W, 0 %, 17 MiB
2025/10/05 23:04:20.251, 70.57 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 191.20 W, 0 %, 74637 MiB
2025/10/05 23:04:20.501, 74.43 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 71.93 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 72.41 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 73.97 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 72.29 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 69.05 W, 0 %, 17 MiB
2025/10/05 23:04:20.501, 70.60 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 118.99 W, 0 %, 74646 MiB
2025/10/05 23:04:20.751, 74.43 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 71.92 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 72.41 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 73.97 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 72.31 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 69.05 W, 0 %, 17 MiB
2025/10/05 23:04:20.751, 70.56 W, 0 %, 17 MiB
2025/10/05 23:04:21.001, 118.21 W, 0 %, 74646 MiB
2025/10/05 23:04:21.002, 74.46 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 71.95 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 72.39 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 73.94 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 72.31 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 69.08 W, 0 %, 17 MiB
2025/10/05 23:04:21.002, 70.57 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 117.93 W, 0 %, 74646 MiB
2025/10/05 23:04:21.252, 74.46 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 71.90 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 72.39 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 73.89 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 72.33 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 69.07 W, 0 %, 17 MiB
2025/10/05 23:04:21.252, 70.57 W, 0 %, 17 MiB
2025/10/05 23:04:21.502, 117.85 W, 0 %, 74646 MiB
2025/10/05 23:04:21.502, 74.54 W, 0 %, 17 MiB
2025/10/05 23:04:21.502, 71.90 W, 0 %, 17 MiB
