timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/23 10:32:08.164, 88.89 W, 0 %, 74291 MiB
2025/10/23 10:32:08.169, 60.90 W, 0 %, 4 MiB
2025/10/23 10:32:08.177, 61.07 W, 0 %, 4 MiB
2025/10/23 10:32:08.188, 62.04 W, 0 %, 4 MiB
2025/10/23 10:32:08.197, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:08.205, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:08.213, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:08.221, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 91.05 W, 0 %, 74291 MiB
2025/10/23 10:32:08.479, 60.57 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 61.40 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 62.04 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:08.479, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:08.729, 90.45 W, 0 %, 74291 MiB
2025/10/23 10:32:08.729, 60.57 W, 0 %, 4 MiB
2025/10/23 10:32:08.729, 61.07 W, 0 %, 4 MiB
2025/10/23 10:32:08.729, 62.04 W, 0 %, 4 MiB
2025/10/23 10:32:08.729, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:08.729, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:08.730, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:08.730, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 90.45 W, 0 %, 74291 MiB
2025/10/23 10:32:08.980, 60.90 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 61.07 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 62.10 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:08.980, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 90.11 W, 0 %, 74291 MiB
2025/10/23 10:32:09.230, 60.90 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 61.07 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 62.04 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:09.230, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:09.480, 89.78 W, 0 %, 74291 MiB
2025/10/23 10:32:09.481, 60.57 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 61.07 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 62.04 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 60.82 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 63.26 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 61.06 W, 0 %, 4 MiB
2025/10/23 10:32:09.481, 61.43 W, 0 %, 4 MiB
2025/10/23 10:32:09.731, 73.28 W, 0 %, 74291 MiB
2025/10/23 10:32:09.731, 60.90 W, 0 %, 4 MiB
2025/10/23 10:32:09.731, 61.40 W, 0 %, 4 MiB
