timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/16 07:01:50.050, 98.10 W, 0 %, 75573 MiB
2025/10/16 07:01:50.057, 86.81 W, 0 %, 75573 MiB
2025/10/16 07:01:50.062, 61.64 W, 0 %, 4 MiB
2025/10/16 07:01:50.070, 61.86 W, 0 %, 4 MiB
2025/10/16 07:01:50.077, 60.49 W, 0 %, 4 MiB
2025/10/16 07:01:50.088, 61.12 W, 0 %, 4 MiB
2025/10/16 07:01:50.095, 57.62 W, 0 %, 4 MiB
2025/10/16 07:01:50.104, 61.64 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 97.22 W, 0 %, 75573 MiB
2025/10/16 07:01:50.362, 85.89 W, 0 %, 75573 MiB
2025/10/16 07:01:50.362, 61.64 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 61.86 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 60.22 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 61.12 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 57.62 W, 0 %, 4 MiB
2025/10/16 07:01:50.362, 61.31 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 95.69 W, 0 %, 75573 MiB
2025/10/16 07:01:50.612, 85.28 W, 0 %, 75573 MiB
2025/10/16 07:01:50.612, 61.64 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 61.86 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 60.49 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 61.12 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 57.62 W, 0 %, 4 MiB
2025/10/16 07:01:50.612, 61.64 W, 0 %, 4 MiB
2025/10/16 07:01:50.862, 95.09 W, 0 %, 75573 MiB
2025/10/16 07:01:50.862, 85.28 W, 0 %, 75573 MiB
2025/10/16 07:01:50.862, 61.85 W, 0 %, 4 MiB
2025/10/16 07:01:50.862, 61.86 W, 0 %, 4 MiB
2025/10/16 07:01:50.862, 60.43 W, 0 %, 4 MiB
2025/10/16 07:01:50.863, 61.12 W, 0 %, 4 MiB
2025/10/16 07:01:50.863, 57.62 W, 0 %, 4 MiB
2025/10/16 07:01:50.863, 61.57 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 94.66 W, 0 %, 75573 MiB
2025/10/16 07:01:51.113, 84.86 W, 0 %, 75573 MiB
2025/10/16 07:01:51.113, 61.78 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 62.07 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 60.43 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 61.06 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 57.56 W, 0 %, 4 MiB
2025/10/16 07:01:51.113, 61.25 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 94.39 W, 0 %, 75573 MiB
2025/10/16 07:01:51.363, 84.78 W, 0 %, 75573 MiB
2025/10/16 07:01:51.363, 61.78 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 62.00 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 60.37 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 60.99 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 57.50 W, 0 %, 4 MiB
2025/10/16 07:01:51.363, 61.18 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 76.65 W, 0 %, 75573 MiB
2025/10/16 07:01:51.614, 69.87 W, 0 %, 75573 MiB
2025/10/16 07:01:51.614, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 61.73 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 60.37 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 60.99 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 57.50 W, 0 %, 4 MiB
2025/10/16 07:01:51.614, 61.51 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 76.05 W, 0 %, 75573 MiB
2025/10/16 07:01:51.864, 69.21 W, 0 %, 75573 MiB
2025/10/16 07:01:51.864, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 57.50 W, 0 %, 4 MiB
2025/10/16 07:01:51.864, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:52.114, 75.64 W, 0 %, 75573 MiB
2025/10/16 07:01:52.114, 69.14 W, 0 %, 75573 MiB
2025/10/16 07:01:52.114, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:52.115, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:52.115, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:52.115, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:52.115, 57.44 W, 0 %, 4 MiB
2025/10/16 07:01:52.115, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 75.71 W, 0 %, 75573 MiB
2025/10/16 07:01:52.365, 69.14 W, 0 %, 75573 MiB
2025/10/16 07:01:52.365, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 57.50 W, 0 %, 4 MiB
2025/10/16 07:01:52.365, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:52.615, 75.39 W, 0 %, 75573 MiB
2025/10/16 07:01:52.615, 68.86 W, 0 %, 75573 MiB
2025/10/16 07:01:52.615, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:52.615, 61.67 W, 0 %, 4 MiB
2025/10/16 07:01:52.615, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:52.615, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:52.616, 57.83 W, 0 %, 4 MiB
2025/10/16 07:01:52.616, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 75.31 W, 0 %, 75573 MiB
2025/10/16 07:01:52.866, 68.54 W, 0 %, 75573 MiB
2025/10/16 07:01:52.866, 61.72 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 57.44 W, 0 %, 4 MiB
2025/10/16 07:01:52.866, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:53.116, 75.31 W, 0 %, 75573 MiB
2025/10/16 07:01:53.116, 68.54 W, 0 %, 75573 MiB
2025/10/16 07:01:53.116, 61.66 W, 0 %, 4 MiB
2025/10/16 07:01:53.116, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:53.116, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:53.116, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:53.116, 57.77 W, 0 %, 4 MiB
2025/10/16 07:01:53.117, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 75.04 W, 0 %, 75573 MiB
2025/10/16 07:01:53.367, 68.54 W, 0 %, 75573 MiB
2025/10/16 07:01:53.367, 61.66 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 61.94 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 60.31 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 60.93 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 57.44 W, 0 %, 4 MiB
2025/10/16 07:01:53.367, 61.45 W, 0 %, 4 MiB
2025/10/16 07:01:53.617, 75.04 W, 0 %, 75573 MiB
2025/10/16 07:01:53.617, 68.54 W, 0 %, 75573 MiB
2025/10/16 07:01:53.617, 61.66 W, 0 %, 4 MiB
