timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/16 09:50:33.681, 86.92 W, 0 %, 75525 MiB
2025/10/16 09:50:33.689, 81.41 W, 0 %, 75525 MiB
2025/10/16 09:50:33.695, 84.00 W, 0 %, 75525 MiB
2025/10/16 09:50:33.700, 84.09 W, 0 %, 75525 MiB
2025/10/16 09:50:33.706, 60.22 W, 0 %, 4 MiB
2025/10/16 09:50:33.714, 60.84 W, 0 %, 4 MiB
2025/10/16 09:50:33.723, 57.40 W, 0 %, 4 MiB
2025/10/16 09:50:33.731, 61.03 W, 0 %, 4 MiB
2025/10/16 09:50:33.989, 86.64 W, 0 %, 75525 MiB
2025/10/16 09:50:33.989, 81.41 W, 0 %, 75525 MiB
2025/10/16 09:50:33.990, 84.00 W, 0 %, 75525 MiB
2025/10/16 09:50:33.990, 83.90 W, 0 %, 75525 MiB
2025/10/16 09:50:33.990, 60.22 W, 0 %, 4 MiB
2025/10/16 09:50:33.990, 61.18 W, 0 %, 4 MiB
2025/10/16 09:50:33.990, 57.40 W, 0 %, 4 MiB
2025/10/16 09:50:33.990, 61.03 W, 0 %, 4 MiB
2025/10/16 09:50:34.240, 86.64 W, 0 %, 75525 MiB
2025/10/16 09:50:34.240, 81.41 W, 0 %, 75525 MiB
2025/10/16 09:50:34.240, 83.72 W, 0 %, 75525 MiB
2025/10/16 09:50:34.240, 83.57 W, 0 %, 75525 MiB
2025/10/16 09:50:34.240, 59.94 W, 0 %, 4 MiB
2025/10/16 09:50:34.240, 61.18 W, 0 %, 4 MiB
2025/10/16 09:50:34.240, 57.40 W, 0 %, 4 MiB
2025/10/16 09:50:34.240, 61.03 W, 0 %, 4 MiB
2025/10/16 09:50:34.490, 71.08 W, 0 %, 75525 MiB
2025/10/16 09:50:34.490, 67.01 W, 0 %, 75525 MiB
2025/10/16 09:50:34.490, 68.96 W, 0 %, 75525 MiB
2025/10/16 09:50:34.490, 68.27 W, 0 %, 75525 MiB
2025/10/16 09:50:34.490, 60.22 W, 0 %, 4 MiB
2025/10/16 09:50:34.490, 61.18 W, 0 %, 4 MiB
2025/10/16 09:50:34.490, 57.40 W, 0 %, 4 MiB
2025/10/16 09:50:34.491, 61.31 W, 0 %, 4 MiB
2025/10/16 09:50:34.741, 70.47 W, 0 %, 75525 MiB
2025/10/16 09:50:34.741, 67.01 W, 0 %, 75525 MiB
2025/10/16 09:50:34.741, 68.62 W, 0 %, 75525 MiB
2025/10/16 09:50:34.741, 68.27 W, 0 %, 75525 MiB
2025/10/16 09:50:34.741, 60.22 W, 0 %, 4 MiB
2025/10/16 09:50:34.741, 61.12 W, 0 %, 4 MiB
2025/10/16 09:50:34.741, 57.34 W, 0 %, 4 MiB
2025/10/16 09:50:34.741, 61.03 W, 0 %, 4 MiB
