timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/07 17:03:20.116, 118.73 W, 0 %, 74755 MiB
2025/10/07 17:03:20.118, 118.42 W, 0 %, 74645 MiB
2025/10/07 17:03:20.120, 118.50 W, 0 %, 74645 MiB
2025/10/07 17:03:20.122, 117.95 W, 0 %, 74645 MiB
2025/10/07 17:03:20.124, 72.58 W, 0 %, 17 MiB
2025/10/07 17:03:20.127, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:20.129, 71.45 W, 0 %, 17 MiB
2025/10/07 17:03:20.131, 70.73 W, 0 %, 17 MiB
2025/10/07 17:03:20.384, 118.70 W, 0 %, 74755 MiB
2025/10/07 17:03:20.384, 118.42 W, 0 %, 74645 MiB
2025/10/07 17:03:20.384, 118.48 W, 0 %, 74645 MiB
2025/10/07 17:03:20.384, 117.96 W, 0 %, 74645 MiB
2025/10/07 17:03:20.384, 72.56 W, 0 %, 17 MiB
2025/10/07 17:03:20.384, 71.78 W, 0 %, 17 MiB
2025/10/07 17:03:20.384, 71.39 W, 0 %, 17 MiB
2025/10/07 17:03:20.384, 70.68 W, 0 %, 17 MiB
2025/10/07 17:03:20.634, 118.71 W, 0 %, 74755 MiB
2025/10/07 17:03:20.634, 118.40 W, 0 %, 74645 MiB
2025/10/07 17:03:20.634, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:20.634, 117.97 W, 0 %, 74645 MiB
2025/10/07 17:03:20.634, 72.58 W, 0 %, 17 MiB
2025/10/07 17:03:20.634, 71.76 W, 0 %, 17 MiB
2025/10/07 17:03:20.635, 71.49 W, 0 %, 17 MiB
2025/10/07 17:03:20.635, 70.64 W, 0 %, 17 MiB
2025/10/07 17:03:20.885, 118.72 W, 0 %, 74755 MiB
2025/10/07 17:03:20.885, 118.40 W, 0 %, 74645 MiB
2025/10/07 17:03:20.885, 118.45 W, 0 %, 74645 MiB
2025/10/07 17:03:20.885, 117.95 W, 0 %, 74645 MiB
2025/10/07 17:03:20.885, 72.56 W, 0 %, 17 MiB
2025/10/07 17:03:20.885, 71.78 W, 0 %, 17 MiB
2025/10/07 17:03:20.885, 71.49 W, 0 %, 17 MiB
2025/10/07 17:03:20.885, 70.53 W, 0 %, 17 MiB
2025/10/07 17:03:21.135, 118.73 W, 0 %, 74755 MiB
2025/10/07 17:03:21.135, 118.40 W, 0 %, 74645 MiB
2025/10/07 17:03:21.135, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:21.135, 117.90 W, 0 %, 74645 MiB
2025/10/07 17:03:21.135, 72.59 W, 0 %, 17 MiB
2025/10/07 17:03:21.135, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:21.135, 71.48 W, 0 %, 17 MiB
2025/10/07 17:03:21.135, 70.47 W, 0 %, 17 MiB
2025/10/07 17:03:21.385, 118.74 W, 0 %, 74755 MiB
2025/10/07 17:03:21.386, 118.38 W, 0 %, 74645 MiB
2025/10/07 17:03:21.386, 118.44 W, 0 %, 74645 MiB
2025/10/07 17:03:21.386, 117.91 W, 0 %, 74645 MiB
2025/10/07 17:03:21.386, 72.54 W, 0 %, 17 MiB
2025/10/07 17:03:21.386, 71.80 W, 0 %, 17 MiB
2025/10/07 17:03:21.386, 71.46 W, 0 %, 17 MiB
2025/10/07 17:03:21.386, 70.37 W, 0 %, 17 MiB
2025/10/07 17:03:21.636, 118.71 W, 0 %, 74755 MiB
2025/10/07 17:03:21.636, 118.38 W, 0 %, 74645 MiB
2025/10/07 17:03:21.636, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:21.636, 117.91 W, 0 %, 74645 MiB
2025/10/07 17:03:21.636, 72.57 W, 0 %, 17 MiB
2025/10/07 17:03:21.636, 71.80 W, 0 %, 17 MiB
2025/10/07 17:03:21.636, 71.41 W, 0 %, 17 MiB
2025/10/07 17:03:21.636, 70.32 W, 0 %, 17 MiB
2025/10/07 17:03:21.886, 118.71 W, 0 %, 74755 MiB
2025/10/07 17:03:21.886, 118.39 W, 0 %, 74645 MiB
2025/10/07 17:03:21.886, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:21.886, 117.91 W, 0 %, 74645 MiB
2025/10/07 17:03:21.887, 72.56 W, 0 %, 17 MiB
2025/10/07 17:03:21.887, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:21.887, 71.43 W, 0 %, 17 MiB
2025/10/07 17:03:21.887, 70.30 W, 0 %, 17 MiB
2025/10/07 17:03:22.137, 118.69 W, 0 %, 74755 MiB
2025/10/07 17:03:22.137, 118.41 W, 0 %, 74645 MiB
2025/10/07 17:03:22.137, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:22.137, 117.94 W, 0 %, 74645 MiB
2025/10/07 17:03:22.137, 72.54 W, 0 %, 17 MiB
2025/10/07 17:03:22.137, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:22.137, 71.54 W, 0 %, 17 MiB
2025/10/07 17:03:22.137, 70.32 W, 0 %, 17 MiB
2025/10/07 17:03:22.387, 118.68 W, 0 %, 74755 MiB
2025/10/07 17:03:22.387, 118.38 W, 0 %, 74645 MiB
2025/10/07 17:03:22.387, 118.47 W, 0 %, 74645 MiB
2025/10/07 17:03:22.387, 117.93 W, 0 %, 74645 MiB
2025/10/07 17:03:22.387, 72.57 W, 0 %, 17 MiB
2025/10/07 17:03:22.387, 71.77 W, 0 %, 17 MiB
2025/10/07 17:03:22.387, 71.55 W, 0 %, 17 MiB
2025/10/07 17:03:22.387, 70.39 W, 0 %, 17 MiB
2025/10/07 17:03:22.638, 118.70 W, 0 %, 74755 MiB
2025/10/07 17:03:22.638, 118.41 W, 0 %, 74645 MiB
2025/10/07 17:03:22.638, 118.48 W, 0 %, 74645 MiB
2025/10/07 17:03:22.638, 117.93 W, 0 %, 74645 MiB
2025/10/07 17:03:22.638, 72.51 W, 0 %, 17 MiB
2025/10/07 17:03:22.638, 71.78 W, 0 %, 17 MiB
2025/10/07 17:03:22.638, 71.45 W, 0 %, 17 MiB
2025/10/07 17:03:22.638, 70.45 W, 0 %, 17 MiB
2025/10/07 17:03:22.888, 118.69 W, 0 %, 74755 MiB
2025/10/07 17:03:22.888, 118.38 W, 0 %, 74645 MiB
2025/10/07 17:03:22.888, 118.48 W, 0 %, 74645 MiB
2025/10/07 17:03:22.888, 117.93 W, 0 %, 74645 MiB
2025/10/07 17:03:22.888, 72.58 W, 0 %, 17 MiB
2025/10/07 17:03:22.888, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:22.888, 71.46 W, 0 %, 17 MiB
2025/10/07 17:03:22.888, 70.56 W, 0 %, 17 MiB
2025/10/07 17:03:23.139, 118.70 W, 0 %, 74755 MiB
2025/10/07 17:03:23.139, 118.35 W, 0 %, 74645 MiB
2025/10/07 17:03:23.139, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:23.139, 117.91 W, 0 %, 74645 MiB
2025/10/07 17:03:23.139, 72.55 W, 0 %, 17 MiB
2025/10/07 17:03:23.139, 71.79 W, 0 %, 17 MiB
2025/10/07 17:03:23.139, 71.48 W, 0 %, 17 MiB
2025/10/07 17:03:23.139, 70.65 W, 0 %, 17 MiB
2025/10/07 17:03:23.389, 118.71 W, 0 %, 74755 MiB
2025/10/07 17:03:23.389, 118.40 W, 0 %, 74645 MiB
2025/10/07 17:03:23.389, 118.47 W, 0 %, 74645 MiB
2025/10/07 17:03:23.389, 117.93 W, 0 %, 74645 MiB
2025/10/07 17:03:23.389, 72.55 W, 0 %, 17 MiB
2025/10/07 17:03:23.389, 71.78 W, 0 %, 17 MiB
2025/10/07 17:03:23.389, 71.47 W, 0 %, 17 MiB
2025/10/07 17:03:23.389, 70.78 W, 0 %, 17 MiB
2025/10/07 17:03:23.639, 118.69 W, 0 %, 74755 MiB
2025/10/07 17:03:23.639, 118.37 W, 0 %, 74645 MiB
2025/10/07 17:03:23.639, 118.46 W, 0 %, 74645 MiB
2025/10/07 17:03:23.639, 117.90 W, 0 %, 74645 MiB
2025/10/07 17:03:23.639, 72.60 W, 0 %, 17 MiB
2025/10/07 17:03:23.640, 71.80 W, 0 %, 17 MiB
