timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/07 20:43:25.340, 325.26 W, 0 %, 74759 MiB
2025/10/07 20:43:25.343, 312.09 W, 0 %, 74649 MiB
2025/10/07 20:43:25.345, 308.20 W, 0 %, 74649 MiB
2025/10/07 20:43:25.347, 315.15 W, 0 %, 74649 MiB
2025/10/07 20:43:25.349, 72.20 W, 0 %, 17 MiB
2025/10/07 20:43:25.351, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:25.354, 71.08 W, 0 %, 17 MiB
2025/10/07 20:43:25.356, 71.33 W, 0 %, 17 MiB
2025/10/07 20:43:25.609, 230.76 W, 0 %, 74759 MiB
2025/10/07 20:43:25.609, 180.33 W, 0 %, 74649 MiB
2025/10/07 20:43:25.609, 182.21 W, 0 %, 74649 MiB
2025/10/07 20:43:25.609, 185.94 W, 0 %, 74649 MiB
2025/10/07 20:43:25.609, 72.15 W, 0 %, 17 MiB
2025/10/07 20:43:25.609, 71.32 W, 0 %, 17 MiB
2025/10/07 20:43:25.609, 71.16 W, 0 %, 17 MiB
2025/10/07 20:43:25.609, 71.37 W, 0 %, 17 MiB
2025/10/07 20:43:25.859, 134.21 W, 0 %, 74759 MiB
2025/10/07 20:43:25.859, 129.89 W, 0 %, 74649 MiB
2025/10/07 20:43:25.859, 126.18 W, 0 %, 74649 MiB
2025/10/07 20:43:25.859, 127.43 W, 0 %, 74649 MiB
2025/10/07 20:43:25.859, 72.18 W, 0 %, 17 MiB
2025/10/07 20:43:25.859, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:25.859, 71.13 W, 0 %, 17 MiB
2025/10/07 20:43:25.859, 71.28 W, 0 %, 17 MiB
2025/10/07 20:43:26.109, 133.95 W, 0 %, 74759 MiB
2025/10/07 20:43:26.110, 129.46 W, 0 %, 74649 MiB
2025/10/07 20:43:26.110, 125.74 W, 0 %, 74649 MiB
2025/10/07 20:43:26.110, 127.14 W, 0 %, 74649 MiB
2025/10/07 20:43:26.110, 72.12 W, 0 %, 17 MiB
2025/10/07 20:43:26.110, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:26.110, 71.03 W, 0 %, 17 MiB
2025/10/07 20:43:26.110, 71.26 W, 0 %, 17 MiB
2025/10/07 20:43:26.360, 133.47 W, 0 %, 74759 MiB
2025/10/07 20:43:26.360, 129.07 W, 0 %, 74649 MiB
2025/10/07 20:43:26.360, 125.43 W, 0 %, 74649 MiB
2025/10/07 20:43:26.360, 126.88 W, 0 %, 74649 MiB
2025/10/07 20:43:26.360, 72.15 W, 0 %, 17 MiB
2025/10/07 20:43:26.360, 71.30 W, 0 %, 17 MiB
2025/10/07 20:43:26.360, 71.03 W, 0 %, 17 MiB
2025/10/07 20:43:26.360, 71.21 W, 0 %, 17 MiB
2025/10/07 20:43:26.610, 133.23 W, 0 %, 74759 MiB
2025/10/07 20:43:26.610, 128.73 W, 0 %, 74649 MiB
2025/10/07 20:43:26.610, 125.14 W, 0 %, 74649 MiB
2025/10/07 20:43:26.610, 126.55 W, 0 %, 74649 MiB
2025/10/07 20:43:26.610, 72.15 W, 0 %, 17 MiB
2025/10/07 20:43:26.610, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:26.610, 71.06 W, 0 %, 17 MiB
2025/10/07 20:43:26.610, 71.16 W, 0 %, 17 MiB
2025/10/07 20:43:26.861, 132.85 W, 0 %, 74759 MiB
2025/10/07 20:43:26.861, 128.56 W, 0 %, 74649 MiB
2025/10/07 20:43:26.861, 124.96 W, 0 %, 74649 MiB
2025/10/07 20:43:26.861, 126.38 W, 0 %, 74649 MiB
2025/10/07 20:43:26.861, 72.12 W, 0 %, 17 MiB
2025/10/07 20:43:26.861, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:26.861, 71.08 W, 0 %, 17 MiB
2025/10/07 20:43:26.861, 71.12 W, 0 %, 17 MiB
2025/10/07 20:43:27.111, 132.65 W, 0 %, 74759 MiB
2025/10/07 20:43:27.111, 128.34 W, 0 %, 74649 MiB
2025/10/07 20:43:27.111, 124.71 W, 0 %, 74649 MiB
2025/10/07 20:43:27.111, 126.13 W, 0 %, 74649 MiB
2025/10/07 20:43:27.111, 72.18 W, 0 %, 17 MiB
2025/10/07 20:43:27.111, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:27.111, 71.14 W, 0 %, 17 MiB
2025/10/07 20:43:27.111, 71.05 W, 0 %, 17 MiB
2025/10/07 20:43:27.361, 132.38 W, 0 %, 74759 MiB
2025/10/07 20:43:27.361, 128.20 W, 0 %, 74649 MiB
2025/10/07 20:43:27.361, 124.60 W, 0 %, 74649 MiB
2025/10/07 20:43:27.361, 125.96 W, 0 %, 74649 MiB
2025/10/07 20:43:27.361, 72.14 W, 0 %, 17 MiB
2025/10/07 20:43:27.361, 71.32 W, 0 %, 17 MiB
2025/10/07 20:43:27.361, 71.13 W, 0 %, 17 MiB
2025/10/07 20:43:27.361, 70.96 W, 0 %, 17 MiB
2025/10/07 20:43:27.612, 132.20 W, 0 %, 74759 MiB
2025/10/07 20:43:27.612, 128.02 W, 0 %, 74649 MiB
2025/10/07 20:43:27.612, 124.41 W, 0 %, 74649 MiB
2025/10/07 20:43:27.612, 125.74 W, 0 %, 74649 MiB
2025/10/07 20:43:27.612, 72.17 W, 0 %, 17 MiB
2025/10/07 20:43:27.612, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:27.612, 71.02 W, 0 %, 17 MiB
2025/10/07 20:43:27.612, 70.90 W, 0 %, 17 MiB
2025/10/07 20:43:27.862, 131.78 W, 0 %, 74758 MiB
2025/10/07 20:43:27.980, 127.87 W, 0 %, 74649 MiB
2025/10/07 20:43:27.980, 124.24 W, 0 %, 74649 MiB
2025/10/07 20:43:27.981, 125.51 W, 0 %, 74649 MiB
2025/10/07 20:43:27.981, 72.12 W, 0 %, 17 MiB
2025/10/07 20:43:27.981, 71.33 W, 0 %, 17 MiB
2025/10/07 20:43:27.981, 71.11 W, 0 %, 17 MiB
2025/10/07 20:43:27.981, 70.79 W, 0 %, 17 MiB
2025/10/07 20:43:28.232, 131.37 W, 0 %, 74733 MiB
2025/10/07 20:43:28.232, 127.72 W, 0 %, 74649 MiB
2025/10/07 20:43:28.232, 124.10 W, 0 %, 74649 MiB
2025/10/07 20:43:28.232, 125.42 W, 0 %, 74649 MiB
2025/10/07 20:43:28.232, 72.16 W, 0 %, 17 MiB
2025/10/07 20:43:28.232, 71.33 W, 0 %, 17 MiB
2025/10/07 20:43:28.232, 71.01 W, 0 %, 17 MiB
2025/10/07 20:43:28.232, 70.74 W, 0 %, 17 MiB
2025/10/07 20:43:28.482, 131.04 W, 0 %, 74750 MiB
2025/10/07 20:43:28.482, 127.64 W, 0 %, 74649 MiB
2025/10/07 20:43:28.482, 124.02 W, 0 %, 74649 MiB
2025/10/07 20:43:28.482, 125.26 W, 0 %, 74649 MiB
2025/10/07 20:43:28.482, 72.16 W, 0 %, 17 MiB
2025/10/07 20:43:28.482, 71.32 W, 0 %, 17 MiB
2025/10/07 20:43:28.482, 71.03 W, 0 %, 17 MiB
2025/10/07 20:43:28.482, 70.67 W, 0 %, 17 MiB
2025/10/07 20:43:28.732, 130.79 W, 0 %, 74750 MiB
2025/10/07 20:43:28.732, 127.54 W, 0 %, 74649 MiB
2025/10/07 20:43:28.732, 123.89 W, 0 %, 74649 MiB
2025/10/07 20:43:28.732, 125.16 W, 0 %, 74649 MiB
2025/10/07 20:43:28.732, 72.13 W, 0 %, 17 MiB
2025/10/07 20:43:28.732, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:28.732, 71.17 W, 0 %, 17 MiB
2025/10/07 20:43:28.733, 70.60 W, 0 %, 17 MiB
2025/10/07 20:43:28.983, 130.63 W, 0 %, 74750 MiB
2025/10/07 20:43:28.983, 127.43 W, 0 %, 74649 MiB
2025/10/07 20:43:28.983, 123.79 W, 0 %, 74649 MiB
2025/10/07 20:43:28.983, 125.00 W, 0 %, 74649 MiB
2025/10/07 20:43:28.983, 72.17 W, 0 %, 17 MiB
2025/10/07 20:43:28.983, 71.29 W, 0 %, 17 MiB
2025/10/07 20:43:28.983, 71.21 W, 0 %, 17 MiB
2025/10/07 20:43:28.983, 70.54 W, 0 %, 17 MiB
2025/10/07 20:43:29.233, 130.51 W, 0 %, 74759 MiB
2025/10/07 20:43:29.233, 127.28 W, 0 %, 74649 MiB
2025/10/07 20:43:29.233, 123.62 W, 0 %, 74649 MiB
2025/10/07 20:43:29.233, 124.79 W, 0 %, 74649 MiB
2025/10/07 20:43:29.233, 72.14 W, 0 %, 17 MiB
2025/10/07 20:43:29.233, 71.29 W, 0 %, 17 MiB
2025/10/07 20:43:29.233, 71.17 W, 0 %, 17 MiB
2025/10/07 20:43:29.233, 70.43 W, 0 %, 17 MiB
2025/10/07 20:43:29.483, 130.32 W, 2 %, 74759 MiB
2025/10/07 20:43:29.483, 127.18 W, 0 %, 74649 MiB
2025/10/07 20:43:29.483, 123.50 W, 0 %, 74649 MiB
2025/10/07 20:43:29.484, 124.03 W, 0 %, 74649 MiB
2025/10/07 20:43:29.484, 72.18 W, 0 %, 17 MiB
2025/10/07 20:43:29.484, 71.29 W, 0 %, 17 MiB
2025/10/07 20:43:29.484, 71.14 W, 0 %, 17 MiB
2025/10/07 20:43:29.484, 70.36 W, 0 %, 17 MiB
2025/10/07 20:43:29.734, 130.22 W, 0 %, 74759 MiB
2025/10/07 20:43:29.734, 127.03 W, 0 %, 74649 MiB
2025/10/07 20:43:29.734, 123.37 W, 0 %, 74649 MiB
2025/10/07 20:43:29.734, 123.58 W, 0 %, 74649 MiB
2025/10/07 20:43:29.734, 72.17 W, 0 %, 17 MiB
2025/10/07 20:43:29.734, 71.31 W, 0 %, 17 MiB
2025/10/07 20:43:29.734, 71.08 W, 0 %, 17 MiB
2025/10/07 20:43:29.734, 70.26 W, 0 %, 17 MiB
2025/10/07 20:43:29.984, 130.07 W, 0 %, 74759 MiB
2025/10/07 20:43:29.984, 126.94 W, 0 %, 74649 MiB
2025/10/07 20:43:29.984, 123.33 W, 0 %, 74649 MiB
2025/10/07 20:43:29.984, 123.18 W, 0 %, 74649 MiB
2025/10/07 20:43:29.984, 72.16 W, 0 %, 17 MiB
2025/10/07 20:43:29.984, 71.32 W, 0 %, 17 MiB
2025/10/07 20:43:29.984, 71.07 W, 0 %, 17 MiB
2025/10/07 20:43:29.984, 70.16 W, 0 %, 17 MiB
2025/10/07 20:43:30.234, 129.95 W, 0 %, 74759 MiB
2025/10/07 20:43:30.234, 126.84 W, 0 %, 74649 MiB
2025/10/07 20:43:30.235, 123.23 W, 0 %, 74649 MiB
2025/10/07 20:43:30.235, 122.96 W, 0 %, 74649 MiB
2025/10/07 20:43:30.235, 72.16 W, 0 %, 17 MiB
2025/10/07 20:43:30.235, 71.33 W, 0 %, 17 MiB
2025/10/07 20:43:30.235, 71.17 W, 0 %, 17 MiB
2025/10/07 20:43:30.235, 70.06 W, 0 %, 17 MiB
2025/10/07 20:43:30.485, 129.80 W, 0 %, 74759 MiB
2025/10/07 20:43:30.485, 126.76 W, 0 %, 74649 MiB
2025/10/07 20:43:30.485, 123.17 W, 0 %, 74649 MiB
2025/10/07 20:43:30.485, 123.18 W, 0 %, 74649 MiB
2025/10/07 20:43:30.485, 72.13 W, 0 %, 17 MiB
2025/10/07 20:43:30.485, 71.33 W, 0 %, 17 MiB
2025/10/07 20:43:30.485, 71.19 W, 0 %, 17 MiB
2025/10/07 20:43:30.485, 70.00 W, 0 %, 17 MiB
2025/10/07 20:43:30.735, 129.71 W, 0 %, 74759 MiB
2025/10/07 20:43:30.735, 126.69 W, 0 %, 74649 MiB
2025/10/07 20:43:30.735, 123.07 W, 0 %, 74649 MiB
2025/10/07 20:43:30.735, 123.25 W, 0 %, 74649 MiB
2025/10/07 20:43:30.735, 72.19 W, 0 %, 17 MiB
2025/10/07 20:43:30.735, 71.35 W, 0 %, 17 MiB
2025/10/07 20:43:30.735, 71.13 W, 0 %, 17 MiB
2025/10/07 20:43:30.735, 69.95 W, 0 %, 17 MiB
2025/10/07 20:43:30.985, 129.57 W, 0 %, 74759 MiB
2025/10/07 20:43:30.986, 126.61 W, 0 %, 74649 MiB
2025/10/07 20:43:30.986, 122.98 W, 0 %, 74649 MiB
2025/10/07 20:43:30.986, 123.10 W, 0 %, 74649 MiB
2025/10/07 20:43:30.986, 72.15 W, 0 %, 17 MiB
2025/10/07 20:43:30.986, 71.34 W, 0 %, 17 MiB
2025/10/07 20:43:30.986, 71.11 W, 0 %, 17 MiB
2025/10/07 20:43:30.986, 69.97 W, 0 %, 17 MiB
2025/10/07 20:43:31.236, 129.52 W, 0 %, 74759 MiB
2025/10/07 20:43:31.236, 126.50 W, 0 %, 74649 MiB
2025/10/07 20:43:31.236, 122.92 W, 0 %, 74649 MiB
2025/10/07 20:43:31.236, 123.02 W, 0 %, 74649 MiB
2025/10/07 20:43:31.236, 72.17 W, 0 %, 17 MiB
