timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/07 23:50:43.972, 119.83 W, 0 %, 74779 MiB
2025/10/07 23:50:43.976, 118.68 W, 0 %, 74597 MiB
2025/10/07 23:50:43.979, 118.00 W, 0 %, 74597 MiB
2025/10/07 23:50:43.982, 118.18 W, 0 %, 74597 MiB
2025/10/07 23:50:43.985, 120.73 W, 0 %, 74597 MiB
2025/10/07 23:50:43.988, 123.15 W, 0 %, 74597 MiB
2025/10/07 23:50:43.991, 119.15 W, 0 %, 74597 MiB
2025/10/07 23:50:43.994, 120.93 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 119.85 W, 0 %, 74779 MiB
2025/10/07 23:50:44.248, 118.69 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 118.02 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 118.20 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 120.75 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 123.15 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 119.26 W, 0 %, 74597 MiB
2025/10/07 23:50:44.248, 120.94 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 119.84 W, 0 %, 74779 MiB
2025/10/07 23:50:44.498, 118.68 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 118.02 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 118.21 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 120.77 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 123.14 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 119.23 W, 0 %, 74597 MiB
2025/10/07 23:50:44.498, 120.92 W, 0 %, 74597 MiB
2025/10/07 23:50:44.748, 119.84 W, 0 %, 74779 MiB
2025/10/07 23:50:44.749, 118.72 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 118.01 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 118.23 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 120.74 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 123.20 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 119.20 W, 0 %, 74597 MiB
2025/10/07 23:50:44.749, 120.92 W, 0 %, 74597 MiB
