timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/07 23:16:53.159, 118.84 W, 0 %, 74767 MiB
2025/10/07 23:16:53.164, 117.87 W, 0 %, 74595 MiB
2025/10/07 23:16:53.167, 117.66 W, 0 %, 74595 MiB
2025/10/07 23:16:53.170, 117.84 W, 0 %, 74595 MiB
2025/10/07 23:16:53.173, 120.03 W, 0 %, 74595 MiB
2025/10/07 23:16:53.176, 122.43 W, 0 %, 74595 MiB
2025/10/07 23:16:53.179, 119.26 W, 0 %, 74595 MiB
2025/10/07 23:16:53.183, 120.50 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 118.78 W, 0 %, 74767 MiB
2025/10/07 23:16:53.436, 117.89 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 117.63 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 120.05 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 122.41 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 119.38 W, 0 %, 74595 MiB
2025/10/07 23:16:53.436, 120.50 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 118.76 W, 0 %, 74767 MiB
2025/10/07 23:16:53.686, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 117.62 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 117.84 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 120.05 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 122.42 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 119.36 W, 0 %, 74595 MiB
2025/10/07 23:16:53.686, 120.49 W, 0 %, 74595 MiB
2025/10/07 23:16:53.936, 118.74 W, 0 %, 74767 MiB
2025/10/07 23:16:53.937, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 117.64 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 117.87 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 120.04 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 122.42 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 119.25 W, 0 %, 74595 MiB
2025/10/07 23:16:53.937, 120.52 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 118.75 W, 0 %, 74767 MiB
2025/10/07 23:16:54.187, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 117.65 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 117.88 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 120.02 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 122.43 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 119.26 W, 0 %, 74595 MiB
2025/10/07 23:16:54.187, 120.54 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 118.78 W, 0 %, 74767 MiB
2025/10/07 23:16:54.437, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 117.64 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 117.86 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 120.06 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 122.46 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 119.22 W, 0 %, 74595 MiB
2025/10/07 23:16:54.437, 120.54 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 118.80 W, 0 %, 74776 MiB
2025/10/07 23:16:54.688, 117.85 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 117.64 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 117.86 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 120.00 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 122.45 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 119.11 W, 0 %, 74595 MiB
2025/10/07 23:16:54.688, 120.56 W, 0 %, 74595 MiB
2025/10/07 23:16:54.938, 118.80 W, 0 %, 74776 MiB
2025/10/07 23:16:54.938, 117.86 W, 0 %, 74595 MiB
2025/10/07 23:16:54.938, 117.66 W, 0 %, 74595 MiB
