Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Throughput,Decode Throughput
1745594039.2018855,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,20,212,2.6203160285949707,1.0,7.70578232383837,277.0,253.0,19698.45574207459,98.43122454164215
1745594041.2615626,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,177,139,1.739367961883545,0.0,7.705313799566672,217.0,182.0,5873.185579129198,42.72442755879271
1745594043.541288,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,20,197,2.487663507461548,2.0,7.704843359271415,444.0,414.0,32216.81745398207,168.8351707823685
1745594044.0121322,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,46,459,5.895257949829102,2.0,7.704160697868337,589.0,1541.0,9942.13928168923,129.24790820577385
1745594045.219718,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,258,487,6.372002363204956,4.0,7.704703706738974,1827.0,1751.0,20876.98917845313,96.03684902403563
1745594046.3184574,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,41,1081,14.050060033798218,3.0,7.702526614498972,1730.0,3493.0,9274.340585865672,93.33231352344389
1745594046.6581793,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,13,224,2.913707971572876,4.0,7.70422933724086,124.0,938.0,8852.90421267617,327.05653782874697
1745594049.113145,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,31,59,0.8032517433166504,2.0,7.704156632559611,71.0,279.0,1561.772696343757,29.45919320252874
1745594050.3095787,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,632,541,7.097674608230591,2.0,7.703204020787844,1324.0,1699.0,10557.488667314037,121.82769592801331
1745594051.0515306,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,528,48,0.6941070556640625,3.0,7.70467202606489,652.0,225.0,8779.335113520834,32.48254109830883
1745594058.5026014,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,18,345,4.471008777618408,2.0,7.701846757118429,201.0,1051.0,6684.3819441871565,56.99680503715619
1745594060.1734054,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,103,769,9.97242546081543,3.0,7.700319144922264,614.0,2316.0,8649.320311086225,77.41635943243791
1745594066.4815426,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,19,619,8.241451263427734,5.0,7.700447605145217,1939.0,2448.0,24420.49006029178,113.63984385657426
1745594067.37791,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,172,119,1.609281063079834,4.0,7.700553608780281,412.0,542.0,18233.743312312494,348.25943880868704
1745594068.1971061,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,0.5,1,160,682,9.13147234916687,4.0,7.700126741088806,1760.0,2946.0,13314.394011935508,88.26672212007743
1745594070.3671625,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,205,143,1.9193124771118164,3.0,7.700053315186714,245.0,578.0,10225.006484171608,309.0948036854575
1745594072.993536,meta-llama/Llama-3.1-8B-Instruct,ARB,0.5,1,328,204,2.814159393310547,4.0,7.700291933608234,1223.0,960.0,27339.89973852489,87.68915207087898
1745594073.9946942,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,736,428,5.773144245147705,2.0,7.699545969761202,948.0,1825.0,6791.393084708861,62.60143224310511
1745594074.6137433,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,40,258,3.4786672592163086,3.0,7.699974026620935,172.0,1229.0,2017.3302748018368,52.37136746048018
1745594083.8777995,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,300,410,5.509899616241455,3.0,7.6976289040303865,751.0,1538.0,15188.9755309109,202.8519778355523
1745594086.2146611,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,36,158,2.178387403488159,4.0,7.697826136431524,411.0,712.0,22112.891644223153,334.9218108768404
1745594087.3799675,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,0.5,1,295,516,6.924307823181152,3.0,7.696462812643751,391.0,1815.0,4837.8783653545115,125.60262433306413
1745594093.7142334,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,16,77,1.0526387691497803,2.0,7.6963459476676235,56.0,279.0,1144.8139100999342,35.40056845512152
1745594096.0447092,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.5,1,17,417,5.847912311553955,5.0,7.696465121700221,1578.0,2369.0,15431.144412379648,167.26667200088508
1745594096.2992525,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,44,349,4.900396347045898,7.0,7.696516879007601,1521.0,2003.0,77055.1067922037,412.27337644126607
1745594097.7704785,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,819,251,3.5967280864715576,6.0,7.6965109386749075,1437.0,1649.0,16732.7203487931,197.12631248484152
1745594098.1567938,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,98,348,4.891543388366699,5.0,7.696346084420402,631.0,2180.0,5107.973616718021,114.72140269973558
1745594099.8317835,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,333,463,6.425946235656738,4.0,7.695834040911394,575.0,2468.0,3256.9916021244535,86.78717672403226
1745594100.3942304,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,27,222,3.119004011154175,4.0,7.696280935941477,120.0,1361.0,836.1366904951204,61.67003425998941
1745594102.9257708,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.5,1,13,1432,19.88740634918213,5.0,7.694038083906134,874.0,6954.0,5025.847172727387,141.04242728135083
1745594105.7862847,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,42,222,3.088115930557251,4.0,7.695594473608119,296.0,1079.0,5675.808771010454,114.65443610287724
1745594106.7557864,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,174,1936,27.469740629196167,6.0,7.6941437165007045,1468.0,11201.0,5888.646520521401,130.08888974490256
1745594111.8441076,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,60,287,4.083723068237305,6.0,7.694896813464566,241.0,1810.0,10962.417966819103,448.33775601400464
1745594112.1724887,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,37,408,5.770910263061523,4.0,7.694668820678514,141.0,2484.0,2276.6159046810717,204.39314560056815
1745594114.438868,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,24,170,2.432600736618042,5.0,7.694816169891233,64.0,1135.0,1567.3607700101588,176.64406297717903
1745594121.124436,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,44,482,6.934452295303345,7.0,7.693840049966641,774.0,2640.0,11605.308842594859,84.32266318194975
1745594122.7626657,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,160,323,4.645437955856323,7.0,7.693701309394022,476.0,1743.0,10308.133496299122,71.34889361739725
1745594125.7082183,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,48,1030,15.039050817489624,5.0,7.6936520614096064,1105.0,6851.0,5080.188522867207,87.63426075690899
1745594127.3389616,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,74,246,3.685180902481079,9.0,7.694102786096485,641.0,2017.0,8968.031541119437,133.46874854204336
1745594127.8424337,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,174,346,5.169616460800171,7.0,7.694185091046879,453.0,2927.0,4751.978057688086,153.54848144545858
1745594128.66174,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,40,231,3.4808053970336914,8.0,7.694172287408238,239.0,2051.0,5201.762321212561,290.1808695141372
1745594129.4522603,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,42,385,5.691153049468994,5.0,7.6940667876618924,159.0,3073.0,1279.0983717486786,67.91986930238555
1745594130.82609,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,37,447,6.52586817741394,5.0,7.6940235929102085,391.0,3057.0,2657.6179508625173,59.104668896009606
1745594136.7195964,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,274,326,4.7383949756622314,4.0,7.6935565324833215,376.0,1735.0,4663.030445240997,66.4033866028671
1745594139.9861517,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,22,197,2.826993465423584,3.0,7.693302429361421,62.0,948.0,775.7630212736051,42.26893725587516
1745594146.110194,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,69,81,1.2023918628692627,4.0,7.692540543453521,315.0,352.0,12865.356203246169,306.64765936774705
1745594146.9569857,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,166,223,3.259861469268799,5.0,7.692287513674432,424.0,1097.0,7901.25930307063,252.46919243008406
1745594148.5220957,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,38,387,5.731627941131592,4.0,7.692420779839405,943.0,2202.0,6894.243423612062,144.11846445121176
1745594149.3393092,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,100,129,1.9339025020599365,5.0,7.692373187763638,382.0,782.0,6982.130278964662,154.01971345873287
1745594150.2070167,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,202,189,2.8323235511779785,6.0,7.692569270324931,725.0,1139.0,12920.48861156921,244.869875073625
1745594151.427637,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,167,120,1.815962314605713,5.0,7.69255247280927,483.0,743.0,8018.067908674241,164.2084587465575
1745594152.882271,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,236,129,1.9109904766082764,3.0,7.692321323513776,276.0,649.0,2440.3696987340004,53.818642008375754
1745594155.0458708,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,47,188,2.7678821086883545,3.0,7.6919379049438765,161.0,847.0,3446.609545090586,214.06936347218266
1745594155.4464407,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,34,86,1.2946715354919434,4.0,7.692134156151682,74.0,438.0,3329.040670960776,351.56001953520706
1745594163.304494,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,79,138,2.036112070083618,4.0,7.690436769980751,173.0,582.0,6606.459040379756,293.15386535663646
1745594164.9481049,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,14,298,4.37551212310791,4.0,7.68981119780138,135.0,1275.0,2842.942465626225,202.15798781164435
1745594168.5964756,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,41,129,1.9334490299224854,3.0,7.68959689831338,81.0,571.0,1807.9176751601228,91.99396432071451
1745594170.735632,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,47,65,0.9832844734191895,3.0,7.689435521453188,87.0,266.0,3365.480897507203,285.28318084404947
1745594173.233873,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,249,120,1.8822994232177734,6.0,7.689626847492962,1112.0,584.0,29021.99428372273,321.4741265646161
1745594174.2659307,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,479,281,4.329848051071167,4.0,7.689548531804414,1366.0,1425.0,9630.45178771962,184.2964128240704
1745594174.6361122,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.5,1,13,29,0.4948558807373047,5.0,7.689625651030141,304.0,203.0,4849.159554098775,89.93879023765703
1745594174.7882924,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,211,82,1.271562099456787,4.0,7.6895075719757235,251.0,461.0,2630.7338191281915,132.70553856857043
1745594176.5518909,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,503,188,2.8821749687194824,3.0,7.689399640771386,543.0,895.0,5321.346512270292,126.94857133356795
1745594180.1461744,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,38,256,3.825486898422241,3.0,7.688695385046614,148.0,1066.0,2902.4170332959607,247.6968403069831
1745594181.920846,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,30,36,0.573026180267334,4.0,7.688956498902439,70.0,188.0,2872.8188338955383,358.04592596319515
1745594185.0112276,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,26,189,2.8568639755249023,3.0,7.688006488143639,66.0,765.0,2703.9087202417736,273.3948565727588
1745594188.0221698,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,20,103,1.5973219871520996,4.0,7.687821001815797,118.0,474.0,4649.922139232415,306.002497542661
1745594188.7236397,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,18,696,10.945780277252197,5.0,7.6884298561176525,1673.0,4454.0,9575.922076627532,158.8908478743894
1745594190.1838477,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,92,302,4.785470008850098,7.0,7.688145562491864,1018.0,1922.0,35397.0977095454,407.0289164542894
1745594192.1196587,meta-llama/Llama-3.1-8B-Instruct,theoremqa,0.5,1,428,619,9.831098318099976,5.0,7.688528995946784,1907.0,4217.0,9667.716967997834,116.36437365583447
1745594192.895714,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,54,376,6.0152318477630615,6.0,7.688488376616717,1015.0,2800.0,8045.6209378379535,179.6352875610392
1745594193.38085,meta-llama/Llama-3.1-8B-Instruct,ARB,0.5,1,285,228,3.6136133670806885,6.0,7.688081792438882,324.0,1707.0,4678.6361770340645,206.37010505043503
1745594197.3271043,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,45,84,1.4132256507873535,7.0,7.688493733616084,597.0,682.0,21144.281782377082,500.4321227703317
1745594197.3570654,meta-llama/Llama-3.1-8B-Instruct,theoremqa,0.5,1,472,1286,20.75240969657898,6.0,7.689828105542434,3588.0,8824.0,7124.674401366908,104.36018378850214
1745594200.2464247,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,384,502,8.16338062286377,7.0,7.689432135950818,1907.0,3485.0,10094.07278870335,132.28353263533091
1745594203.3071902,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,226,241,3.9744179248809814,8.0,7.688917737714678,795.0,1857.0,12382.517940806056,324.14948944325
1745594203.6215775,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,41,114,1.8687083721160889,8.0,7.68880254002376,428.0,851.0,16413.292841941282,467.8227620418016
1745594204.8431482,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,34,166,2.8316709995269775,8.0,7.689422254275997,1136.0,1394.0,12231.349999223614,164.03697565173175
1745594205.365908,meta-llama/Llama-3.1-8B-Instruct,ARB,0.5,1,234,302,4.963891506195068,6.0,7.689372670926016,1062.0,2362.0,6017.272666581094,109.89617449794217
1745594206.7811549,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,61,232,3.800302267074585,5.0,7.689353561361723,789.0,1765.0,4373.806527199651,75.37495370208924
1745594207.2907474,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,648,423,6.907666921615601,7.0,7.68985519129932,1628.0,2966.0,7884.447399052359,112.66169397218081
1745594211.7701194,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,66,14611,307.96971130371094,18.0,7.748371423253627,26633.0,170282.0,3964.2900733695537,133.56994853712231
1745594212.1681678,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,45,226,3.7230451107025146,6.0,7.689803018233659,834.0,1696.0,8928.89882500207,161.75398546044184
1745594212.447232,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,709,562,9.146785020828247,6.0,7.689881101279437,1244.0,3909.0,4700.399696814948,94.05604302936855
1745594216.2862968,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,42,393,6.373106479644775,5.0,7.689801098203037,495.0,2582.0,2464.35621102963,69.06624464319157
1745594217.0515752,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,22,13,0.25809597969055176,7.0,7.689852483023391,62.0,118.0,2293.2468728040767,596.2332609899076
1745594219.707544,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,52,73,1.2251384258270264,6.0,7.689734537288162,92.0,523.0,2995.8089931138306,451.2932551578847
1745594221.286752,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,219,241,3.8850910663604736,4.0,7.689500833345697,259.0,1316.0,1974.982296501026,68.61372490781682
1745594227.0030446,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,0.5,1,153,572,9.238074541091919,5.0,7.688481721608592,281.0,3125.0,7904.616649558353,340.8609492584646
1745594232.069009,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,48,333,5.418705463409424,4.0,7.688337439545471,88.0,1932.0,1332.7728216146984,132.95949837922504
1745594238.4731588,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,28,108,1.7919788360595703,4.0,7.68801378785429,68.0,548.0,2576.33168806432,315.0588680233071
1745594244.2838855,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,70,415,7.255610466003418,11.0,7.688658133549378,1445.0,3607.0,14362.805134178789,293.20243868674316
1745594245.926296,meta-llama/Llama-3.1-8B-Instruct,scibench,0.5,1,63,763,13.220689058303833,6.0,7.6892191252374005,1976.0,6705.0,6289.606317212078,132.15812932505492
1745594246.7310312,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,204,228,4.078693866729736,11.0,7.688431270285663,1061.0,2370.0,15674.560781842345,463.35853096076033
1745594246.9646015,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,33,517,9.110328435897827,7.0,7.689309092038037,1629.0,5035.0,5792.66084730646,133.99044078163894
1745594247.153557,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,20,63,1.1622843742370605,10.0,7.687936324425275,499.0,655.0,16998.550592801483,592.574642929682
1745594247.346464,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.5,1,30,340,6.023830413818359,8.0,7.688843726073411,855.0,3642.0,4191.8574624806815,165.85595556067264
1745594247.9197586,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,329,378,6.64653754234314,7.0,7.688859095447602,785.0,3884.0,3145.7220306457225,136.13082129508498
1745594249.0141497,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,108,651,11.284722566604614,8.0,7.689453481867032,1427.0,5659.0,4474.678877341222,93.01382244478765
1745594250.2170253,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,57,153,2.7727835178375244,9.0,7.688823370426223,268.0,1708.0,1878.1835122058355,114.64887678894722
1745594251.1455455,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,131,58,1.0713245868682861,10.0,7.688751606353858,171.0,678.0,2416.9511212587227,82.84097710896013
1745594255.0351567,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,601,533,9.253039598464966,7.0,7.689803685897436,1334.0,4138.0,5049.215907462521,87.62125203308766
1745594259.7732296,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,26,79,1.4376518726348877,7.0,7.689465092687827,289.0,663.0,4369.106930397965,52.71219029353396
1745594260.0741467,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,183,119,2.1439690589904785,8.0,7.6896918052214644,494.0,1011.0,4693.264613457415,68.9907173980266
1745594261.1843867,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.5,1,149,222,3.907557964324951,6.0,7.689780332012956,323.0,1847.0,1585.0390452093272,104.61983507120986
1745594261.597637,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,42,251,4.367979049682617,5.0,7.689718357939045,134.0,1975.0,654.8150902049257,95.90760003350397
1745594262.8825696,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.5,1,12,70,1.2668218612670898,8.0,7.689801935502074,52.0,646.0,1669.230968963995,535.5583000648986
1745594267.291839,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.5,1,16,486,8.644676923751831,8.0,7.690667268285632,1119.0,4192.0,8229.59744373052,218.32065498652202
1745594269.6514094,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.5,1,389,408,7.327473163604736,6.0,7.690664843086315,1063.0,3824.0,4623.598742248238,131.3844114417045
1745594269.720478,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.5,1,11,133,2.4184775352478027,9.0,7.690108180755361,777.0,1209.0,24623.733038477378,513.4901498876787
1745594270.848407,meta-llama/Llama-3.1-8B-Instruct,reclor,0.5,1,190,281,5.070063591003418,9.0,7.690666345176305,583.0,2835.0,5567.7664413476205,266.8903450135371
