Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741937329.4120882,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,206,141,3.272916793823242
1741937329.10379,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,38,168,3.8711719512939453
1741937328.4746604,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,64,217,4.976834058761597
1741937330.5953584,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,22,165,3.8207058906555176
1741937333.4943235,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,135,89,2.102419853210449
1741937332.196088,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,18,152,3.5406551361083984
1741937333.9573078,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,221,79,1.8727152347564697
1741937334.7178714,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,189,94,2.22414231300354
1741937329.3911827,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,50,397,9.174695491790771
1741937338.0058944,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,157,68,1.634995460510254
1741937335.4645684,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,157,184,4.315855979919434
1741937336.1992054,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,192,184,4.324731349945068
1741937338.2944634,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,171,110,2.600202798843384
1741937335.4568648,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,56,273,6.388951301574707
1741937335.5437026,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,154,279,6.549342632293701
1741937340.0575972,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,14,93,2.2221314907073975
1741937338.5759234,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,24,187,4.40861177444458
