Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Throughput,Decode Throughput
1745588334.552365,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,9,122,1.6348490715026855,7.0,8.1877614152265,704.0,691.0,51119.10539441419,434.4671660686903
1745588334.4115222,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,223,144,1.9298205375671387,6.0,8.187748424348207,967.0,793.0,23911.90862211564,228.70711468934334
1745588336.3506117,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,619,53,0.8086025714874268,10.0,8.189077678972604,1443.0,474.0,30620.582441555358,653.7401207435453
1745588336.380152,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,301,109,1.630772590637207,15.0,8.190649042448678,2872.0,1218.0,37385.44524187341,534.4965600409673
1745588336.9250062,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,222,121,1.8454365730285645,19.0,8.191412230436114,2240.0,1802.0,22393.07359917056,441.75055758783327
1745588334.9864366,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,31,284,4.092875003814697,18.0,8.191609225150088,3676.0,3147.0,23535.53525139577,271.32999632827494
1745588337.275092,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,116,131,2.0530707836151123,19.0,8.192174330645374,2185.0,2201.0,24191.259354156176,233.96626357507625
1745588334.3266678,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,56,351,5.048658847808838,18.0,8.192203877284333,4768.0,3627.0,24410.642586982816,195.01219975357913
1745588336.0884998,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,233,249,3.7763614654541016,17.0,8.19248987149603,3978.0,3543.0,18239.21063055663,158.74529276248688
1745588337.1397548,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,37,219,3.4066922664642334,18.0,8.19329421809464,2710.0,3730.0,13940.217065060548,167.90756029425586
1745588337.757721,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,147,181,2.8350777626037598,17.0,8.193321025947565,1675.0,3274.0,9848.375643201001,134.8637370165546
