Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Time,Decode Time,Prefill Throughput,Decode Throughput
2025-04-27T08:48:38.995937,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,44,247,1.6355392932891846,3.0,4.557768924302789,244.0,900.0,0.007493789998989087,1.6057805730015389,32560.293260541814,560.4750830418332
2025-04-27T08:48:39.123015,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,28,232,1.5269854068756104,2.0,4.404255319148936,160.0,875.0,0.0141651029989589,3.1090242540012696,11295.364390344326,281.4387822397614
2025-04-27T08:48:39.487250,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,52,319,2.0957179069519043,3.0,4.5,289.0,1160.0,0.020454181998502463,5.182889244999387,14129.139949041175,223.81338770053867
2025-04-27T08:48:38.786223,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,59,431,2.816246509552002,2.0,4.4988399071925755,540.0,1399.0,0.029109882001648657,7.96714381199854,18550.401543002365,175.59617762806067
2025-04-27T08:48:41.264544,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,65,148,0.9869232177734375,2.0,5.092105263157895,292.0,482.0,0.022490125003969297,5.820557637998718,12983.476078877495,82.8099350573094
2025-04-27T08:48:40.793676,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,52,224,1.4836397171020508,1.0,4.775330396475771,384.0,700.0,0.02945409500534879,7.281539142997644,13037.236415862262,96.13352153344682
2025-04-27T08:48:41.719337,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,147,105,0.6983497142791748,1.0,5.25,278.0,289.0,0.022400948997528758,3.0999976710008923,12410.188516150301,93.2258764912849
2025-04-27T08:48:42.296298,meta-llama/Llama-3.1-8B-Instruct,scienceqa,4.0,8,51,47,0.3119626045227051,3.0,10.568627450980392,447.0,92.0,0.014679703992442228,0.9640115390066057,30450.20527867154,95.43454230309746
2025-04-27T08:48:42.898431,meta-llama/Llama-3.1-8B-Instruct,scienceqa,4.0,8,52,96,0.6711254119873047,10.0,17.94,1035.0,759.0,0.006771730004402343,0.6460981559939682,152841.29747156784,1174.7441049918207
2025-04-27T08:48:42.561711,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,155,177,1.213712453842163,9.0,15.099447513812155,1511.0,1222.0,0.021639844999299385,2.120185053005116,69824.89939502433,576.3647839456074
2025-04-27T08:48:42.990449,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,26,149,1.0379445552825928,9.0,15.34640522875817,1025.0,1323.0,0.02173848000529688,2.844073832995491,47151.410758721155,465.1777969514118
2025-04-27T08:48:43.361784,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,330,148,1.0366237163543701,9.0,16.483443708609272,1067.0,1422.0,0.032927853004366625,3.853905940995901,32404.17769899857,368.9763117655477
2025-04-27T08:48:42.795569,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,55,235,1.6163949966430664,8.0,14.563025210084033,1494.0,1972.0,0.04010643300716765,5.448697780993825,37250.88191545228,361.92133960498603
2025-04-27T08:48:43.297998,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,28,203,1.4140384197235107,8.0,15.207729468599034,1243.0,1905.0,0.04703783101285808,6.837065684987465,26425.53819414459,278.6283016386572
2025-04-27T08:48:42.587625,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,40,324,2.2116169929504395,7.0,13.574923547400612,1877.0,2562.0,0.060493918012070935,9.315194664988667,31027.912584955466,275.0345099742601
2025-04-27T08:48:43.493619,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,180,189,1.313723087310791,6.0,13.398963730569948,805.0,1781.0,0.06376121201174101,10.31266814598348,12625.230521837744,172.70021441479759
