timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/17 05:06:57.115, 86.57 W, 0 %, 76447 MiB
2025/10/17 05:06:57.121, 83.40 W, 0 %, 76447 MiB
2025/10/17 05:06:57.126, 57.40 W, 0 %, 4 MiB
2025/10/17 05:06:57.136, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:57.145, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:57.153, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:57.162, 57.02 W, 0 %, 4 MiB
2025/10/17 05:06:57.170, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 85.63 W, 0 %, 76447 MiB
2025/10/17 05:06:57.429, 83.06 W, 0 %, 76447 MiB
2025/10/17 05:06:57.429, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 56.96 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 57.02 W, 0 %, 4 MiB
2025/10/17 05:06:57.429, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 84.41 W, 0 %, 76447 MiB
2025/10/17 05:06:57.679, 82.79 W, 0 %, 76447 MiB
2025/10/17 05:06:57.679, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 57.30 W, 0 %, 4 MiB
2025/10/17 05:06:57.679, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:57.929, 84.08 W, 0 %, 76447 MiB
2025/10/17 05:06:57.929, 84.33 W, 0 %, 76447 MiB
2025/10/17 05:06:57.929, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:57.929, 56.96 W, 0 %, 4 MiB
2025/10/17 05:06:57.929, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:57.930, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:57.930, 57.02 W, 0 %, 4 MiB
2025/10/17 05:06:57.930, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 83.81 W, 0 %, 76447 MiB
2025/10/17 05:06:58.180, 82.46 W, 0 %, 76447 MiB
2025/10/17 05:06:58.180, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 58.06 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 57.30 W, 0 %, 4 MiB
2025/10/17 05:06:58.180, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 83.81 W, 0 %, 76447 MiB
2025/10/17 05:06:58.430, 82.18 W, 0 %, 76447 MiB
2025/10/17 05:06:58.430, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 57.02 W, 0 %, 4 MiB
2025/10/17 05:06:58.430, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 69.03 W, 0 %, 76447 MiB
2025/10/17 05:06:58.681, 67.15 W, 0 %, 76447 MiB
2025/10/17 05:06:58.681, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 57.30 W, 0 %, 4 MiB
2025/10/17 05:06:58.681, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 68.15 W, 0 %, 76447 MiB
2025/10/17 05:06:58.931, 67.15 W, 0 %, 76447 MiB
2025/10/17 05:06:58.931, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 57.30 W, 0 %, 4 MiB
2025/10/17 05:06:58.931, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:59.181, 67.82 W, 0 %, 76447 MiB
2025/10/17 05:06:59.181, 66.82 W, 0 %, 76447 MiB
2025/10/17 05:06:59.181, 57.06 W, 0 %, 4 MiB
2025/10/17 05:06:59.181, 57.24 W, 0 %, 4 MiB
2025/10/17 05:06:59.182, 57.73 W, 0 %, 4 MiB
2025/10/17 05:06:59.182, 60.13 W, 0 %, 4 MiB
2025/10/17 05:06:59.182, 57.30 W, 0 %, 4 MiB
2025/10/17 05:06:59.182, 59.49 W, 0 %, 4 MiB
2025/10/17 05:06:59.432, 67.82 W, 0 %, 76447 MiB
