timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/17 04:23:26.851, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:26.858, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:26.864, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:26.872, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:26.882, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:26.890, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:26.898, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:26.907, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:27.165, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:27.165, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:27.165, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:27.165, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:27.165, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:27.166, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:27.166, 57.30 W, 0 %, 4 MiB
2025/10/17 04:23:27.166, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:27.416, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:27.416, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 59.85 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:27.416, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:27.666, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:27.666, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:27.666, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:27.917, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:27.917, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:27.917, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:28.167, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:28.167, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:28.167, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:28.418, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:28.418, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:28.418, 59.42 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:28.668, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:28.668, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:28.668, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:28.918, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:28.918, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:28.918, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:28.919, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:28.919, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:28.919, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:28.919, 57.30 W, 0 %, 4 MiB
2025/10/17 04:23:28.919, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:29.169, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:29.169, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 59.85 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:29.169, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:29.419, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:29.419, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 59.79 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:29.419, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:29.670, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:29.670, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 56.91 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:29.670, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:29.920, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:29.920, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:29.920, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:30.170, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:30.171, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:30.171, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:30.171, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:30.171, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:30.171, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:30.171, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:30.171, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:30.421, 64.67 W, 0 %, 76447 MiB
2025/10/17 04:23:30.421, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 59.85 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:30.421, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:30.671, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:30.671, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:30.671, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:30.671, 56.96 W, 0 %, 4 MiB
2025/10/17 04:23:30.671, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:30.672, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:30.672, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:30.672, 59.49 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 63.78 W, 0 %, 76447 MiB
2025/10/17 04:23:30.922, 64.60 W, 0 %, 76447 MiB
2025/10/17 04:23:30.922, 57.06 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 56.91 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 57.73 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 60.13 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 57.02 W, 0 %, 4 MiB
2025/10/17 04:23:30.922, 59.42 W, 0 %, 4 MiB
