timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/17 04:39:50.666, 81.57 W, 0 %, 76447 MiB
2025/10/17 04:39:50.673, 81.24 W, 0 %, 76447 MiB
2025/10/17 04:39:50.678, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:50.686, 57.24 W, 0 %, 4 MiB
2025/10/17 04:39:50.694, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:50.702, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:50.713, 57.30 W, 0 %, 4 MiB
2025/10/17 04:39:50.721, 59.49 W, 0 %, 4 MiB
2025/10/17 04:39:50.979, 80.97 W, 0 %, 76447 MiB
2025/10/17 04:39:50.979, 80.97 W, 0 %, 76447 MiB
2025/10/17 04:39:50.980, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:50.980, 57.24 W, 0 %, 4 MiB
2025/10/17 04:39:50.980, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:50.980, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:50.980, 57.30 W, 0 %, 4 MiB
2025/10/17 04:39:50.980, 59.49 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 80.72 W, 0 %, 76447 MiB
2025/10/17 04:39:51.230, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.230, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 56.96 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 57.30 W, 0 %, 4 MiB
2025/10/17 04:39:51.230, 59.49 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 80.72 W, 0 %, 76447 MiB
2025/10/17 04:39:51.480, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.480, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 57.24 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 57.30 W, 0 %, 4 MiB
2025/10/17 04:39:51.480, 59.76 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.731, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.731, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 56.96 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 57.30 W, 0 %, 4 MiB
2025/10/17 04:39:51.731, 59.49 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.981, 80.64 W, 0 %, 76447 MiB
2025/10/17 04:39:51.981, 57.06 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 57.24 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 57.73 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 60.13 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 57.02 W, 0 %, 4 MiB
2025/10/17 04:39:51.981, 59.49 W, 0 %, 4 MiB
2025/10/17 04:39:52.231, 66.00 W, 0 %, 76447 MiB
2025/10/17 04:39:52.232, 66.21 W, 0 %, 76447 MiB
2025/10/17 04:39:52.232, 57.06 W, 0 %, 4 MiB
