timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/16 22:38:11.981, 84.95 W, 0 %, 76017 MiB
2025/10/16 22:38:11.987, 82.10 W, 0 %, 76023 MiB
2025/10/16 22:38:11.992, 59.55 W, 0 %, 4 MiB
2025/10/16 22:38:12.001, 60.57 W, 0 %, 4 MiB
2025/10/16 22:38:12.008, 59.82 W, 0 %, 4 MiB
2025/10/16 22:38:12.018, 58.98 W, 0 %, 4 MiB
2025/10/16 22:38:12.026, 57.94 W, 0 %, 4 MiB
2025/10/16 22:38:12.034, 57.12 W, 0 %, 4 MiB
2025/10/16 22:38:12.292, 84.26 W, 0 %, 76017 MiB
2025/10/16 22:38:12.293, 82.10 W, 0 %, 76023 MiB
2025/10/16 22:38:12.293, 59.55 W, 0 %, 4 MiB
2025/10/16 22:38:12.293, 60.25 W, 0 %, 4 MiB
2025/10/16 22:38:12.293, 59.82 W, 0 %, 4 MiB
2025/10/16 22:38:12.293, 58.98 W, 0 %, 4 MiB
2025/10/16 22:38:12.293, 58.22 W, 0 %, 4 MiB
2025/10/16 22:38:12.293, 57.46 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 84.07 W, 0 %, 76017 MiB
2025/10/16 22:38:12.543, 82.10 W, 0 %, 76023 MiB
2025/10/16 22:38:12.543, 59.55 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 60.57 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 59.82 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 58.98 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 58.28 W, 0 %, 4 MiB
2025/10/16 22:38:12.543, 57.46 W, 0 %, 4 MiB
2025/10/16 22:38:12.793, 84.07 W, 0 %, 76017 MiB
2025/10/16 22:38:12.793, 82.10 W, 0 %, 76023 MiB
2025/10/16 22:38:12.794, 59.55 W, 0 %, 4 MiB
2025/10/16 22:38:12.794, 60.25 W, 0 %, 4 MiB
2025/10/16 22:38:12.794, 59.82 W, 0 %, 4 MiB
2025/10/16 22:38:12.794, 58.98 W, 0 %, 4 MiB
2025/10/16 22:38:12.794, 57.94 W, 0 %, 4 MiB
2025/10/16 22:38:12.794, 57.46 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 84.07 W, 0 %, 76017 MiB
2025/10/16 22:38:13.044, 67.08 W, 0 %, 76023 MiB
2025/10/16 22:38:13.044, 59.55 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 60.25 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 59.82 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 58.98 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 58.22 W, 0 %, 4 MiB
2025/10/16 22:38:13.044, 57.46 W, 0 %, 4 MiB
2025/10/16 22:38:13.294, 69.36 W, 0 %, 76017 MiB
2025/10/16 22:38:13.294, 67.40 W, 0 %, 76023 MiB
