timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/10/18 16:36:48.616, 72.31 W, 0 %, 76497 MiB
2025/10/18 16:36:48.626, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:48.634, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:48.641, 67.96 W, 0 %, 76497 MiB
2025/10/18 16:36:48.649, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:48.658, 62.66 W, 0 %, 4 MiB
2025/10/18 16:36:48.668, 62.37 W, 0 %, 4 MiB
2025/10/18 16:36:48.677, 62.32 W, 0 %, 4 MiB
2025/10/18 16:36:48.936, 71.97 W, 0 %, 76497 MiB
2025/10/18 16:36:48.936, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:48.937, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:48.937, 67.96 W, 0 %, 76497 MiB
2025/10/18 16:36:48.937, 63.11 W, 0 %, 4 MiB
2025/10/18 16:36:48.937, 62.99 W, 0 %, 4 MiB
2025/10/18 16:36:48.937, 62.64 W, 0 %, 4 MiB
2025/10/18 16:36:48.937, 62.32 W, 0 %, 4 MiB
2025/10/18 16:36:49.187, 71.97 W, 0 %, 76497 MiB
2025/10/18 16:36:49.187, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:49.187, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:49.187, 67.96 W, 0 %, 76497 MiB
2025/10/18 16:36:49.187, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:49.187, 62.66 W, 0 %, 4 MiB
2025/10/18 16:36:49.187, 62.64 W, 0 %, 4 MiB
2025/10/18 16:36:49.187, 62.32 W, 0 %, 4 MiB
2025/10/18 16:36:49.437, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:49.437, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:49.437, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:49.437, 68.03 W, 0 %, 76497 MiB
2025/10/18 16:36:49.437, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:49.437, 62.66 W, 0 %, 4 MiB
2025/10/18 16:36:49.438, 62.37 W, 0 %, 4 MiB
2025/10/18 16:36:49.438, 62.05 W, 0 %, 4 MiB
2025/10/18 16:36:49.688, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:49.688, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:49.688, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:49.688, 67.96 W, 0 %, 76497 MiB
2025/10/18 16:36:49.688, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:49.688, 62.99 W, 0 %, 4 MiB
2025/10/18 16:36:49.688, 62.37 W, 0 %, 4 MiB
2025/10/18 16:36:49.688, 62.05 W, 0 %, 4 MiB
2025/10/18 16:36:49.938, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:49.938, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:49.938, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:49.938, 67.96 W, 0 %, 76497 MiB
2025/10/18 16:36:49.938, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:49.938, 62.66 W, 0 %, 4 MiB
2025/10/18 16:36:49.938, 62.37 W, 0 %, 4 MiB
2025/10/18 16:36:49.938, 62.32 W, 0 %, 4 MiB
2025/10/18 16:36:50.188, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:50.189, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:50.189, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:50.189, 68.03 W, 0 %, 76497 MiB
2025/10/18 16:36:50.189, 63.39 W, 0 %, 4 MiB
2025/10/18 16:36:50.189, 62.66 W, 0 %, 4 MiB
2025/10/18 16:36:50.189, 62.37 W, 0 %, 4 MiB
2025/10/18 16:36:50.189, 62.05 W, 0 %, 4 MiB
2025/10/18 16:36:50.439, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:50.439, 69.29 W, 0 %, 76497 MiB
2025/10/18 16:36:50.439, 70.76 W, 0 %, 76497 MiB
2025/10/18 16:36:50.439, 68.03 W, 0 %, 76497 MiB
2025/10/18 16:36:50.439, 63.11 W, 0 %, 4 MiB
2025/10/18 16:36:50.439, 62.99 W, 0 %, 4 MiB
2025/10/18 16:36:50.439, 62.64 W, 0 %, 4 MiB
2025/10/18 16:36:50.439, 62.32 W, 0 %, 4 MiB
2025/10/18 16:36:50.689, 71.64 W, 0 %, 76497 MiB
2025/10/18 16:36:50.689, 69.29 W, 0 %, 76497 MiB
