method,node_id,row,rack,node,file,generation_mode,timing_mode,num_requests,seed,status,reason,num_timesteps,min_power_w,max_power_w,mean_power_w
ours,0,0,0,0,ours/node_0_0_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12725,42,evaluated,,345600,560.95,2874.7841919802863,727.4946965743759
ours,1,0,0,1,ours/node_0_0_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12843,1051,evaluated,,345600,560.95,2866.6733821187827,728.0047212486253
ours,2,0,0,2,ours/node_0_0_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12649,2060,evaluated,,345600,560.95,2859.9135867025707,722.9829055218394
ours,3,0,0,3,ours/node_0_0_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12860,3069,evaluated,,345600,560.95,2865.0744576413645,731.1954850141194
ours,4,0,1,0,ours/node_0_1_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12891,4078,evaluated,,345600,560.95,2873.7460464300734,725.5275166364398
ours,5,0,1,1,ours/node_0_1_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12916,5087,evaluated,,345600,560.95,2870.0963367507775,724.7611225066343
ours,6,0,1,2,ours/node_0_1_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12611,6096,evaluated,,345600,560.95,2874.317358582237,727.6219336096501
ours,7,0,1,3,ours/node_0_1_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12907,7105,evaluated,,345600,560.95,2858.4589506179955,726.1354562114897
ours,8,0,2,0,ours/node_0_2_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12603,8114,evaluated,,345600,560.95,2869.5760743270644,726.3642413968314
ours,9,0,2,1,ours/node_0_2_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12806,9123,evaluated,,345600,560.95,2854.39403721979,725.4194027050254
ours,10,0,2,2,ours/node_0_2_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12723,10132,evaluated,,345600,560.95,2860.8361178456144,724.0788113146328
ours,11,0,2,3,ours/node_0_2_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12915,11141,evaluated,,345600,560.95,2863.424804380534,727.7387888341887
ours,12,0,3,0,ours/node_0_3_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12822,12150,evaluated,,345600,560.95,2865.0305965273465,723.0168085246513
ours,13,0,3,1,ours/node_0_3_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12689,13159,evaluated,,345600,560.95,2870.4781658628194,721.0636426799122
ours,14,0,3,2,ours/node_0_3_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12664,14168,evaluated,,345600,560.95,2857.784618139912,719.7611932730175
ours,15,0,3,3,ours/node_0_3_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12713,15177,evaluated,,345600,560.95,2862.5284426997837,728.6547549014882
ours,16,0,4,0,ours/node_0_4_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12601,16186,evaluated,,345600,560.95,2873.6737116782197,720.7923703570077
ours,17,0,4,1,ours/node_0_4_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12848,17195,evaluated,,345600,560.95,2858.3333675508384,726.4992345193556
ours,18,0,4,2,ours/node_0_4_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12678,18204,evaluated,,345600,560.95,2881.6960776479627,719.7419382815096
