rate_requests_s,run_id,time_s,measured_w_per_gpu,predicted_w_per_gpu
0.125,146,0,417.63249999999994,434.85393740655746
0.125,146,1,304.2075,282.02799267521453
0.125,146,2,121.965,120.355
0.125,146,3,121.25,120.355
0.125,146,4,120.99499999999999,120.355
0.125,146,5,120.81,120.355
0.125,146,6,154.5075,159.9165577019681
0.125,146,7,390.53999999999996,395.476825649131
0.125,146,8,430.06000000000006,434.4988843706395
0.125,146,9,433.39500000000004,434.57496106428516
0.125,146,10,436.18,434.6508602249331
0.125,146,11,438.76,434.72658183835085
0.125,146,12,299.79,338.79612681963204
0.125,146,13,122.9025,127.66282016498927
0.125,146,14,122.2375,120.355
0.125,146,15,122.305,120.355
0.125,146,16,168.37,151.7453668588841
0.125,146,17,405.015,387.30350042097723
0.125,146,18,329.96500000000003,353.0069042653457
0.125,146,19,123.3325,132.46355063594652
0.125,146,20,120.82,120.355
0.125,146,21,120.5875,120.355
0.125,146,22,120.4375,120.355
0.125,146,23,131.0025,120.355
0.125,146,24,318.46,295.2237664224714
0.125,146,25,385.0175,376.66820356911916
0.125,146,26,147.5525,141.101588230021
0.125,146,27,120.485,120.355
0.125,146,28,120.2475,120.355
0.125,146,29,120.13,120.355
0.125,146,30,193.84500000000003,211.82152768113906
0.125,146,31,292.0775,269.04468467681204
0.125,146,32,120.2375,120.355
0.125,146,33,119.9375,120.355
0.125,146,34,129.1625,137.40441526924855
0.125,146,35,350.015,367.80123058998305
0.125,146,36,434.2425,434.48895941205785
0.125,146,37,433.64250000000004,434.5650593176571
0.125,146,38,435.85749999999996,434.6409812564217
0.125,146,39,439.49,434.7167264062076
0.125,146,40,326.6825,325.63924625985135
0.125,146,41,122.035,123.27924320255033
0.125,146,42,121.32000000000001,120.355
0.125,146,43,152.91,146.92875028308174
0.125,146,44,121.8125,120.355
0.125,146,45,121.5075,120.355
0.125,146,46,121.12,120.355
0.125,146,47,136.8225,139.92437791286102
0.125,146,48,164.76,161.2225736794466
0.125,146,49,120.655,120.355
0.125,146,50,120.5,120.355
0.125,146,51,120.42249999999999,120.355
0.125,146,52,120.38,120.355
0.125,146,53,120.29749999999999,120.355
0.125,146,54,120.3175,120.355
0.125,146,55,120.585,120.355
0.125,146,56,120.73,120.355
0.125,146,57,120.655,120.355
0.125,146,58,120.6575,120.355
0.125,146,59,120.6275,120.355
0.125,146,60,120.6,120.355
0.125,146,61,120.2425,120.355
0.125,146,62,119.2225,120.355
0.125,146,63,119.04749999999999,120.355
0.125,146,64,119.02499999999999,120.355
0.125,146,65,127.09750000000001,127.351670778277
0.125,146,66,126.5525,127.35167077827701
0.125,146,67,118.8975,120.355
0.125,146,68,118.545,120.355
0.125,146,69,118.4975,120.355
0.125,146,70,118.5075,120.355
0.125,146,71,118.4925,120.355
0.125,146,72,118.47500000000001,120.355
0.125,146,73,118.4425,120.355
0.125,146,74,118.4225,120.355
0.125,146,75,118.4325,120.355
0.125,146,76,118.38250000000001,120.355
0.125,146,77,118.39750000000001,120.355
0.125,146,78,118.36500000000001,120.355
0.125,146,79,118.36500000000001,120.355
0.125,146,80,118.3325,120.355
0.125,146,81,118.315,120.355
0.125,146,82,118.2825,120.355
0.125,146,83,118.27250000000001,120.355
0.125,146,84,118.30250000000001,120.355
0.125,146,85,118.2425,120.355
0.125,146,86,118.19749999999999,120.355
0.125,146,87,118.19250000000001,120.355
0.125,146,88,118.205,120.355
0.125,146,89,118.1975,120.355
0.125,146,90,118.2075,120.355
0.125,146,91,130.4775,120.355
0.125,146,92,272.89,266.12589515143605
0.125,146,93,138.4375,163.60648541146716
0.125,146,94,118.27000000000001,120.355
0.125,146,95,139.73749999999998,126.03546373882298
0.125,146,96,373.38,333.682891772876
0.125,146,97,436.2725,434.4706169698665
0.125,146,98,388.6125,421.7138383269068
0.125,146,99,156.42000000000002,199.69477493147275
0.125,146,100,121.51249999999999,120.355
0.125,146,101,121.24,120.355
0.125,146,102,121.205,120.355
0.125,146,103,121.1,120.355
0.125,146,104,121.0575,120.355
0.125,146,105,120.9925,120.355
0.125,146,106,120.81,120.355
0.125,146,107,120.54249999999999,120.355
0.125,146,108,126.20749999999998,125.42315219441232
0.125,146,109,126.02,122.68692471594235
0.125,146,110,120.3775,120.355
