t_bin,time_s,power_w
0,0.0,966.688020913483
1,0.25,956.5340213971475
2,0.5,960.1990549201861
3,0.75,958.8876214899873
4,1.0,936.1075282892547
5,1.25,1620.7311880124316
6,1.5,1963.0706688328214
7,1.75,2070.1896221004695
8,2.0,1357.1866989951482
9,2.25,2072.167667858095
10,2.5,1887.8637979275727
11,2.75,2006.9193269077857
12,3.0,2916.7993497251614
13,3.25,2912.4931042984754
14,3.5,2916.6593046932185
15,3.75,2975.058534540796
16,4.0,2988.5469142334646
17,4.25,2925.6068217548855
18,4.5,2965.1534067095754
19,4.75,2944.7633523455975
20,5.0,2969.6255331026646
21,5.25,2957.5271906049798
22,5.5,3012.758233813773
23,5.75,2974.8898805483427
24,6.0,3005.3759856903457
25,6.25,3011.187698648801
26,6.5,2987.4542343445014
27,6.75,3037.928739773304
28,7.0,2952.7912558318812
29,7.25,2961.5829280595417
30,7.5,2926.2751061162708
31,7.75,3000.019141863393
32,8.0,3019.3985631315245
33,8.25,3012.3671240849485
34,8.5,3041.593290128332
35,8.75,2985.2286884490254
36,9.0,3007.0446306520316
37,9.25,2999.58325462642
38,9.5,3010.1147213932272
39,9.75,3038.6464111405157
40,10.0,2987.2717295810453
41,10.25,3031.8568986967175
42,10.5,3000.650158296073
43,10.75,3006.420496489376
44,11.0,3035.100902284462
45,11.25,3007.3258888591604
46,11.5,3027.9429757910516
47,11.75,3015.9627273465417
48,12.0,2945.7742428552315
49,12.25,2941.0422390517942
50,12.5,2975.992325684126
51,12.75,2997.3531085893387
52,13.0,3017.16735394221
53,13.25,3017.95625981181
54,13.5,2981.2623555201494
55,13.75,3035.3415148357803
56,14.0,3026.057470602059
57,14.25,2985.4250760374275
58,14.5,2991.051314858941
59,14.75,2963.2155730830063
60,15.0,2905.822650542556
61,15.25,2931.5940207701174
62,15.5,3012.5738595214366
63,15.75,2947.2393018772937
64,16.0,2949.035639301009
65,16.25,3022.2741704295067
66,16.5,2930.3093191275107
67,16.75,2938.216979684586
68,17.0,3002.5859844883676
69,17.25,2915.074515352553
70,17.5,2939.2355280911415
71,17.75,3016.3190637816583
72,18.0,2999.9091273567583
73,18.25,3040.4455358827195
74,18.5,3015.5493707799246
75,18.75,3030.4260199999862
76,19.0,2978.51489724588
77,19.25,3039.784145471875
78,19.5,3038.9539141250116
79,19.75,2997.661286860349
80,20.0,3042.405915723199
81,20.25,3019.859853613165
82,20.5,3102.556953856919
83,20.75,3053.4536221087546
84,21.0,3016.361253877951
85,21.25,2992.2360648118593
86,21.5,2950.7225741279253
87,21.75,2986.5782684993987
88,22.0,2996.877122788099
89,22.25,2931.725295182583
90,22.5,2998.888943626119
91,22.75,3039.6287139897336
92,23.0,3032.4996084461086
93,23.25,2928.4759561686665
94,23.5,3038.9556587550833
95,23.75,2908.7130378781194
96,24.0,2934.6621808684285
97,24.25,2716.459608348233
98,24.5,2981.495154014059
99,24.75,2969.844505961419
100,25.0,2962.984967437973
101,25.25,2984.5138691743205
102,25.5,3030.2253610463886
103,25.75,2986.196860868657
104,26.0,2997.692339559923
105,26.25,2978.120851671281
106,26.5,2941.098168310011
107,26.75,3032.8338345773977
108,27.0,3020.4861935060503
109,27.25,3034.150188454302
110,27.5,2969.7710479811794
111,27.75,2964.853703461042
112,28.0,3032.6563812621594
113,28.25,2999.391687176726
114,28.5,3038.6316094003632
115,28.75,2993.1141989198786
116,29.0,3012.4581596914377
117,29.25,2915.986418512127
118,29.5,3025.912850090329
119,29.75,2981.2871811897785
120,30.0,2987.473580558764
121,30.25,2917.7866495080816
122,30.5,3020.5806710829042
123,30.75,2948.3180512652375
124,31.0,2995.939148653573
125,31.25,3042.0649533994692
126,31.5,3005.6711032178764
127,31.75,2989.031057081096
128,32.0,2925.8756013722723
129,32.25,2931.5463405755877
130,32.5,2971.5951903117316
131,32.75,2965.8993383651887
132,33.0,3034.872018924397
133,33.25,2957.5891593849838
134,33.5,3011.482856175638
135,33.75,2995.015291456457
136,34.0,3065.9882022555557
137,34.25,3031.122814264068
138,34.5,2975.001213602683
139,34.75,3008.285099927762
140,35.0,2885.802074726177
141,35.25,2991.962990413902
142,35.5,3057.937068025775
143,35.75,3046.7673256602634
144,36.0,2950.6056135598806
145,36.25,3002.205740730236
146,36.5,2984.6025116024675
147,36.75,3026.6206502484247
148,37.0,2933.090482699185
149,37.25,3006.918361892819
150,37.5,3001.2020580969547
151,37.75,2944.18624280816
152,38.0,3034.5906338745754
153,38.25,2994.8851267219407
154,38.5,3018.4010897414596
155,38.75,2952.5613159505892
156,39.0,2569.5620648433137
157,39.25,2176.676943615093
158,39.5,1843.5180613416449
159,39.75,1725.3948194930726
160,40.0,1205.82261647843
161,40.25,970.5931292109256
162,40.5,964.6314437697614
163,40.75,955.5803794769737
164,41.0,946.3607722058437
165,41.25,1109.394893539216
166,41.5,944.3288109314103
167,41.75,981.9717588094873
168,42.0,1209.9524828509102
