t_bin,time_s,power_w
0,0.0,2930.9640605767954
1,0.25,1591.8994214812556
2,0.5,1248.8717883229674
3,0.75,1287.8061684228155
4,1.0,3028.2854105013835
5,1.25,3057.7342612766515
6,1.5,2979.624956610675
7,1.75,3045.8214820369885
8,2.0,3022.5116502180013
9,2.25,3027.128235538745
10,2.5,3173.740425834577
11,2.75,2659.7851408608226
12,3.0,3053.379284560184
13,3.25,2924.892804332628
14,3.5,3021.0955976284563
15,3.75,2988.182336193659
16,4.0,3097.535714474439
17,4.25,3040.858054010522
18,4.5,3036.054851809358
19,4.75,2951.4566616718607
20,5.0,2951.2588115963686
21,5.25,3049.774548285243
22,5.5,3100.8957172111814
23,5.75,3058.2993274270048
24,6.0,3011.3114745747325
25,6.25,2988.1198778765015
26,6.5,3170.7784343742483
27,6.75,3042.938705307344
28,7.0,2994.3550051503257
29,7.25,3040.6071938319024
30,7.5,3072.997545269684
31,7.75,3008.480710035745
32,8.0,3014.0608412977203
33,8.25,3169.498163483064
34,8.5,3109.8780269145186
35,8.75,2999.5483515780998
36,9.0,3052.4729074158827
37,9.25,3151.911434986346
38,9.5,3099.5563753999663
39,9.75,3003.6440588477276
40,10.0,2996.033297705902
41,10.25,3033.7326170710385
42,10.5,3046.856521736298
43,10.75,2999.425341390343
44,11.0,3035.8111580668397
45,11.25,3083.289529362767
46,11.5,2985.601852090511
47,11.75,3028.166715097446
48,12.0,2973.886864112855
49,12.25,3047.4560079262596
50,12.5,3134.210406623031
51,12.75,2987.2041781333405
52,13.0,3086.146138315399
53,13.25,2970.350431739314
54,13.5,3022.693057308145
55,13.75,2995.863076079772
56,14.0,3027.829351674828
57,14.25,3254.726792674103
58,14.5,2921.0282274244023
59,14.75,2760.7785583784116
60,15.0,3059.1882136616464
61,15.25,3029.5991653727388
62,15.5,3033.981215665341
63,15.75,3012.0187064451325
64,16.0,2999.0646443961427
65,16.25,3041.1317463528344
66,16.5,3030.5215142189004
67,16.75,3154.2944783430717
68,17.0,3006.272413305754
