t_bin,time_s,power_w
0,0.0,519.2762194970766
1,0.25,519.3199049044556
2,0.5,1159.0563815322819
3,0.75,1161.139236398228
4,1.0,1157.7394212871998
5,1.25,1146.1600257169614
6,1.5,1152.0775429860114
7,1.75,1160.8037522513698
8,2.0,1152.0333026780459
9,2.25,1080.7003203703084
10,2.5,632.2674469367802
11,2.75,636.5422188021589
12,3.0,642.5046872528716
13,3.25,635.8723948277948
14,3.5,633.846579262398
15,3.75,632.9712824485981
16,4.0,635.4132945644031
17,4.25,644.0507071725061
18,4.5,653.4892868976665
19,4.75,518.0048316033964
20,5.0,516.5098823528427
21,5.25,641.4836282343716
22,5.5,517.4144170398356
23,5.75,515.930818885373
24,6.0,931.662004388545
25,6.25,1158.429218136482
26,6.5,1166.3408757444683
27,6.75,1156.3020081148402
28,7.0,1160.8636552950447
29,7.25,1173.2802745535666
30,7.5,1150.2556611058212
31,7.75,1146.6460344367688
32,8.0,1164.8171148416384
33,8.25,1160.3659049758367
34,8.5,1155.9840672670562
35,8.75,1158.944869235925
36,9.0,1154.0964429288445
37,9.25,1161.0054959186677
38,9.5,1154.0475764912226
39,9.75,1163.3277438344217
40,10.0,1147.2295354459786
41,10.25,1150.1225069597426
42,10.5,1157.7466215019044
43,10.75,1065.2011666896772
44,11.0,640.9238996372458
45,11.25,638.0761998539358
46,11.5,636.1461712418046
47,11.75,639.0508529561006
48,12.0,636.2037009081159
49,12.25,632.2294204791573
50,12.5,553.411003025593
51,12.75,516.1108871171054
52,13.0,516.5901884210627
53,13.25,517.4104657044821
54,13.5,686.6492707588453
55,13.75,518.0676521755112
56,14.0,519.8422526258863
57,14.25,519.1139077742415
58,14.5,517.0023881067738
59,14.75,519.6588727480828
60,15.0,518.9812529223744
61,15.25,516.6224707558973
62,15.5,517.7270991379459
63,15.75,1139.6344455876122
64,16.0,1158.8503043417054
65,16.25,1165.1805253319453
66,16.5,1238.7645566344067
67,16.75,1162.6303335626546
68,17.0,1214.874030920589
69,17.25,1159.9828712973906
70,17.5,1153.915792909983
71,17.75,1162.41225257505
72,18.0,1143.0930332776852
73,18.25,1159.6273538659623
74,18.5,1076.5185828875756
75,18.75,1161.6348039532902
76,19.0,1068.1821368057679
77,19.25,1071.87113034341
78,19.5,635.0184696276248
79,19.75,635.0730683624167
80,20.0,636.8978215825424
81,20.25,637.7125875934674
82,20.5,642.0130257617578
83,20.75,634.8310159597451
84,21.0,642.1465746926253
85,21.25,632.2100968528125
86,21.5,516.1456423826927
87,21.75,517.228549075896
88,22.0,518.9528943157201
89,22.25,516.3956077391383
90,22.5,514.1869287107285
91,22.75,517.8876246828378
92,23.0,517.2392936604858
93,23.25,515.7189362538085
94,23.5,515.7741847900874
95,23.75,516.2767888247814
96,24.0,517.4227622059166
97,24.25,518.238660851228
98,24.5,515.1465677923378
99,24.75,520.5848394047356
100,25.0,517.225820394571
101,25.25,516.7419833221646
102,25.5,1083.5676151971918
103,25.75,1008.3028520183858
104,26.0,1083.6053654864168
105,26.25,1165.8345515380445
106,26.5,1153.8674201813926
107,26.75,1153.685977865903
108,27.0,1152.8070753954087
109,27.25,1154.0832221614858
110,27.5,1162.3698839634756
111,27.75,1151.594639055521
112,28.0,1170.0488539280757
113,28.25,1156.1993247066607
114,28.5,1155.6778537424232
115,28.75,689.4286931853705
116,29.0,630.6278370153811
117,29.25,634.6555151083907
118,29.5,640.58053694687
119,29.75,638.3119619113513
120,30.0,638.2205214933213
121,30.25,639.799088043649
122,30.5,635.9454033506714
123,30.75,970.5688079872966
124,31.0,1059.4229696597372
125,31.25,631.0237924372755
126,31.5,643.1463423679538
127,31.75,634.6605144267774
128,32.0,635.4963653290195
129,32.25,643.651921949602
130,32.5,642.3502555493044
131,32.75,636.225903395844
132,33.0,636.207505355668
133,33.25,517.1537512861526
134,33.5,515.8930484075042
135,33.75,518.0628777986873
136,34.0,517.4804709646706
137,34.25,517.457900456212
138,34.5,518.3582060345939
139,34.75,518.3079620024293
140,35.0,519.9294583430909
141,35.25,519.4597516388795
142,35.5,514.8014349095744
143,35.75,518.566118534429
144,36.0,554.651740702975
145,36.25,515.208085102864
146,36.5,518.2962785726927
147,36.75,516.2557853626722
148,37.0,516.813433137678
149,37.25,518.814204551484
150,37.5,516.3117949621899
151,37.75,873.3701498260222
152,38.0,1036.4130459047913
153,38.25,1166.8157885442602
154,38.5,1242.9926385780575
155,38.75,1173.234142762565
156,39.0,1519.4817396731858
157,39.25,1155.579641826279
158,39.5,1172.592727456876
159,39.75,1164.1210154742284
160,40.0,682.7400428034335
161,40.25,642.8939111886195
162,40.5,637.0562733249343
163,40.75,640.1017173738193
164,41.0,640.142821916235
165,41.25,634.4779585425317
166,41.5,626.2852712655152
167,41.75,664.061329273947
168,42.0,515.7107999875103
169,42.25,518.4362084273099
170,42.5,518.3648438549943
171,42.75,518.7618352932025
