2025-10-20 06:14:58,598 INFO    MainThread:174402 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_setup.py:_flush():81] Configure stats pid to 174402
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_setup.py:_flush():81] Loading settings from /home/azureuser/.config/wandb/settings
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_setup.py:_flush():81] Loading settings from /home/azureuser/powertrace-sim/wandb/settings
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/azureuser/powertrace-sim/wandb/run-20251020_061458-rtm841z0/logs/debug.log
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/azureuser/powertrace-sim/wandb/run-20251020_061458-rtm841z0/logs/debug-internal.log
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_init.py:init():832] calling init triggers
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'tp': 8, 'hidden_size': 64, 'num_epochs': 500, 'lr': 0.0001, 'scheduler': 'cosine', 'seed': 42, 'bidirectional': True, '_wandb': {}}
2025-10-20 06:14:58,599 INFO    MainThread:174402 [wandb_init.py:init():880] starting backend
2025-10-20 06:14:58,838 INFO    MainThread:174402 [wandb_init.py:init():883] sending inform_init request
2025-10-20 06:14:58,877 INFO    MainThread:174402 [wandb_init.py:init():891] backend started and connected
2025-10-20 06:14:58,881 INFO    MainThread:174402 [wandb_init.py:init():961] updated telemetry
2025-10-20 06:14:58,919 INFO    MainThread:174402 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-20 06:14:59,312 INFO    MainThread:174402 [wandb_init.py:init():1036] starting run threads in backend
2025-10-20 06:14:59,426 INFO    MainThread:174402 [wandb_run.py:_console_start():2509] atexit reg
2025-10-20 06:14:59,426 INFO    MainThread:174402 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-20 06:14:59,426 INFO    MainThread:174402 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-20 06:14:59,426 INFO    MainThread:174402 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-20 06:14:59,429 INFO    MainThread:174402 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-20 06:15:51,430 INFO    wandb-AsyncioManager-main:174402 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-20 06:15:51,430 INFO    wandb-AsyncioManager-main:174402 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
